Big Girls Don't Cry	The 4 Seasons
Return To Sender	Elvis Presley With The Jordanaires
Bobby's Girl	Marcie Blane
Limbo Rock	Chubby Checker
All Alone Am I	Brenda Lee
Don't Hang Up	The Orlons
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Ride!	Dee Dee Sharp
He's A Rebel	The Crystals
Next Door To An Angel	Neil Sedaka
Gina	Johnny Mathis
The Cha-Cha-Cha	Bobby Rydell
Telstar	The Tornadoes
My Own True Love	The Duprees
Desafinado	Stan Getz/Charlie Byrd
Release Me	Esther Phillips "Little Esther"
Only Love Can Break A Heart	Gene Pitney
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
Keep Your Hands Off My Baby	Little Eva
Rumors	Johnny Crawford
Close To Cathy	Mike Clifford
Nothing Can Change This Love	Sam Cooke
Eso Beso (That Kiss!)	Paul Anka
I Can't Help It (If I'm Still In Love With You)	Johnny Tillotson
What Kind Of Fool Am I	Sammy Davis Jr.
Do You Love Me	The Contours
Love Came To Me	Dion
Wiggle Wobble	Les Cooper and the Soul Rockers
I've Got A Woman (Part I)	Jimmy McGriff
Dear Lonely Hearts	Nat King Cole
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Mama Sang A Song	Stan Kenton
That Stranger Used To Be My Girl	Trade Martin
Chains	The Cookies
I Left My Heart In San Francisco	Tony Bennett
Lovers By Night, Strangers By Day	The Fleetwoods
Let's Go (pony)	The Routers
Mama Sang A Song	Walter Brennan
Léah	Roy Orbison
You Are My Sunshine	Ray Charles
Go Away Little Girl	Steve Lawrence
Hotel Happiness	Brook Benton
Popeye (The Hitchhiker)	Chubby Checker
Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
Ruby Ann	Marty Robbins
Stubborn Kind Of Fellow	Marvin Gaye
I Was Such A Fool (To Fall In Love With You)	Connie Francis
Your Cheating Heart	Ray Charles
Mary Ann Regrets	Burl Ives
The Push And Kick	Mark Valentino
James (Hold The Ladder Steady)	Sue Thompson
Surfin' Safari	The Beach Boys
Comin' Home Baby	Mel Torme
Love Me Tender	Richard Chamberlain
My Dad	Paul Petersen
Spanish Lace	Gene McDaniels
Don't Ask Me To Be Friends	The Everly Brothers
I'll Bring It Home To You	Carla Thomas
Workin' For The Man	Roy Orbison
You Threw A Lucky Punch	Gene Chandler
I Lost My Baby	Joey Dee
Torture	Kris Jensen
Diddle-Dee-Dum (What Happens When Your Love Has Gone)	The Belmonts
Two Lovers	Mary Wells
Untie Me	The Tams
Stormy Monday Blues	Bobby Bland
That's Life (That's Tough)	Gabriel And The Angels
If You Were A Rock And Roll Record	Freddy Cannon
Anna (Go To Him)	Arthur Alexander
Up On The Roof	The Drifters
Next Door To The Blues	Etta James
Rainbow At Midnight	Jimmie Rodgers
Let's Kiss And Make Up	Bobby Vinton
Baby Has Gone Bye Bye	George Maharis
A Little Bit Now (A Little Bit Later)	The Majors
Shutters And Boards	Jerry Wallace
Ten Little Indians	The Beach Boys
Coney Island Baby	The Excellents
Mr. Lonely	Buddy Greco
Don't Go Near The Eskimos	Ben Colder
Tell Him	The Exciters
I May Not Live To See Tomorrow	Brian Hyland
Road Hog	John D. Loudermilk
The Love Of A Boy	Timi Yuro
The Jitterbug	The Dovells
See See Rider	LaVern Baker
Heart Breaker	Dean Christie
Getting Ready For The Heartbreak	Chuck Jackson
I'm So Lonesome I Could Cry	Johnny Tillotson
Somebody Have Mercy	Sam Cooke
Strange I Know	The Marvelettes
Gonna Raise A Rukus Tonight	Jimmy Dean
This Land Is Your Land	The New Christy Minstrels
Everybody Loves A Lover	The Shirelles
Me And My Shadow	Frank Sinatra & Sammy Davis Jr.
Echo	The Emotions
This Land Is Your Land	Ketty Lester
You're A Sweetheart	Dinah Washington
From The Bottom Of My Heart (Dammi, Dammi, Dammi)	Dean Martin
Limelight	Mr. Acker Bilk
