The Box	Roddy Ricch
Don't Start Now	Dua Lipa
Life Is Good	Future Featuring Drake
Blinding Lights	The Weeknd
Circles	Post Malone
Baby Pluto	Lil Uzi Vert
Roxanne	Arizona Zervas
Lo Mein	Lil Uzi Vert
Silly Watch	Lil Uzi Vert
Intentions	Justin Bieber Featuring Quavo
P2	Lil Uzi Vert
Dance Monkey	Tones And I
Memories	Maroon 5
Everything I Wanted	Billie Eilish
Someone You Loved	Lewis Capaldi
Adore You	Harry Styles
Hot Girl Bummer	blackbear
I Love Me	Demi Lovato
Say So	Doja Cat Featuring Nicki Minaj
That Way	Lil Uzi Vert
Heartless	The Weeknd
Homecoming	Lil Uzi Vert
The Bones	Maren Morris
B.S.	Jhene Aiko Featuring H.E.R.
Prices	Lil Uzi Vert
My Oh My	Camila Cabello Featuring DaBaby
10,000 Hours	Dan + Shay & Justin Bieber
POP	Lil Uzi Vert
Ballin'	Mustard & Roddy Ricch
Stupid Love	Lady Gaga
Woah	Lil Baby
Godzilla	Eminem Featuring Juice WRLD
Bigger Than Life	Lil Uzi Vert
Celebration Station	Lil Uzi Vert
BOP	DaBaby
You Better Move	Lil Uzi Vert
I'm Sorry	Lil Uzi Vert
Lose You To Love Me	Selena Gomez
Venetia	Lil Uzi Vert
P*$$y Fairy (OTW)	Jhene Aiko
You Should Be Sad	Halsey
Falling	Trevor Daniel
High Fashion	Roddy Ricch Featuring Mustard
Homesick	Kane Brown
Chrome Heart Tags	Lil Uzi Vert
No Guidance	Chris Brown Featuring Drake
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Futsal Shuffle 2020	Lil Uzi Vert
Good As Hell	Lizzo
I Hope	Gabby Barrett Featuring Charlie Puth
Bust Me	Lil Uzi Vert
Sum 2 Prove	Lil Baby
Blueberry Faygo	Lil Mosey
La Dificil	Bad Bunny
Dior	Pop Smoke
Si Veo A Tu Mama	Bad Bunny
Heatin Up	Lil Baby & Gunna
Heart On Ice	Rod Wave
B.I.T.C.H.	Megan Thee Stallion
Homemade	Jake Owen
Slide	H.E.R. Featuring YG
BEST ON EARTH	Russ & BIA
What A Man Gotta Do	Jonas Brothers
Emotionally Scarred	Lil Baby
Happiness Over Everything (H.O.E.)	Jhene Aiko Featuring Future & Miguel
Vete	Bad Bunny
Yummy	Justin Bieber
Commercial	Lil Baby Featuring Lil Uzi Vert
Nobody But You	Blake Shelton Duet With Gwen Stefani
Chasin' You	Morgan Wallen
Juicy	Doja Cat & Tyga
Secure The Bag	Lil Uzi Vert
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Captain Hook	Megan Thee Stallion
Tusa	Karol G & Nicki Minaj
Urgency	Lil Uzi Vert Featuring Syd
Slow Dance In A Parking Lot	Jordan Davis
What She Wants Tonight	Luke Bryan
SkyBox	Gunna
The Other Side	SZA X Justin Timberlake
We Back	Jason Aldean
I Wish Grandpas Never Died	Riley Green
Ignorantes	Bad Bunny & Sech
Safaera	Bad Bunny, Jowell & Randy & Nengo Flow
More Hearts Than Mine	Ingrid Andress
Catch	Brett Young
Triggered	Jhene Aiko
PTSD	G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert
Oprah's Bank Account	Lil Yachty, Drake & DaBaby
Go Stupid	Polo G Featuring NLE Choppa & Stunna 4 Vegas
I Hope You're Happy Now	Carly Pearce & Lee Brice
La Santa	Bad Bunny X Daddy Yankee
None Of Your Concern	Jhene Aiko Featuring Big Sean
Know Your Worth	Khalid x Disclosure
SUGAR	BrockHampton
To Die For	Sam Smith
Yo Perreo Sola	Bad Bunny
Grace	Lil Baby & 42 Dugg
Sunday Best	Surfaces
After Hours	The Weeknd
