Heart Of Gold	Neil Young
A Horse With No Name	America
The Lion Sleeps Tonight	Robert John
Without You	Nilsson
Everything I Own	Bread
Mother And Child Reunion	Paul Simon
Precious And Few	Climax
The Way Of Love	Cher
Puppy Love	Donny Osmond
Down By The Lazy River	The Osmonds
Jungle Fever	The Chakachas
Hurting Each Other	Carpenters
Bang A Gong (Get It On)	T. Rex
I Gotcha	Joe Tex
Joy	Apollo featuring Tom Parker
Sweet Seasons	Carole King
In The Rain	The Dramatics
Rock And Roll Lullaby	B.J. Thomas
Don't Say You Don't Remember	Beverly Bremers
American Pie (Parts I & II)	Don McLean
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Let's Stay Together	Al Green
A Cowboys Work Is Never Done	Sonny & Cher
Floy Joy	The Supremes
Runnin' Away	Sly & The Family Stone
We've Got To Get It On Again	Addrisi Brothers
Talking Loud And Saying Nothing - Part I	James Brown
Roundabout	Yes
Crazy Mama	J.J. Cale
Betcha By Golly, Wow	The Stylistics Featuring Russell Thompkins,Jr.
Ring The Living Bell	Melanie
My World	Bee Gees
Rockin' Robin	Michael Jackson
Softly Whispering I Love You	The English Congregation
Glory Bound	The Grass Roots
Taurus	Dennis Coffey & The Detroit Guitar Band
No One To Depend On	Santana
I Can't Help Myself (Sugar Pie, Honey Bunch)	Donnie Elbert
Every Day Of My Life	Bobby Vinton
Take A Look Around	The Temptations
Could It Be Forever	David Cassidy
The First Time Ever I Saw Your Face	Roberta Flack
Do Your Thing	Isaac Hayes
You Want It, You Got It	Detroit Emeralds
The Day I Found Myself	The Honey Cone
Handbags And Gladrags	Rod Stewart
Now Run And Tell That	Denise LaSalle
King Heroin	James Brown
Until It's Time For You To Go	Elvis Presley
Slippin' Into Darkness	War
Love Me, Love Me Love	Frank Mills
Iron Man	Black Sabbath
Tiny Dancer	Elton John
The Nickel Song	Melanie
Chantilly Lace	Jerry Lee Lewis
Suavecito	Malo
Diamonds Are Forever	Shirley Bassey
Day Dreaming	Aretha Franklin
Afro-Strut	The Nite-Liters
Son Of My Father	Giorgio
Goin' Down (On The Road To L.A.)	Terry Black & Laurel Ward
Footstompin' Music	Grand Funk Railroad
Give Ireland Back To The Irish	Wings
(Oh Lord Won't You Buy Me A) Mercedes Benz	Goose Creek Symphony
Cheer	Potliquor
Heartbroken Bopper	The Guess Who
Do What You Set Out To Do	Bobby Bland
Waking Up Alone	Paul Williams
That's What Love Will Make You Do	Little Milton
Brian's Song	Michel Legrand
Louisianna	Mike Kennedy
Money Runner	Quincy Jones
What It Is	The Undisputed Truth
Mr. Penguin-Pt. I	Lunar Funk
Living Without You	Manfred Mann's Earth Band
Be My Lover	Alice Cooper
Rock And Roll	Led Zeppelin
Vincent (Starry, Starry Night)/Castles In The Air	Don McLean
Since I Fell For You	Laura Lee
Doctor My Eyes	Jackson Browne
Everyday	John Denver
Nice To Be With You	Gallery
Up In Heah	Ike & Tina Turner
Your Precious Love	Linda Jones
Rock Me On The Water	Linda Ronstadt
If We Only Have Love	Dionne Warwicke
Jump Into The Fire	Nilsson
Taxi	Harry Chapin
The Candy Man	Sammy Davis, Jr. with The Mike Curb Congregation
Run Run Run	Jo Jo Gunne
Son Of My Father	Chicory
Josie	Kris Kristofferson
Sweet Sixteen	B.B. King
Hearsay	The Soul Children
You Are The One	Sugar Bears
Willpower Weak, Temptation Strong	Bullet
To Get To You	Jerry Wallace
Thank God For You Baby	PG&E
Rockin' With The King	Canned Heat
Nutrocker	Emerson, Lake & Palmer
