When I Need You	Leo Sayer
Sir Duke	Stevie Wonder
Hotel California	Eagles
Southern Nights	Glen Campbell
Couldn't Get It Right	Climax Blues Band
Right Time Of The Night	Jennifer Warnes
So In To You	Atlanta Rhythm Section
I'm Your Boogie Man	KC And The Sunshine Band
Got To Give It Up (Pt. I)	Marvin Gaye
I Wanna Get Next To You	Rose Royce
Lido Shuffle	Boz Scaggs
Lucille	Kenny Rogers
Can't Stop Dancin'	Captain & Tennille
Dreams	Fleetwood Mac
Lonely Boy	Andrew Gold
Calling Dr. Love	KISS
Hello Stranger	Yvonne Elliman
I've Got Love On My Mind	Natalie Cole
Feels Like The First Time	Foreigner
Angel In Your Arms	Hot
Gonna Fly Now	Bill Conti
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Dancin' Man	Q
Don't Leave Me This Way	Thelma Houston
Heard It In A Love Song	The Marshall Tucker Band
Whodunit	Tavares
Your Love	Marilyn McCoo & Billy Davis Jr.
Undercover Angel	Alan O'Day
Show You The Way To Go	The Jacksons
Uptown Festival (Part 1)	Shalamar
Don't Give Up On Us	David Soul
My Sweet Lady	John Denver
Margaritaville	Jimmy Buffett
Cinderella	Firefall
Love's Grown Deep	Kenny Nolan
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Mainstreet	Bob Seger
Back In The Saddle	Aerosmith
Jet Airliner	The Steve Miller Band
Slowdown	John Miles
High School Dance	The Sylvers
Ariel	Dean Friedman
Everybody Be Dancin'	Starbuck
Rich Girl	Daryl Hall John Oates
I Think We're Alone Now	The Rubinoos
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
On The Border	Al Stewart
Do You Wanna Make Love	Peter Mccann
I Just Want To Be Your Everything	Andy Gibb
This Is The Way That I Feel	Marie Osmond
I Wanna Do It To You	Jerry Butler
You Are On My Mind	Chicago
Cherry Baby	Starz
Tryin' To Love Two	William Bell
Spirit In The Night	Manfred Mann's Earth Band
This Girl (Has Turned Into A Woman)	Mary Macgregor
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Hold Back The Night	Graham Parker And The Rumour
Back Together Again	Daryl Hall John Oates
Hooked On You	Bread
Do What You Wanna Do	T-Connection
The Whistler	Jethro Tull
Whatcha Gonna Do?	Pablo Cruise
Sleepwalker	The Kinks
You're My World	Helen Reddy
Looks Like We Made It	Barry Manilow
Hollywood	Rufus Featuring Chaka Khan
You Take My Heart Away	James Darren
Solsbury Hill	Peter Gabriel
You And Me	Alice Cooper
I Gotta Keep Dancin'	Carrie
Going In With My Eyes Open	David Soul
Life In The Fast Lane	Eagles
It's Sad To Belong	England Dan & John Ford Coley
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
It Feels So Good To Be Loved So Bad	The Manhattans
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
The Pride (Part I)	The Isley Brothers
You're Movin' Out Today	Bette Midler
Knowing Me, Knowing You	ABBA
Sound And Vision	David Bowie
Down To The Station	B.W. Stevenson
Sad Girl	Carl Graves
That Magic Touch	Angel
Fly At Night	Chilliwack
Peace Of Mind	Boston
I Need A Man	Grace Jones
Capture Your Heart	Blue
Da Doo Ron Ron	Shaun Cassidy
Dancin'	Crown Heights Affair
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
The Things We Do For Love	10cc
(Theme from) Charlie's Angels	Henry Mancini And His Orchestra
Theme From "Rocky" (Gonna Fly Now)	Current
Hot To Trot	Wild Cherry
All The Kids On The Street	The Hollywood Stars
Feel The Need	Detroit Emeralds
Dance And Shake Your Tambourine	Universal Robot Band
Freddie	Charlene
Discomania	The Lovers
