Good Vibrations	The Beach Boys
Mellow Yellow	Donovan
Winchester Cathedral	The New Vaudeville Band
Devil With A Blue Dress On & Good Golly Miss Molly	Mitch Ryder And The Detroit Wheels
You Keep Me Hangin' On	The Supremes
Lady Godiva	Peter And Gordon
Stop Stop Stop	The Hollies
Born Free	Roger Williams
I'm Ready For Love	Martha & The Vandellas
That's Life	Frank Sinatra
Whispers (Gettin' Louder)	Jackie Wilson
I'm Your Puppet	James & Bobby Purify
A Hazy Shade Of Winter	Simon & Garfunkel
A Place In The Sun	Stevie Wonder
Poor Side Of Town	Johnny Rivers
Sugar Town	Nancy Sinatra
I Got The Feelin' (Oh No No)	Neil Diamond
(Come 'round Here) I'm The One You Need	The Miracles
(I Know) I'm Losing You	The Temptations
Coming On Strong	Brenda Lee
It Tears Me Up	Percy Sledge
But It's Alright	J.J. Jackson
Holy Cow	Lee Dorsey
Mame	Herb Alpert & The Tijuana Brass
Run, Run, Look And See	Brian Hyland
The Wheel Of Hurt	Margaret Whiting
Last Train To Clarksville	The Monkees
Knock On Wood	Eddie Floyd
What Becomes Of The Brokenhearted	Jimmy Ruffin
Rain On The Roof	The Lovin' Spoonful
Single Girl	Sandy Posey
It's Only Love	Tommy James And The Shondells
I Need Somebody	? (Question Mark) & The Mysterians
Mustang Sally	Wilson Pickett
Cry	Ronnie Dove
Time After Time	Chris Montez
Talk Talk	The Music Machine
Help Me Girl	The Outsiders
(When She Needs Good Lovin') She Comes To Me	The Chicago Loop
Hooray For Hazel	Tommy Roe
96 Tears	? (Question Mark) & The Mysterians
Coming Home Soldier	Bobby Vinton
Pandora's Golden Heebie Jeebies	The Association
I'm A Believer	The Monkees
Games That Lovers Play	Eddie Fisher
Words Of Love	The Mamas & The Papas
Reach Out I'll Be There	Four Tops
Love Is A Hurtin' Thing	Lou Rawls
Dandy	Herman's Hermits
I Fooled You This Time	Gene Chandler
Tell It Like It Is	Aaron Neville
Wish You Were Here, Buddy	Pat Boone
Money (That's What I Want) (Part 1)	Jr. Walker & The All Stars
Heaven Must Have Sent You	The Elgins
A Symphony For Susan	The Arbors
I (Who Have Nothing)	Terry Knight and The Pack
Happenings Ten Years Time Ago	The Yardbirds
I've Passed This Way Before	Jimmy Ruffin
Help Me Girl	Eric Burdon & The Animals
East West	Herman's Hermits
Please Don't Ever Leave Me	The Cyrkle
A Day In The Life Of A Fool	Jack Jones
The Eggplant That Ate Chicago	Dr. West's Medicine Show and Junk Band
Please Say You're Fooling	Ray Charles and his Orchestra
Bang Bang	The Joe Cuba Sextet
Good Thing	Paul Revere & The Raiders Featuring Mark Lindsay
We Got A Thing That's In The Groove	The Capitols
The Proud One	Frankie Valli
There's Got To Be A Word!	The Innocence
Try A Little Tenderness	Otis Redding
Winchester Cathedral	Dana Rollin
Don't Answer The Door - Part 1	B.B. King
You Can Bring Me All Your Heartaches	Lou Rawls
Ghost Riders In The Sky	Baja Marimba Band
Come Back	The Five Stairsteps
I Don't Need No Doctor	Ray Charles and his Orchestra
Bad Misunderstanding	The Critters
Alvin's Boo-Ga-Loo	Alvin Cash & The Registers
Georgy Girl	The Seekers
Blue Autumn	Bobby Goldsboro
Goodnight My Love	The Happenings
Communication Breakdown	Roy Orbison
Baby What I Mean	The Drifters
The Girl That Stood Beside Me	Bobby Darin
I Wanna Meet You	The Cryan' Shames
There's Something On Your Mind	Baby Ray
Tiny Bubbles	Don Ho and the Aliis
I'm Gonna Make You Love Me	Dee Dee Warwick
(We Ain't Got) Nothin' Yet	Blues Magoos
98.6	Keith
(He's) Raining In My Sunshine	Jay & The Americans
Tell It To The Rain	The 4 Seasons Featuring the "Sound of Frankie Valli"
Karate	The Emperor's
Have You Ever Loved Somebody	The Searchers
You Got Me Hummin'	Sam & Dave
Questions And Answers	The In Crowd
I'll Be Home	The Platters
I Had Too Much To Dream (Last Night)	The Electric Prunes
If You Go Away	Damita Jo
Peak Of Love	Bobby McClure
