Work	Rihanna Featuring Drake
Love Yourself	Justin Bieber
Stressed Out	twenty one pilots
My House	Flo Rida
7 Years	Lukas Graham
Pillowtalk	Zayn
Me, Myself & I	G-Eazy x Bebe Rexha
Sorry	Justin Bieber
Cake By The Ocean	DNCE
I Took A Pill In Ibiza	Mike Posner
No	Meghan Trainor
Hello	Adele
Hands To Myself	Selena Gomez
Roses	The Chainsmokers Featuring Rozes
One Call Away	Charlie Puth
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Stitches	Shawn Mendes
Down In The DM	Yo Gotti Featuring Nicki Minaj
Don't	Bryson Tiller
Piece By Piece	Kelly Clarkson
2 Phones	Kevin Gates
Never Forget You	Zara Larsson & MNEK
Jumpman	Drake & Future
The Hills	The Weeknd
Back To Sleep	Chris Brown
Exchange	Bryson Tiller
Hotline Bling	Drake
When We Were Young	Adele
Summer Sixteen	Drake
Say It	Tory Lanez
Middle	DJ Snake Featuring Bipolar Sunshine
Here	Alessia Cara
Oui	Jeremih
What Do You Mean?	Justin Bieber
Same Old Love	Selena Gomez
In The Night	The Weeknd
Hide Away	Daya
You Should Be Here	Cole Swindell
679	Fetty Wap Featuring Remy Boyz
Ex's & Oh's	Elle King
Die A Happy Man	Thomas Rhett
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Low Life	Future Featuring The Weeknd
Sugar	Robin Schulz Featuring Francesco Yates
Can't Feel My Face	The Weeknd
White Iverson	Post Malone
Stand By You	Rachel Platten
Heartbeat	Carrie Underwood
Drunk On Your Love	Brett Eldredge
Let It Go	James Bay
My Church	Maren Morris
Something In The Way You Move	Ellie Goulding
Adventure Of A Lifetime	Coldplay
Came Here To Forget	Blake Shelton
Beautiful Drug	Zac Brown Band
Best Friend	Young Thug
Humble And Kind	Tim McGraw
Youth	Troye Sivan
Really Really	Kevin Gates
Confession	Florida Georgia Line
Somewhere On A Beach	Dierks Bentley
Snapback	Old Dominion
Don't Let Me Down	The Chainsmokers Featuring Daya
Think Of You	Chris Young Duet With Cassadee Pope
Backroad Song	Granger Smith
Try Everything	Shakira
I Like The Sound Of That	Rascal Flatts
Needed Me	Rihanna
Wild Things	Alessia Cara
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Panda	Desiigner
New Romantics	Taylor Swift
Jimmy Choo	Fetty Wap
We Went	Randy Houser
The Sound Of Silence	Disturbed
Acquainted	The Weeknd
Nobody To Blame	Chris Stapleton
Untitled 02 l 06.23.2014.	Kendrick Lamar
Cut It	O.T. Genasis Featuring Young Dolph
Break On Me.	Keith Urban
Might Be	DJ Luke Nasty
American Country Love Song	Jake Owen
T-Shirt	Thomas Rhett
Promise	Kid Ink Featuring Fetty Wap
Little Bit Of You	Chase Bryant
Lost Boy	Ruth B
Mind Reader	Dustin Lynch
Company	Justin Bieber
Untitled 07 l Levitate	Kendrick Lamar
Watch Out	2 Chainz
Cheap Thrills	Sia Featuring Sean Paul
That Don't Sound Like You	Lee Brice
Might Not	Belly Featuring The Weeknd
Saved	Ty Dolla $ign Featuring E-40
Something New	Zendaya Featuring Chris Brown
Get Ugly	Jason Derulo
Head Over Boots	Jon Pardi
Sorry Not Sorry	Bryson Tiller
Gotta Lotta	2 Chainz Featuring Lil Wayne
