MacArthur Park	Donna Summer
Double Vision	Foreigner
How Much I Feel	Ambrosia
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
You Needed Me	Anne Murray
Le Freak	Chic
I Just Wanna Stop	Gino Vannelli
I Love The Nightlife (Disco 'round)	Alicia Bridges
Time Passages	Al Stewart
You Never Done It Like That	Captain & Tennille
Ready To Take A Chance Again	Barry Manilow
Sharing The Night Together	Dr. Hook
(Our Love) Don't Throw It All Away	Andy Gibb
Strange Way	Firefall
Alive Again	Chicago
My Life	Billy Joel
Y.M.C.A.	Village People
Hot Child In The City	Nick Gilder
Dance (Disco Heat)	Sylvester
Straight On	Heart
Blue Collar Man (Long Nights)	Styx
Sweet Life	Paul Davis
Hold The Line	Toto
Don't Want To Live Without It	Pablo Cruise
Change Of Heart	Eric Carmen
How You Gonna See Me Now	Alice Cooper
The Power Of Gold	Dan Fogelberg/Tim Weisberg
One Nation Under A Groove - Part I	Funkadelic
Ooh Baby Baby	Linda Ronstadt
Part-Time Love	Elton John
Too Much Heaven	Bee Gees
Everybody Needs Love	Stephen Bishop
Kiss You All Over	Exile
I'm Every Woman	Chaka Khan
Whenever I Call You "Friend"	Kenny Loggins
This Is Love	Paul Anka
We've Got Tonight	Bob Seger & The Silver Bullet Band
On The Shelf	Donny & Marie Osmond
Run For Home	Lindisfarne
Promises	Eric Clapton And His Band
There'll Never Be	Switch
New York Groove	Ace Frehley
Instant Replay	Dan Hartman
Beast Of Burden	The Rolling Stones
Bicycle Race/Fat Bottomed Girls	Queen
Fun Time	Joe Cocker
Can You Fool	Glen Campbell
Forever Autumn	Justin Hayward
My Best Friend's Girl	The Cars
Here Comes The Night	Nick Gilder
Every 1's A Winner	Hot Chocolate
I Will Be In Love With You	Livingston Taylor
Get Off	Foxy
Blame It On The Boogie	The Jacksons
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Don't Hold Back	Chanson
The Gambler	Kenny Rogers
Mary Jane	Rick James
Hold Me, Touch Me	Paul Stanley
I Was Made For Dancin'	Leif Garrett
Fire	The Pointer Sisters
Dreadlock Holiday	10cc
Take Me To The River	Talking Heads
Who Are You	The Who
Reminiscing	Little River Band
In The Bush	Musique
September	Earth, Wind & Fire
A Little More Love	Olivia Newton-John
Driftwood	The Moody Blues
Love Me Again	Rita Coolidge
Whatever Happened To Benny Santini?	Chris Rea
The Dream Never Dies	Cooper Brothers
A Man I'll Never Be	Boston
Well All Right	Santana
You Took The Words Right Out Of My Mouth	Meat Loaf
Cuz It's You, Girl	James Walsh Gypsy Band
One Last Kiss	The J. Geils Band
Don't Cry Out Loud	Melissa Manchester
Shake It	Ian Matthews
Hot Summer Nights	Walter Egan
(You Got To Walk And) Don't Look Back	Peter Tosh with Mick Jagger
You Thrill Me	Exile
Hot Shot	Karen Young
#1 Dee Jay	Goody Goody
Your Sweetness Is My Weakness	Barry White
Lotta Love	Nicolette Larson
You've Really Got A Hold On Me	Eddie Money
Got To Have Loving	Don Ray
Only You	Loleatta Holloway And Bunny Sigler
Love Is In The Air	John Paul Young
Dancing In Paradise	El Coco
Soft And Wet	Prince
The Wedding Song (There Is Love)	Mary Macgregor
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
Let The Song Last Forever	Dan Hill
Boogie Oogie Oogie	A Taste Of Honey
It's A Laugh	Daryl Hall John Oates
Talking In Your Sleep	Crystal Gayle
Flying High	Commodores
Wavelength	Van Morrison
