The Letter	The Box Tops
Ode To Billie Joe	Bobbie Gentry
Come Back When You Grow Up	Bobby Vee And The Strangers
Reflections	Diana Ross & The Supremes
Never My Love	The Association
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
You're My Everything	The Temptations
I Dig Rock And Roll Music	Peter, Paul & Mary
Funky Broadway	Wilson Pickett
There Is A Mountain	Donovan
Baby I Love You	Aretha Franklin
You Know What I Mean	The Turtles
Brown Eyed Girl	Van Morrison
San Franciscan Nights	Eric Burdon & The Animals
Gimme Little Sign	Brenton Wood
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
Gettin' Together	Tommy James And The Shondells
Twelve Thirty (Young Girls Are Coming To The Canyon)	The Mamas & The Papas
Groovin'	Booker T. & The MG's
I Make A Fool Of Myself	Frankie Valli
Things I Should Have Said	The Grass Roots
All You Need Is Love	The Beatles
Love Bug Leave My Heart Alone	Martha & The Vandellas
How Can I Be Sure	The Young Rascals
The Cat In The Window (The Bird In The Sky)	Petula Clark
Cold Sweat - Part 1	James Brown And The Famous Flames
Dandelion	The Rolling Stones
Knock On Wood	Otis & Carla
Making Every Minute Count	Spanky And Our Gang
Light My Fire	The Doors
Get On Up	The Esquires
Expressway (To Your Heart)	Soul Survivors
To Sir With Love	Lulu
Memphis Soul Stew	King Curtis
Blue's Theme	Davie Allan And The Arrows
In The Heat Of The Night	Ray Charles
Museum	Herman's Hermits
Pleasant Valley Sunday	The Monkees
Thank The Lord For The Night Time	Neil Diamond
Ballad Of You & Me & Pooneil	Jefferson Airplane
Anything Goes	Harpers Bizarre
Hey Baby (They're Playing Our Song)	The Buckinghams
You Keep Running Away	Four Tops
Put Your Mind At Ease	Every Mothers' Son
A Banda (Ah Bahn-da)	Herb Alpert & The Tijuana Brass
Your Precious Love	Marvin Gaye & Tammi Terrell
It Must Be Him	Vikki Carr
You've Got To Pay The Price	Al Kent
Casonova (Your Playing Days Are Over)	Ruby Andrews
Let Love Come Between Us	James & Bobby Purify
Run, Run, Run	The Third Rail
What Now My Love	Mitch Ryder
(I Wanna) Testify	The Parliaments
There's Always Me	Elvis Presley With The Jordanaires
Little Ole Wine Drinker, Me	Dean Martin
Zip Code	The Five Americans
Soul Man	Sam & Dave
Take A Look	Aretha Franklin
I'll Never Fall In Love Again	Tom Jones
The Look Of Love	Dusty Springfield
Jill	Gary Lewis And The Playboys
We Love You	The Rolling Stones
People Are Strange	The Doors
Just Out Of Reach (Of My Two Empty Arms)	Percy Sledge
Child Of Clay	Jimmie Rodgers
Turn The World Around	Eddy Arnold
Lightning's Girl	Nancy Sinatra
Get Together	The Youngbloods
It's Got To Be Mellow	Leon Haywood
The Windows Of The World	Dionne Warwick
Sunshine Games	The Music Explosion
It's The Little Things	Sonny & Cher
You've Made Me So Very Happy	Brenda Holloway
Knucklehead	Bar-Kays
Ode To Billie Joe	The Kingpins
The Last Waltz	Engelbert Humperdinck
Why Do Fools Fall In Love	The Happenings
I Can't Stay Away From You	The Impressions
Forget It	The Sandpebbles
Judy	Elvis Presley
To Share Your Love	Fantastic Four
Baby I'm Lonely	The Intruders
It Could Be We're In Love	The Cryan' Shames
For What It's Worth	The Staple Singers
Tell Him	Patti Drew
More Than The Eye Can See	Al Martino
Fall In Love With Me	Bettye Swann
Let It Out (Let It All Hang Out)	The Hombres
Spreadin' Honey	The Watts 103rd Street Rhythm Band
Dancing In The Street	Ramsey Lewis
Dirty Man	Laura Lee
You're A Very Lovely Woman	The Merry-Go-Round
Purple Haze	The Jimi Hendrix Experience
Funky Donkey	Pretty Purdie
Karate-Boo-Ga-Loo	Jerryo
Louisiana Man	Pozo Seco Singers
Nine Pound Steel	Joe Simon
I'm A Fool For You	James Carr
