Dizzy	Tommy Roe
Proud Mary	Creedence Clearwater Revival
Everyday People	Sly & The Family Stone
Build Me Up Buttercup	The Foundations
Traces	Classics IV Featuring Dennis Yost
Crimson And Clover	Tommy James And The Shondells
This Girl's In Love With You	Dionne Warwick
Indian Giver	1910 Fruitgum Co.
Time Of The Season	The Zombies
This Magic Moment	Jay & The Americans
Run Away Child, Running Wild	The Temptations
Games People Play	Joe South
I've Gotta Be Me	Sammy Davis Jr.
My Whole World Ended (The Moment You Left Me)	David Ruffin
Baby, Baby Don't Cry	Smokey Robinson & The Miracles
Touch Me	The Doors
Things I'd Like To Say	New Colony Six
Galveston	Glen Campbell
Give It Up Or Turnit A Loose	James Brown
You Showed Me	The Turtles
The Weight	Aretha Franklin
Can I Change My Mind	Tyrone Davis
But You Know I Love You	The First Edition
Mr. Sun, Mr. Moon	Paul Revere & The Raiders Featuring Mark Lindsay
I Got A Line On You	Spirit
Ramblin' Gamblin' Man	Bob Seger System
You Gave Me A Mountain	Frankie Laine
Only The Strong Survive	Jerry Butler
I'm Livin' In Shame	Diana Ross & The Supremes
Sweet Cream Ladies, Forward March	The Box Tops
Hot Smoke & Sasafrass	The Bubble Puppy
Cloud Nine	Mongo Santamaria
Rock Me	Steppenwolf
Crossroads	Cream
Mendocino	Sir Douglas Quintet
You've Made Me So Very Happy	Blood, Sweat & Tears
Aquarius/Let The Sunshine In (The Flesh Failures)	The 5th Dimension
There'll Come A Time	Betty Everett
May I	Bill Deal & The Rhondels
Take Care Of Your Homework	Johnnie Taylor
Sophisticated Cissy	The Meters
I Don't Know Why	Stevie Wonder
Twenty-Five Miles	Edwin Starr
Good Lovin' Ain't Easy To Come By	Marvin Gaye & Tammi Terrell
Do Your Thing	The Watts 103rd Street Rhythm Band
Heaven	The Rascals
Try A Little Tenderness	Three Dog Night
Let It Be Me	Glen Campbell & Bobbie Gentry
Lovin' Things	The Grass Roots
To Susan On The West Coast Waiting	Donovan
Brother Love's Travelling Salvation Show	Neil Diamond
A Lover's Question	Otis Redding
Johnny One Time	Brenda Lee
I'll Try Something New	Supremes & Temptations
The Letter	The Arbors
Tear Drop City	The Monkees
Who's Making Love	Young-Holt Unlimited
Honey (I Miss You)	O.C. Smith
Tragedy	Brian Hyland
Kum Ba Yah	Tommy Leonetti
Blessed Is The Rain	The Brooklyn Bridge Featuring Johnny Maestro
When He Touches Me (Nothing Else Matters)	Peaches & Herb
These Are Not My People	Johnny Rivers
Apricot Brandy	Rhinoceros
Back Door Man	Derek
Gimme Gimme Good Lovin'	Crazy Elephant
Maybe Tomorrow	The Iveys
Glad She's A Woman	Bobby Goldsboro
Don't Give In To Him	Gary Puckett And The Union Gap
I Can Hear Music	The Beach Boys
Hello It's Me	Nazz
Shotgun	Vanilla Fudge
I Like What You're Doing (To Me)	Carla Thomas
Don't Forget About Me	Dusty Springfield
Soul Experience	Iron Butterfly
Snatching It Back	Clarence Carter
The Way It Used To Be	Engelbert Humperdinck
Don't Touch Me	Bettye Swann
No, Not Much	The Vogues
Goodbye Columbus	The Association
Long Green	The Fireballs
Will You Be Staying After Sunday	The Peppermint Rainbow
Day After Day (It's Slippin' Away)	Shango
Hair	The Cowsills
Playgirl	Thee Prophets
Time Is Tight	Booker T. & The MG's
Didn't You Know (You'd Have To Cry Sometime)	Gladys Knight And The Pips
Nothing But A Heartache	The Flirtations
Sing A Simple Song	Sly & The Family Stone
Kick Out The Jams	MC5
Tracks Of My Tears	Aretha Franklin
Move In A Little Closer, Baby	Mama Cass
It's Your Thing	The Isley Brothers
Time Was	Canned Heat
Only You (And You Alone)	Bobby Hatfield
The Pledge Of Allegiance	Red Skelton
Hallways Of My Mind	The Dells
The Wedding Cake	Connie Francis
Hawaii Five-O	The Ventures
God Knows I Love You	Nancy Sinatra
