Nothing Compares 2 U	Sinead O'Connor
I Wanna Be Rich	Calloway
How Can We Be Lovers	Michael Bolton
Vogue	Madonna
All I Wanna Do Is Make Love To You	Heart
Don't Wanna Fall In Love	Jane Child
Whip Appeal	Babyface
All Around The World	Lisa Stansfield
What It Takes	Aerosmith
Alright	Janet Jackson
Without You	Motley Crue
Hold On	Wilson Phillips
Heartbeat	Seduction
Sending All My Love	Linear
Love Child	Sweet Sensation
This Old Heart Of Mine	Rod Stewart With Ronald Isley
Room At The Top	Adam Ant
Poison	Bell Biv DeVoe
Whole Wide World (From "True Love")	A'me Lorain
Here And Now	Luther Vandross
The Heart Of The Matter	Don Henley
It Must Have Been Love (From "Pretty Woman")	Roxette
U Can't Touch This	M.C. Hammer
I'll Be Your Everything	Tommy Page
Your Baby Never Looked Good In Blue	Expose
The Humpty Dance	Digital Underground
Love Will Lead You Back	Taylor Dayne
Black Velvet	Alannah Myles
Forever	KISS
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
Expression	Salt-N-Pepa
Ready Or Not	After 7
House Of Pain	Faster Pussycat
If U Were Mine	The U-Krew
Save Me	Fleetwood Mac
Baby, It's Tonight	Jude Cole
I'll See You In My Dreams	Giant
Get Up! (Before The Night Is Over)	Technotronic
Do You Remember?	Phil Collins
Time After Time	Timmy T.
Cruising For Bruising	Basia
I Wish It Would Rain Down	Phil Collins
Children Of The Night	Richard Marx
Turtle Power	Partners In Kryme
Getting Away With It	Electronic
A Little Love	Corey Hart
Always And Forever	Whistle
Oye Mi Canto (Hear My Voice)	Gloria Estefan
All That Glitters Isn't Gold	The Cover Girls
Enjoy The Silence	Depeche Mode
Deadbeat Club	The B-52s
Just A Friend	Biz Markie
Nicety	Michel'le
Get A Life	Soul II Soul
Cuts You Up	Peter Murphy
I'll Be Your Shelter	Taylor Dayne
The Secret Garden	Quincy Jones
No More Lies	Michel'le
Moonlight On Water	Laura Branigan
Notice Me	Nikki
Hold On	En Vogue
Dare To Fall In Love	Brent Bourgeois
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Coming Of Age	Damn Yankees
Sittin' In The Lap Of Luxury	Louie Louie
Heart Of Stone	Cher
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Heaven Is A 4 Letter Word	Bad English
That's The Way Of The World	D-Mob With Cathy Dennis
The Ballad Of Jayne	L.A. Guns
Escapade	Janet Jackson
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
How 'Bout Us (From "True Love")	Grayson Hugh & Betty Wright
Pictures Of You	The Cure
Club At The End Of The Street	Elton John
Drag My Bad Name Down	The 4 Of Us
The Way It Is	Tesla
Dub Be Good To Me	Beats International
Up All Night	Slaughter
Girls Nite Out	Tyler Collins
The Downeaster "Alexa"	Billy Joel
Cradle Of Love (From "Ford Fairlane")	Billy Idol
"B" Girls	Young And Restless
This & That	Michael Penn
Sacrifice	Elton John
Try To Find Me	Gorky Park
Love Is	Alannah Myles
Only My Heart Talkin'	Alice Cooper
Dangerous	Roxette
Lambada	Kaoma
Hide And Seek	Pajama Party
Make It Like It Was	Regina Belle
Blues Before And After	The Smithereens
Counting The Days	Joey Kid
Here We Are	Gloria Estefan
Roam	The B-52s
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Love Me For Life	Stevie B
Have A Heart	Bonnie Raitt
