Alone	Heart
Shakedown (From "Beverly Hills Cop II")	Bob Seger
I Still Haven't Found What I'm Looking For	U2
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
Something So Strong	Crowded House
Heart And Soul	T'Pau
Don't Disturb This Groove	The System
Point Of No Return	Expose
Funkytown	Pseudo Echo
Girls, Girls, Girls	Motley Crue
Kiss Him Goodbye	The Nylons
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
Luka	Suzanne Vega
Wot's It To Ya	Robbie Nevil
The Pleasure Principle	Janet Jackson
I'd Still Say Yes	Klymaxx
Songbird	Kenny G
Happy	Surface
Only In My Dreams	Debbie Gibson
Don't Mean Nothing	Richard Marx
Rock Steady	The Whispers
Back In The High Life Again	Steve Winwood
Moonlighting (Theme)	Al Jarreau
Who's That Girl	Madonna
Seven Wonders	Fleetwood Mac
Every Little Kiss	Bruce Hornsby & The Range
Hearts On Fire	Bryan Adams
La Bamba	Los Lobos
Head To Toe	Lisa Lisa And Cult Jam
It's Not Over ('til It's Over)	Starship
Always	Atlantic Starr
Can't We Try	Dan Hill (Duet With Vonda Shepard)
Living In A Box	Living In A Box
Hypnotize Me (From "Innerspace")	Wang Chung
Just To See Her	Smokey Robinson
One For The Mockingbird	Cutting Crew
Since You've Been Gone	The Outfield
Love Power	Dionne Warwick & Jeffrey Osborne
Give To Live	Sammy Hagar
Why You Treat Me So Bad	Club Nouveau
In Too Deep	Genesis
Mary's Prayer	Danny Wilson
Doing It All For My Baby	Huey Lewis & The News
When Smokey Sings	ABC
Flames Of Paradise	Jennifer Rush (Duet With Elton John)
Lies	Jonathan Butler
Jam Tonight	Freddie Jackson
I Want Action	Poison
Here I Go Again	Whitesnake
Good Times (From "The Lost Boys")	INXS & Jimmy Barnes
Meet Me Half Way	Kenny Loggins
Diamonds	Herb Alpert
Who Found Who	Jellybean Featuring Elisa Fiorillo
Lessons In Love	Level 42
Wipeout	Fat Boys & The Beach Boys
These Times Are Hard For Lovers	John Waite
Dreamin'	Will To Power
The Lady In Red	Chris de Burgh
Why Can't I Be You?	The Cure
Endless Nights	Eddie Money
You Keep Me Hangin' On	Kim Wilde
Shattered Glass	Laura Branigan
I Heard A Rumour (From "Disorderlies")	Bananarama
Holiday	Kool & The Gang
Still A Thrill	Jody Watley
One Heartbeat	Smokey Robinson
Nothing's Gonna Change My Love For You	Glenn Medeiros
In Love With Love	Debbie Harry
That's Freedom	Tom Kimmel
Wanted Dead Or Alive	Bon Jovi
Say You Really Want Me	Kim Wilde
Making Love In The Rain	Herb Alpert
Kiss And Tell	The Breakfast Club
Stand Back	The Fabulous Thunderbirds
Touch Of Grey	Grateful Dead
Johnny B	Hooters
In My Dreams	REO Speedwagon
Twistin' The Night Away (From "Innerspace")	Rod Stewart
Back To Paradise (From "Revenge Of The Nerds II")	Thirty Eight Special
Show Me The Way	Regina Belle
Jane's Getting Serious	Jon Astley
I'll Still Be Loving You	Restless Heart
Fake	Alexander O'Neal
Give Me All Night	Carly Simon
Jump Start	Natalie Cole
Strangelove	Depeche Mode
I'm Bad	LL Cool J
Still Of The Night	Whitesnake
Soul City	Partland Brothers
If She Would Have Been Faithful. . .	Chicago
Under The Boardwalk	Bruce Willis
Montego Bay	Amazulu
Niagara Falls	Chicago
Sweet Sixteen	Billy Idol
Shy Boys	Ana
Rock The Night	Europe
Wild Horses	Gino Vannelli
Ready Or Not	Lou Gramm
