Nothing From Nothing	Billy Preston
Then Came You	Dionne Warwicke & Spinners
You Haven't Done Nothin	Stevie Wonder
I Honestly Love You	Olivia Newton-John
Jazzman	Carole King
The Bitch Is Back	Elton John
Never My Love	Blue Swede
Can't Get Enough	Bad Company
Steppin' Out (Gonna Boogie Tonight)	Tony Orlando & Dawn
Love Me For A Reason	The Osmonds
Stop And Smell The Roses	Mac Davis
You Little Trustmaker	The Tymes
Skin Tight	Ohio Players
Do It Baby	The Miracles
Sweet Home Alabama	Lynyrd Skynyrd
Tin Man	America
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
Back Home Again	John Denver
Give It To The People	The Righteous Brothers
Life Is A Rock (But The Radio Rolled Me)	Reunion
Carefree Highway	Gordon Lightfoot
Earache My Eye	Cheech & Chong Featuring Alice Bowie
Do It ('til You're Satisfied)	B.T. Express
Another Saturday Night	Cat Stevens
Beach Baby	First Class
My Melody Of Love	Bobby Vinton
The Need To Be	Jim Weatherly
Straight Shootin' Woman	Steppenwolf
Overnight Sensation (Hit Record)	Raspberries
Kings Of The Party	Brownsville Station
Everlasting Love	Carl Carlton
Devotion	Earth, Wind & Fire
Honey, Honey	ABBA
Clap For The Wolfman	The Guess Who
I've Got The Music In Me	The Kiki Dee Band
Higher Plane	Kool & The Gang
Second Avenue	Garfunkel
Longfellow Serenade	Neil Diamond
When Will I See You Again	The Three Degrees
One Day At A Time	Marilyn Sellars
Love Don't Love Nobody - Pt. I	The Spinners
Blood Is Thicker Than Water	William DeVaughn
People Gotta Move	Gino Vannelli
So You Are A Star	The Hudson Brothers
You Can Have Her	Sam Neely
Hang On In There Baby	Johnny Bristol
Rock Me Gently	Andy Kim
Distant Lover	Marvin Gaye
Rockin' Soul	The Hues Corporation
Fallin' In Love	The Souther, Hillman, Furay Band
I Can Help	Billy Swan
I Love My Friend	Charlie Rich
Play Something Sweet (Brickyard Blues)	Three Dog Night
Sha-La-La (Make Me Happy)	Al Green
Wishing You Were Here	Chicago
She Called Me Baby	Charlie Rich
Second Avenue	Tim Moore
My Country	Jud Strunk
Angie Baby	Helen Reddy
I Can't Leave You Alone	George McCrae
Cat's In The Cradle	Harry Chapin
Don't Send Nobody Else	Ace Spectrum
You And Me Against The World	Helen Reddy
After The Goldrush	Prelude
Virgin Man	Smokey Robinson
Doraville	Atlanta Rhythm Section
La La Peace Song	O.C. Smith
Travelin' Shoes	Elvin Bishop
The Player - Part 1	First Choice
La La Peace Song	Al Wilson
Battle Of New Orleans	The Nitty Gritty Dirt Band
Fairytale	The Pointer Sisters
The Black-Eyed Boys	Paper Lace
Papa Don't Take No Mess (Part I)	James Brown
Touch Me	Fancy
She's Gone	Tavares
Pretzel Logic	Steely Dan
You Got The Love	Rufus Featuring Chaka Khan
Kung Fu Fighting	Carl Douglas
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Free Man In Paris	Joni Mitchell
In The Bottle	Brother To Brother
Early Morning Love	Sammy Johns
Sugar Pie Guy Pt. 1	The Joneses
James Dean	Eagles
Three Ring Circus	Blue Magic
I Wash My Hands Of The Whole Damn Deal, Part I	The New Birth
Loose Booty	Sly & The Family Stone
Heavy Fallin' Out	The Stylistics
Live It Up Part 1	The Isley Brothers
Ride 'em Cowboy	Paul Davis
Up For The Down Stroke	Parliament
Ask Me	Ecstasy, Passion & Pain
Laughter In The Rain	Neil Sedaka
Give Me A Reason To Be Gone	Maureen McGovern
Don't Eat The Yellow Snow	Frank Zappa
Candy's Going Bad	Golden Earring
I'm A Ramblin' Man	Waylon Jennings
Can't Get Enough Of Your Love, Babe	Barry White
