Paint It, Black	The Rolling Stones
Did You Ever Have To Make Up Your Mind?	The Lovin' Spoonful
I Am A Rock	Simon & Garfunkel
When A Man Loves A Woman	Percy Sledge
A Groovy Kind Of Love	The Mindbenders
Strangers In The Night	Frank Sinatra
Monday, Monday	The Mamas & The Papas
It's A Man's Man's Man's World	James Brown And The Famous Flames
Green Grass	Gary Lewis And The Playboys
Barefootin'	Robert Parker
Sweet Talkin' Guy	The Chiffons
Cool Jerk	The Capitols
Oh How Happy	Shades Of Blue
Opus 17 (Don't You Worry 'Bout Me)	The 4 Seasons Featuring the "Sound of Frankie Valli"
Rainy Day Women #12 & 35	Bob Dylan
The More I See You	Chris Montez
You Don't Have To Say You Love Me	Dusty Springfield
Love Is Like An Itching In My Heart	The Supremes
Red Rubber Ball	The Cyrkle
(I'm A) Road Runner	Jr. Walker & The All Stars
Double Shot (Of My Baby's Love)	Swingin' Medallions
Don't Bring Me Down	The Animals
Girl In Love	The Outsiders
Mama	B.J. Thomas
Come On Let's Go	The McCoys
Hold On! I'm A Comin'	Sam & Dave
Kicks	Paul Revere & The Raiders Featuring Mark Lindsay
Paperback Writer	The Beatles
Good Lovin'	The Young Rascals
Message To Michael	Dionne Warwick
Dirty Water	The Standells
The Sun Ain't Gonna Shine (Anymore)	The Walker Bros.
Sloop John B	The Beach Boys
I Love You Drops	Vic Dana
Come Running Back	Dean Martin
Ain't Too Proud To Beg	The Temptations
How Does That Grab You, Darlin'?	Nancy Sinatra
Crying	Jay & The Americans
I Love You 1000 Times	The Platters
Backstage	Gene Pitney
Dedicated Follower Of Fashion	The Kinks
It's Over	Jimmie Rodgers
Hey Joe	The Leaves
S.Y.S.L.J.F.M. (The Letter Song)	Joe Tex
The Ballad Of Irving	Frank Gallop
Popsicle	Jan & Dean
The Last Word In Lonesome Is Me	Eddy Arnold
Hanky Panky	Tommy James And The Shondells
Peter Rabbit	Dee Jay And The Runaways
There's No Living Without Your Loving	Peter And Gordon
Little Girl	Syndicate Of Sound
He	The Righteous Brothers
The Land Of Milk And Honey	The Vogues
My Little Red Book	Love
Take This Heart Of Mine	Marvin Gaye
Oh Yeah	The Shadows Of Knight
Wiederseh'n	Al Martino
Better Use Your Head	Little Anthony And The Imperials
Let's Go Get Stoned	Ray Charles
I Know You Better Than That	Bobby Goldsboro
Wang Dang Doodle	Ko Ko Taylor
Have I Stayed Too Long	Sonny & Cher
Break Out	Mitch Ryder And The Detroit Wheels
Along Comes Mary	The Association
Cloudy Summer Afternoon (Raindrops)	Barry McGuire
Take Some Time Out For Love	The Isley Brothers
Younger Girl	The Critters
Ninety-Nine And A Half (Won't Do)	Wilson Pickett
Younger Girl	The Hondells
Solitary Man	Neil Diamond
Loving You Is Sweeter Than Ever	Four Tops
Rain	The Beatles
Batman & His Grandmother	Dickie Goodman
Mame	Bobby Darin
Evol-Not Love	The Five Americans
When A Woman Loves A Man	Esther Phillips
Everyday I Have To Cry	The Gentrys
Day For Decision	Johnny Sea
Please Tell Me Why	The Dave Clark Five
I'll Love You Forever	The Holidays
(I Washed My Hands In) Muddy Water	Johnny Rivers
Good Time Charlie	Bobby Bland
Come And Get Me	Jackie DeShannon
What Am I Going To Do Without Your Love	Martha & The Vandellas
Come On And See Me	Tammi Terrell
My Lover's Prayer	Otis Redding
The Impossible Dream (The Quest)	Jack Jones
Think Of Me	Buck Owens and The Buckaroos
Mame	Louis Armstrong
Sweet Pea	Tommy Roe
Count Down	Dave "Baby" Cortez
Don't Touch Me	Jeannie Seely
River Deep-Mountain High	Ike & Tina Turner Featuring Tina
I Love Onions	Susan Christie
One Too Many Mornings	Beau Brummels
It's An Uphill Climb To The Bottom	Walter Jackson
Neighbor, Neighbor	Jimmy Hughes
The Pied Piper	Crispian St. Peters
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
I Need Love	Barbara Mason
