Flashdance...What A Feeling	Irene Cara
Electric Avenue	Eddy Grant
Every Breath You Take	The Police
Time (Clock Of The Heart)	Culture Club
Never Gonna Let You Go	Sergio Mendes
Don't Let It End	Styx
Too Shy	Kajagoogoo
Family Man	Daryl Hall John Oates
Wanna Be Startin' Somethin'	Michael Jackson
She's A Beauty	The Tubes
Come Dancing	The Kinks
Affair Of The Heart	Rick Springfield
Our House	Madness
I'm Still Standing	Elton John
Let's Dance	David Bowie
Beat It	Michael Jackson
Is There Something I Should Know	Duran Duran
All This Love	Debarge
Stand Back	Stevie Nicks
Always Something There To Remind Me	Naked Eyes
Baby Jane	Rod Stewart
Faithfully	Journey
1999	Prince
The Woman In You	Bee Gees
She Works Hard For The Money	Donna Summer
Sweet Dreams (Are Made Of This)	Eurythmics
Roll Me Away	Bob Seger & The Silver Bullet Band
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
We Two	Little River Band
Try Again	Champaign
Overkill	Men At Work
(Keep Feeling) Fascination	The Human League
Cuts Like A Knife	Bryan Adams
Don't Pay The Ferryman	Chris de Burgh
Hot Girls In Love	Loverboy
White Wedding	Billy Idol
My Love	Lionel Richie
Take Me To Heart	Quarterflash
Maniac	Michael Sembello
Stop In The Name Of Love	The Hollies
Saved By Zero	The Fixx
It's A Mistake	Men At Work
Rock Of Ages	Def Leppard
Rock 'n' Roll Is King	Electric Light Orchestra
China Girl	David Bowie
How Do You Keep The Music Playing	James Ingram And Patti Austin
That's Love	Jim Capaldi
Slipping Away	Dave Edmunds
The Salt In My Tears	Martin Briley
She Blinded Me With Science	Thomas Dolby
Little Red Corvette	Prince
Candy Girl	New Edition
I.o.u.	Lee Greenwood
The Border	America
China	Red Rockers
War Games	Crosby, Stills & Nash
Space Age Whiz Kids	Joe Walsh
Pieces Of Ice	Diana Ross
Love Never Fails	Greg Kihn Band
Midnight Blue	Louise Tucker
The Metro	Berlin
Puttin' On The Ritz	Taco
It's Inevitable	Charlie
I'll Tumble 4 Ya	Culture Club
Straight From The Heart	Bryan Adams
Save The Overtime (For Me)	Gladys Knight And The Pips
Europa And The Pirate Twins	Thomas Dolby
Stand By	Roman Holliday
All Time High	Rita Coolidge
Juicy Fruit	Mtume
Solid Rock	Goanna
Inside Love (so Personal)	George Benson
The Closer You Get	Alabama
Solitaire	Laura Branigan
Don't Make Me Do It	Patrick Simmons
Stranger In My House	Ronnie Milsap
Hold Me 'til The Mornin' Comes	Paul Anka
You Are In My System	Robert Palmer
Blame It On Love	Smokey Robinson & Barbara Mitchell
The Safety Dance	Men Without Hats
Boogie Down	Jarreau
Fade Away	Loz Netto
Dead Giveaway	Shalamar
Photograph	Def Leppard
Ewok Celebration	Meco
Drop The Pilot	Joan Armatrading
How Am I Supposed To Live Without You	Laura Branigan
Do You Compute?	Donnie Iris
Shy Boy (Don't It Make You Feel Good)	Bananarama
Waiting For Your Love	Toto
West Coast Summer Nights	Tony Carey
Cool Places	Sparks & Jane Wiedlin
Never Tell An Angel (When Your Heart's On Fire)	The Stompers
Love Is The Key	Maze Featuring Frankie Beverly
Night Pulse	Double Image
All My Life	Kenny Rogers
No Time For Talk	Christopher Cross
Billie Jean	Michael Jackson
I Won't Hold You Back	Toto
Der Kommissar	After The Fire
