Tossin' And Turnin'	Bobby Lewis
The Boll Weevil Song	Brook Benton
Quarter To Three	U.S. Bonds
Raindrops	Dee Clark
Yellow Bird	Arthur Lyman Group
Hats Off To Larry	Del Shannon
Every Beat Of My Heart	Pips
San Antonio Rose	Floyd Cramer
I Like It Like That, Part 1	Chris Kenner
Dum Dum	Brenda Lee
Dance On Little Girl	Paul Anka
Moody River	Pat Boone
The Writing On The Wall	Adam Wade
Together	Connie Francis
Let's Twist Again	Chubby Checker
Please Stay	The Drifters
Travelin' Man	Ricky Nelson
Tell Me Why	The Belmonts
Never On Sunday	The Chordettes
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
I'm Comin' On On Back To You	Jackie Wilson
My Kind Of Girl	Matt Monro
Stand By Me	Ben E. King
Running Scared	Roy Orbison
Hello Mary Lou	Ricky Nelson
Tonight (Could Be The Night)	The Velvets featuring Virgil Johnson
Cupid	Sam Cooke
It Keeps Rainin'	Fats Domino
Sacred	The Castells
Last Night	Mar-Keys
Heart And Soul	Jan & Dean
The Fish	Bobby Rydell
The Switch-A-Roo	Hank Ballard And The Midnighters
Rainin' In My Heart	Slim Harpo
Wooden Heart	Joe Dowell
Pretty Little Angel Eyes	Curtis Lee
That's What Girls Are Made For	The Spinners
Sea Of Heartbreak	Don Gibson
I'll Be There	Damita Jo
Ole Buttermilk Sky	Bill Black's Combo
Heart And Soul	The Cleftones
Should I	The String-A-Longs
You Can't Sit Down Part 2	Philip Upchurch Combo
The Graduation Song... Pomp And Circumstance	Adrian Kimberly
Three Hearts In A Tangle	Roy Drusky
You'll Answer To Me	Patti Page
You Always Hurt The One You Love	Clarence Henry
Nature Boy	Bobby Darin
Don't Bet Money Honey	Linda Scott
No, No, No	The Chanters
I Fall To Pieces	Patsy Cline
Quite A Party	The Fireballs
Te-Ta-Te-Ta-Ta	Ernie K-Doe
I'm Gonna Knock On Your Door	Eddie Hodges
Hello Walls	Faron Young
A Tear	Gene McDaniels
You Don't Know What You've Got (Until You Lose It)	Ral Donner
My True Story	The Jive Five With Joe Rene And Orchestra
Mom And Dad's Waltz	Patti Page
Bobby	Neil Scott
Time Was	The Flamingos
Better Tell Him No	The Starlets
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
Granada	Frank Sinatra
One Summer Night	The Diamonds
Princess	Frank Gari
The Charleston	Ernie Fields
The Girl's A Devil	The Dukays
Michael	The Highwaymen
Watch Your Step	Bobby Parker
Peanuts	Rick And The Keens
Mighty Good Lovin'	The Miracles
Ready For Your Love	Shep And The Limelites
Never On Sunday	Don Costa And His Orchestra And Chorus
Barbara-Ann	The Regents
Eventually	Brenda Lee
Tender Years	George Jones
Joanie	Frankie Calen
Runaround	The Regents
I've Got News For You	Ray Charles
Take A Fool's Advice	Nat King Cole
My Memories Of You	Donnie and The Dreamers
Nag	The Halos
Too Many Rules	Connie Francis
La Dolce Vita (The Sweet Life)	Ray Ellis And His Orchestra
Black Land Farmer	Frankie Miller
What A Sweet Thing That Was	The Shirelles
Fool That I Am	Etta James
What Would You Do?	Jim Reeves
The Astronaut (Parts 1 & 2)	Jose Jimenez
Wishin' On A Rainbow	Phill Wilson
A Thing Of The Past	The Shirelles
Water Boy	Don Shirley Trio
Big River, Big Man	Claude King
If	The Paragons
Starlight, Starbright	Linda Scott
My Claire De Lune	Steve Lawrence
I Don't Want To Take A Chance	Mary Wells
Drivin' Home	Duane Eddy And The Rebels
Now You Know	Little Willie John
