Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Runaway	Janet Jackson
You Remind Me Of Something	R. Kelly
Tell Me	Groove Theory
Kiss From A Rose	Seal
Back For Good	Take That
Who Can I Run To	Xscape
As I Lay Me Down	Sophie B. Hawkins
Name	Goo Goo Dolls
Only Wanna Be With You	Hootie & The Blowfish
Diggin' On You	TLC
I'd Lie For You (And That's The Truth)	Meat Loaf
Carnival	Natalie Merchant
Roll To Me	Del Amitri
Before You Walk Out Of My Life/Like This And Like That	Monica
Breakfast At Tiffany's	Deep Blue Something
Brokenhearted	Brandy
You Are Not Alone	Michael Jackson
I Can Love You Like That	All-4-One
Run-Around	Blues Traveler
Beautiful Life	Ace Of Base
Dreaming Of You	Selena
Do You Sleep?	Lisa Loeb & Nine Stories
Pretty Girl	Jon B
December	Collective Soul
Sentimental	Deborah Cox
Bullet With Butterfly Wings	The Smashing Pumpkins
Waterfalls	TLC
Hey Lover	LL Cool J
I'll Be There For You/This House Is Not A Home	The Rembrandts
I Got 5 On It	Luniz
Anything	3T
Missing	Everything But The Girl
Let Me Be The One	Blessid Union Of Souls
Boombastic/In The Summertime	Shaggy
Comedown	Bush
Love U 4 Life	Jodeci
Cell Therapy	Goodie Mob
Set U Free	Planet Soul
A Girl Like You (From "Empire Records")	Edwyn Collins
'Til You Do Me Right	After 7
He's Mine	MoKenStef
Come With Me	Shai
Ain't Nuthin' But A She Thing	Salt-N-Pepa
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Danger	Blahzay Blahzay
Incarcerated Scarfaces/Ice Cream	Raekwon
Someone To Love	Jon B. Featuring Babyface
Heaven	Solo
I Wanna B With U	Fun Factory
Hook	Blues Traveler
Macarena (Bayside Boys Mix)	Los Del Rio
Hooked On You	Silk
Feel The Funk (From "Dangerous Minds")	Immature
Blessed	Elton John
Be My Lover	La Bouche
Automatic Lover (Call For Love)	Real McCoy
Sugar Hill	AZ
I Like It, I Love It	Tim McGraw
Time	Hootie & The Blowfish
Where Ever You Are	Terry Ellis
Hurricane	The Click
Runnin'	The Pharcyde
1st Of Tha Month	Bone Thugs-N-Harmony
Liquid Swords	Genius/GZA
Summertime In The LBC (From "The Show")	The Dove Shack
How High (From "The Show")	Redman/Method Man
The Riddler (From "Batman Forever")	Method Man
Magic Carpet Ride	The Mighty Dub Katz
Sexual Healing	Max-A-Million
Runaway	The Corrs
The World I Know	Collective Soul
Boom Boom Boom	The Outhere Brothers
Already Missing You	Gerald Levert & Eddie Levert, Sr.
Solitude	Edwin McCain
Throw Your Set In The Air	Cypress Hill
We've Got It Goin' On	Backstreet Boys
Wings Of The Morning	Capleton
Cruisin'	D'Angelo
A Mover La Colita	Artie The 1 Man Party
I Miss You (Come Back Home) (From "New York Undercover")	Monifah
East Side Rendezvous	Frost
I Will Remember You (Live)	Sarah McLachlan
Player's Anthem	Junior M.A.F.I.A.
I Hate U	Prince
Vibin'	Boyz II Men
Can I Touch You...There?	Michael Bolton
Throw Your Hands Up	L.V.
Last Dayz	Onyx
Forever Tonight	Peter Cetera & Crystal Bernard
Real Hip Hop	Das EFX
Bomdigi	Erick Sermon
Ridin' Low	L.A.D.
West Up!	WC & The Maad Circle
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me	Shania Twain
Molly (Sixteen Candles)	Sponge
Somethin' 4 Da Honeyz	Montell Jordan
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
MC's Act Like They Don't Know	KRS-One
