Rude	MAGIC!
Stay With Me	Sam Smith
Fancy	Iggy Azalea Featuring Charli XCX
All About That Bass	Meghan Trainor
Am I Wrong	Nico & Vinz
Problem	Ariana Grande Featuring Iggy Azalea
Maps	Maroon 5
Chandelier	Sia
Bang Bang	Jessie J, Ariana Grande & Nicki Minaj
Boom Clap	Charli XCX
Latch	Disclosure Featuring Sam Smith
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Rather Be	Clean Bandit Featuring Jess Glynne
All Of Me	John Legend
Black Widow	Iggy Azalea Featuring Rita Ora
Dark Horse	Katy Perry Featuring Juicy J
Shower	Becky G
Break Free	Ariana Grande Featuring Zedd
Anaconda	Nicki Minaj
Summer	Calvin Harris
Happy	Pharrell Williams
Burnin' It Down	Jason Aldean
Love Runs Out	OneRepublic
Dirt	Florida Georgia Line
2 On	Tinashe Featuring ScHoolboy Q
Don't Tell 'Em	Jeremih Featuring YG
Wiggle	Jason Derulo Featuring Snoop Dogg
American Kids	Kenny Chesney
Drunk On A Plane	Dierks Bentley
Turn Down For What	DJ Snake & Lil Jon
Bartender	Lady Antebellum
Really Don't Care	Demi Lovato Featuring Cher Lloyd
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Classic	MKTO
Counting Stars	OneRepublic
I Don't Dance	Lee Brice
A Sky Full Of Stars	Coldplay
Habits (Stay High)	Tove Lo
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
No Mediocre	T.I. Featuring Iggy Azalea
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Believe Me	Lil Wayne Featuring Drake
Cool Kids	Echosmith
Pompeii	Bastille
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Come With Me Now	KONGOS
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
Pills N Potions	Nicki Minaj
Ain't It Fun	Paramore
Don't	Ed Sheeran
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
Leave The Night On	Sam Hunt
Roller Coaster	Luke Bryan
River Bank	Brad Paisley
Amnesia	5 Seconds Of Summer
Girls Chase Boys	Ingrid Michaelson
We Dem Boyz	Wiz Khalifa
0 To 100 / The Catch Up	Drake
Hope You Get Lonely Tonight	Cole Swindell
Where It's At (Yep, Yep)	Dustin Lynch
Yeah	Joe Nichols
Me And My Broken Heart	Rixton
Come Get It Bae	Pharrell Williams
Riptide	Vance Joy
Main Chick	Kid Ink Featuring Chris Brown
This Is How We Do	Katy Perry
Beachin'	Jake Owen
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
We Are Tonight	Billy Currington
Hideaway	Kiesza
Ready Set Roll	Chase Rice
Hot Boy	Bobby Shmurda
New Flame	Chris Brown Featuring Usher & Rick Ross
Sing	Ed Sheeran
Wasted	Tiesto Featuring Matthew Koma
V. 3005	Childish Gambino
Love Never Felt So Good	Michael Jackson & Justin Timberlake
Day Drinking	Little Big Town
Bo$$	Fifth Harmony
I'm Ready	AJR
Who I Am With You	Chris Young
Cut Her Off	KCamp Featuring 2 Chainz
Work	Iggy Azalea
Stolen Dance	Milky Chance
Sunshine & Whiskey	Frankie Ballard
She Looks So Perfect	5 Seconds Of Summer
Wild Life	Jack & Jack
Fight Night	Migos
Trumpets	Jason Derulo
I Will Never Let You Down	Rita Ora
Good Kisser	Usher
My Eyes	Blake Shelton Featuring Gwen Sebastian
Fireball	Pitbull Featuring John Ryan
No Flex Zone	Rae Sremmurd
Foreign	Trey Songz
Cold One	Eric Church
Birthday	Katy Perry
Song About A Girl	Eric Paslay
About The Money	T.I. Featuring Young Thug
Dust	Eli Young Band
