Knock Three Times	Dawn
My Sweet Lord/Isn't It A Pity	George Harrison
One Less Bell To Answer	The 5th Dimension
Lonely Days	Bee Gees
Black Magic Woman	Santana
Stoney End	Barbra Streisand
Groove Me	King Floyd
Your Song	Elton John
Rose Garden	Lynn Anderson
It's Impossible	Perry Como
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Stoned Love	The Supremes
If I Were Your Woman	Gladys Knight And The Pips
River Deep - Mountain High	The Supremes & Four Tops
Love The One You're With	Stephen Stills
I Hear You Knocking	Dave Edmunds
The Tears Of A Clown	Smokey Robinson & The Miracles
Immigrant Song	Led Zeppelin
Does Anybody Really Know What Time It Is?	Chicago
For The Good Times	Ray Price
Remember Me	Diana Ross
We Gotta Get You A Woman	Runt
Born To Wander	Rare Earth
I Really Don't Want To Know/There Goes My Everything	Elvis Presley
Pay To The Piper	Chairman Of The Board
Stop The War Now	Edwin Starr
Games	Redeye
One Man Band	Three Dog Night
Domino	Van Morrison
Amazing Grace	Judy Collins
Mr. Bojangles	Nitty Gritty Dirt Band
Watching Scotty Grow	Bobby Goldsboro
Amos Moses	Jerry Reed
One Bad Apple	The Osmonds
Get Up, Get Into It, Get Involved (Pt. 1)	James Brown
If You Could Read My Mind	Gordon Lightfoot
(Don't Worry) If There's A Hell Below We're All Going To Go	Curtis Mayfield
Most Of All	B.J. Thomas
Precious, Precious	Jackie Moore
(Do The) Push And Pull Part I	Rufus Thomas
Somebody's Watching You	Little Sister
Your Time To Cry	Joe Simon
The Green Grass Starts To Grow	Dionne Warwick
Let Your Love Go	Bread
1900 Yesterday	Liz Damon's Orient Express
Mother	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Mean Mistreater	Grand Funk Railroad
Temptation Eyes	The Grass Roots
Burning Bridges	The Mike Curb Congregation
They Can't Take Away Our Music	Eric Burdon And War
Bridget The Midget (The Queen Of The Blues)	Ray Stevens
When I'm Dead And Gone	McGuinness Flint
(Theme From) Love Story	Henry Mancini And His Orchestra
If You Were Mine	Ray Charles
Sweet Mary	Wadsworth Mansion
D.O.A.	Bloodrock
He Called Me Baby	Candi Staton
Apeman	The Kinks
Jody's Got Your Girl And Gone	Johnnie Taylor
I'm So Proud	The Main Ingredient
Fresh As A Daisy	Emitt Rhodes
Church Street Soul Revival	Tommy James
(I Can Feel Those Vibrations) This Love Is Real	Jackie Wilson
Don't Let The Green Grass Fool You	Wilson Pickett
Silver Moon	Michael Nesmith & The First National Band
Morning	Jim Ed Brown
Shoes	Brook Benton With The Dixie Flyers
God Bless Whoever Sent You	The Originals
Flesh And Blood	Johnny Cash
Gypsy Queen - Part 1	Gypsy
I Can't Get Next To You	Al Green
Are You My Woman? (Tell Me So)	The Chi-lites
Help Me Make It Through The Night	Sammi Smith
Beautiful People	The New Seekers featuring Eve Graham
Holly Holy	Jr. Walker & The All Stars
Cheryl Moana Marie	John Rowles
Mixed Up Guy	Joey Scarbury
Superstar	Murray Head With The Trinidad Singers
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
Bed Of Rose's	The Statler Brothers
One Night Stand	The Magic Lanterns
Problem Child	Mark Lindsay
I Dig Everything About You	The Mob
It's Up To You Petula	Edison Lighthouse
Where Are We Going	Bobby Bloom
You're A Big Girl Now	The Stylistics
Whole Lotta Love	King Curtis & The Kingpins
I Love You For All Seasons	The Fuzz
Ride A White Swan	Tyrannosaurus Rex
(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt
Make Me Happy	Bobby Bloom
Way Back Home	The Jazz Crusaders
You're The One	The Three Degrees
Freedom	The Isley Brothers
Fly Little White Dove Fly	The Bells
Solution For Pollution	Charles Wright And The Watts 103rd Street Rhythm Band
I Need You	The Friends Of Distinction
We'll Have It Made	The Spinners
I'll Be Home	Vikki Carr
Revival (Love Is Everywhere)	The Allman Brothers Band
