Bette Davis Eyes	Kim Carnes
Being With You	Smokey Robinson
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Angel Of The Morning	Juice Newton
Medley	Stars On 45
Take It On The Run	REO Speedwagon
Living Inside Myself	Gino Vannelli
Sukiyaki	A Taste Of Honey
Too Much Time On My Hands	Styx
Watching The Wheels	John Lennon
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
Sweetheart	Franke & The Knockouts
Morning Train (Nine To Five)	Sheena Easton
How 'bout Us	Champaign
America	Neil Diamond
Kiss On My List	Daryl Hall John Oates
I Love You	Climax Blues Band
You Better You Bet	The Who
I Missed Again	Phil Collins
Say You'll Be Mine	Christopher Cross
What Are We Doin' In Love	Dottie West with Kenny Rogers
I Can't Stand It	Eric Clapton And His Band
This Little Girl	Gary U.S. Bonds
Love You Like I Never Loved Before	John O'Banion
Since I Don't Have You	Don McLean
Ain't Even Done With The Night	John Cougar
Hold On Loosely	38 Special
Jessie's Girl	Rick Springfield
Find Your Way Back	Jefferson Starship
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
You Make My Dreams	Daryl Hall John Oates
The Waiting	Tom Petty And The Heartbreakers
All Those Years Ago	George Harrison
Blessed Are The Believers	Anne Murray
Is It You	Lee Ritenour
Winning	Santana
I Loved 'em Every One	T.G. Sheppard
The One That You Love	Air Supply
Still Right Here In My Heart	Pure Prairie League
Just So Lonely	Get Wet
Fool In Love With You	Jim Photoglo
Somebody's Knockin'	Terri Gibbs
Say What	Jesse Winchester
Time	The Alan Parsons Project
Super Trouper	ABBA
Give A Little Bit More	Cliff Richard
I Can Take Care Of Myself	Billy & The Beaters
I've Been Waiting For You All Of My Life	Paul Anka
Nobody Wins	Elton John
Seven Year Ache	Rosanne Cash
Her Town Too	James Taylor & J.D. Souther
Rapture	Blondie
You Like Me Don't You	Jermaine Jackson
Wasn't That A Party	The Rovers
Modern Girl	Sheena Easton
While You See A Chance	Steve Winwood
Don't Stand So Close To Me	The Police
Sweet Baby	Stanley Clarke/George Duke
But You Know I Love You	Dolly Parton
Mercy, Mercy, Mercy	Phoebe Snow
Arc Of A Diver	Steve Winwood
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
Make That Move	Shalamar
Keep On Loving You	REO Speedwagon
Woman	John Lennon
You're So Easy To Love	Tommy James
Elvira	The Oak Ridge Boys
One Day In Your Life	Michael Jackson
Hurry Up And Wait	The Isley Brothers
Lovin' The Night Away	The Dillman Band
Almost Saturday Night	Dave Edmunds
Boy From New York City	The Manhattan Transfer
Stronger Than Before	Carole Bayer Sager
Shaddap You Face	Joe Dolce
The Stroke	Billy Squier
Double Dutch Bus	Frankie Smith
Can You Feel It	The Jacksons
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
What Cha' Gonna Do For Me	Chaka Khan
Jones Vs. Jones	Kool & The Gang
Rain In May	Max Werner
Next Time You'll Know	Sister Sledge
Promises	Barbra Streisand
A Life Of Illusion	Joe Walsh
The Best Of Times	Styx
Hearts	Marty Balin
Brooklyn Girls	Robbie Dupree
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
Yearning For Your Love	The Gap Band
I Can't Say Goodbye To You	Helen Reddy
Crying	Don McLean
Just Between You And Me	April Wine
Lately	Stevie Wonder
Time Out Of Mind	Steely Dan
Don't Stop The Music	Yarbrough & Peoples
It's A Love Thing	The Whispers
Turn Me Loose	Loverboy
Mister Sandman	Emmylou Harris
The Party's Over (Hopelessly In Love)	Journey
9 To 5	Dolly Parton
