Joy To The World	Three Dog Night
Never Can Say Goodbye	Jackson 5
Brown Sugar	The Rolling Stones
Put Your Hand In The Hand	Ocean
Me And You And A Dog Named Boo	Lobo
Want Ads	The Honey Cone
Bridge Over Troubled Water/Brand New Me	Aretha Franklin
It Don't Come Easy	Ringo Starr
If	Bread
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Love Her Madly	The Doors
Stay Awhile	The Bells
Sweet And Innocent	Donny Osmond of The Osmonds
I Am...I Said/Done Too Soon	Neil Diamond
Superstar	Murray Head With The Trinidad Singers
Here Comes The Sun	Richie Havens
I Don't Know How To Love Him	Helen Reddy
What's Going On	Marvin Gaye
Timothy	The Buoys
Rainy Days And Mondays	Carpenters
I Love You For All Seasons	The Fuzz
I Don't Blame You At All	Smokey Robinson & The Miracles
Woodstock	Matthews' Southern Comfort
Treat Her Like A Lady	Cornelius Brothers & Sister Rose
Toast And Marmalade For Tea	Tin Tin
Right On The Tip Of My Tongue	Brenda & The Tabulations
I'll Meet You Halfway	The Partridge Family Starring Shirley Jones Featuring David Cassidy
(For God's Sake) Give More Power To The People	The Chi-lites
Don't Knock My Love - Pt. 1	Wilson Pickett
Reach Out I'll Be There	Diana Ross
Power To The People	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
We Can Work It Out	Stevie Wonder
Cool Aid	Paul Humphrey & His Cool Aid Chemists
The Drum	Bobby Sherman
Me And My Arrow	Nilsson
Booty Butt	The Ray Charles Orchestra
I Don't Know How To Love Him	Yvonne Elliman
It's Too Late/I Feel The Earth Move	Carole King
Another Day/Oh Woman Oh Why	Paul McCartney
Nathan Jones	The Supremes
Lowdown	Chicago
When You're Hot, You're Hot	Jerry Reed
Indian Reservation (The Lament Of The Cherokee Reservation Indian)	The Raiders
That's The Way I've Always Heard It Should Be	Carly Simon
Melting Pot	Booker T. & The MG's
Albert Flasher/Broken	The Guess Who
Baby Let Me Kiss You	King Floyd
Don't Change On Me	Ray Charles
Cry Baby	Janis Joplin
She's Not Just Another Woman	The 8th Day
13 Questions	Seatrain
Funky Nassau-Part I	The Beginning Of The End
Double Lovin'	The Osmonds
I Won't Mention It Again	Ray Price
Do Me Right	Detroit Emeralds
Layla	Derek & The Dominos
L.A. International Airport	Susan Raye
Feelin' Alright	Grand Funk Railroad
I Cried	James Brown
Lucky Man	Emerson, Lake & Palmer
House At Pooh Corner	Nitty Gritty Dirt Band
The Court Room	Clarence Carter
Ajax Liquor Store	Hudson and Landry
Funky Music Sho Nuff Turns Me On	Edwin Starr
Never Can Say Goodbye	Isaac Hayes
Freedom	Jimi Hendrix
Bad Water	The Raeletts
Brownsville	Joy Of Cooking
Life/Only Believe	Elvis Presley
Here Comes That Rainy Day Feeling Again	The Fortunes
Be Nice To Me	Runt-Todd Rundgren
I'll Erase Away Your Pain	Whatnauts
Take Me Home, Country Roads	John Denver
Spinning Around (I Must Be Falling In Love)	The Main Ingredient
I'm Comin' Home	Dave Edmunds
Help Me Make It Through The Night	Joe Simon
Try Some, Buy Some	Ronnie Spector
Your Love (Means Everything to Me)	Charles Wright And The Watts 103rd Street Rhythm Band
High Time We Went/Black-Eyed Blues	Joe Cocker
You're My Man	Lynn Anderson
We Were Always Sweethearts	Boz Scaggs
Light Sings	The 5th Dimension
Can't Find The Time	Rose Colored Glass
Red Eye Blues	Red Eye
Hot Love	T. Rex
Ooh Poo Pah Doo	Ike & Tina Turner
Tarkio Road	Brewer And Shipley
Puppet Man/Resurrection Shuffle	Tom Jones
Flim Flam Man	Barbra Streisand
Don't Pull Your Love	Hamilton, Joe Frank & Reynolds
Sea Cruise	Johnny Rivers
I Don't Wanna Lose You	Johnnie Taylor
And I Love You So	Bobby Goldsboro
Never Ending Song Of Love	Delaney & Bonnie & Friends
Follow Me	Mary Travers
Get It On	Chase
Wholesale Love	Buddy Miles
What You See Is What You Get	Stoney & Meatloaf
California Earthquake	Norman Greenbaum
I've Found Someone Of My Own	The Free Movement
