Baby Come Back	Player
Short People	Randy Newman
Stayin' Alive	Bee Gees
You're In My Heart (The Final Acclaim)	Rod Stewart
Slip Slidin' Away	Paul Simon
We Are The Champions	Queen
How Deep Is Your Love	Bee Gees
Come Sail Away	Styx
Just The Way You Are	Billy Joel
(Love Is) Thicker Than Water	Andy Gibb
Sometimes When We Touch	Dan Hill
Hey Deanie	Shaun Cassidy
Here You Come Again	Dolly Parton
Turn To Stone	Electric Light Orchestra
Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)	Chic
Serpentine Fire	Earth, Wind & Fire
Emotion	Samantha Sang
I Go Crazy	Paul Davis
Desiree	Neil Diamond
(Every Time I Turn Around) Back In Love Again	LTD
Don't Let Me Be Misunderstood	Santa Esmeralda Starring Leroy Gomez
You Light Up My Life	Debby Boone
What's Your Name	Lynyrd Skynyrd
Theme From "Close Encounters Of The Third Kind"	John Williams
Runaround Sue	Leif Garrett
Native New Yorker	Odyssey
Long, Long Way From Home	Foreigner
Peg	Steely Dan
Too Hot Ta Trot	Commodores
Ffun	ConFunkShun
Sentimental Lady	Bob Welch
Lovely Day	Bill Withers
Theme From Close Encounters	Meco
Happy Anniversary	Little River Band
You Can't Turn Me Off (In The Middle Of Turning Me On)	High Inergy
Easy To Love	Leo Sayer
Thunder Island	Jay Ferguson
Street Corner Serenade	Wet Willie
The Name Of The Game	ABBA
I Love You	Donna Summer
Blue Bayou	Linda Ronstadt
Falling	LeBlanc & Carr
Always And Forever	Heatwave
Sweet Music Man	Kenny Rogers
Lay Down Sally	Eric Clapton
Curious Mind (Um, Um, Um, Um, Um, Um)	Johnny Rivers
Galaxy	War
Breakdown	Tom Petty And The Heartbreakers
Point Of Know Return	Kansas
Cocomotion	El Coco
Don't It Make My Brown Eyes Blue	Crystal Gayle
Jack And Jill	Raydio
Goodbye Girl	David Gates
Mind Bender	Stillwater
As	Stevie Wonder
Reach For It	George Duke
The Way I Feel Tonight	Bay City Rollers
The Way You Do The Things You Do	Rita Coolidge
It's So Easy	Linda Ronstadt
So Long	Firefall
God Only Knows	Marilyn Scott
Our Love	Natalie Cole
If You're Not Back In Love By Monday	Millie Jackson
Crazy On You	Heart
Take Me To The Kaptin	Prism
Rockaway Beach	Ramones
Gettin' Ready For Love	Diana Ross
(What A)  Wonderful World	Art Garfunkel With James Taylor & Paul Simon
Shout It Out Loud	KISS
The Next Hundred Years	Al Martino
Lady Love	Lou Rawls
Ooh Boy	Rose Royce
Let It Go, Let It Flow	Dave Mason
Le Spank	Le Pamplemousse
If It Don't Fit, Don't Force It	Kellee Patterson
What's Your Name, What's Your Number	Andrea True Connection
(You're My) Soul And Inspiration	Donny & Marie Osmond
Poor Poor Pitiful Me	Linda Ronstadt
Supernature	Cerrone
Touch And Gone	Gary Wright
Dust In The Wind	Kansas
Everybody Loves A Rain Song	B.J. Thomas
Belle	Al Green
Until Now	Bobby Arvon
Storybook Children (Daybreak)	Bette Midler
My Way	Elvis Presley
How Can I Leave You Again	John Denver
Ebony Eyes	Bob Welch
If I Can't Have You	Yvonne Elliman
Come Go With Me	Pockets
You Really Got Me	Van Halen
Love Me Right	Denise LaSalle
1,000 Laughs	Eloise Laws
Never Had A Love	Pablo Cruise
Girls' School	Wings
Ain't Gonna' Hurt Nobody	Brick
Theme Song From "Which Way Is Up"	Stargard
You Make Me Crazy	Sammy Hagar
We're All Alone	Rita Coolidge
Tried To Love	Peter Frampton
