The Power Of Love	Celine Dion
The Sign	Ace Of Base
Whatta Man	Salt-N-Pepa Featuring En Vogue
Without You/Never Forget You	Mariah Carey
Breathe Again	Toni Braxton
All For Love	Bryan Adams/Rod Stewart/Sting
So Much In Love	All-4-One
Now And Forever	Richard Marx
Cantaloop (Flip Fantasia)	US3
Hero	Mariah Carey
Because Of Love	Janet Jackson
Bump N' Grind	R. Kelly
Understanding	Xscape
Rock And Roll Dreams Come Through	Meat Loaf
Gin And Juice	Snoop Doggy Dogg
Getto Jam	Domino
Because The Night	10,000 Maniacs
Groove Thang	Zhane
All That She Wants	Ace Of Base
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
Cry For You	Jodeci
Please Forgive Me	Bryan Adams
Stay	Eternal
Amazing	Aerosmith
Choose	Color Me Badd
Linger	The Cranberries
Said I Loved You...But I Lied	Michael Bolton
Shoop	Salt-N-Pepa
Can We Talk	Tevin Campbell
Found Out About You	Gin Blossoms
Whoomp! (There It Is)	Tag Team
Everyday	Phil Collins
Again	Janet Jackson
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
Never Keeping Secrets	Babyface
(Lay Your Head On My) Pillow	Tony Toni Tone
Loser	Beck
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Dreams	Gabrielle
Mmm Mmm Mmm Mmm	Crash Test Dummies
I'm In The Mood	CeCe Peniston
I Swear	John Michael Montgomery
Having A Party	Rod Stewart
Cannonball	The Breeders
U.N.I.T.Y.	Queen Latifah
Jessie	Joshua Kadison
Will You Be There (In The Morning)	Heart
U Send Me Swingin'	Mint Condition
It's All Good	M.C. Hammer
Mr. Vain	Culture Beat
Dunkie Butt (Please Please Please)	12 Gauge
Life (Everybody Needs Somebody To Love)	Haddaway
Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown
Keep Ya Head Up	2Pac
I'm Outstanding	Shaquille O'Neal
Miss You In A Heartbeat	Def Leppard
You Know How We Do It	Ice Cube
Always On My Mind	SWV
Baby I Love Your Way (From "Reality Bites")	Big Mountain
The Most Beautiful Girl In The World	Prince
What's My Name?	Snoop Dogg
Zunga Zeng	K7
A Deeper Love (From "Sister Act 2")	Aretha Franklin
Laid	James
Goody Goody	Lisette Melendez
All About Soul	Billy Joel
Mother	Danzig
Slow And Easy	Zapp & Roger
Funk Dat/Why Is It?	Sagat
I'll Be Loving You	Collage
And Our Feelings	Babyface
Player's Ball	OutKast
If That's Your Boyfriend (He Wasn't Last Night)	MeShell Ndegeocello
What Might Have Been	Little Texas
Indian Outlaw	Tim McGraw
Award Tour	A Tribe Called Quest
You Don't Have To Worry	Mary J. Blige
Sweet Lullaby	Deep Forest
God	Tori Amos
Heaven Help/Spinning Around Over You	Lenny Kravitz
Stay (Faraway, So Close!)	U2
Since I Don't Have You	Guns N' Roses
Mass Appeal	Gang Starr
John Deere Green	Joe Diffie
You Don't Love Me (No, No, No)	Dawn Penn
My Love	Little Texas
Return To Innocence	Enigma
Come To My Window	Melissa Etheridge
Sound Of Da Police	KRS-One
Ain't Seen Love Like That	Mr. Big
Time And Chance	Color Me Badd
Betcha'll Never Find	Chantay Savage
One On One	To Be Continued...
Sex Me (Parts I & II)	R. Kelly
Tryin' To Get Over You	Vince Gill
On And On	Shyheim
Rock My World (Little Country Girl)	Brooks & Dunn
(I Know I Got) Skillz	Shaquille O'Neal
Money In The Ghetto	Too $hort
Big Time Sensuality	Bjork
