Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Runaway	Janet Jackson
Kiss From A Rose	Seal
You Are Not Alone	Michael Jackson
As I Lay Me Down	Sophie B. Hawkins
Tell Me	Groove Theory
Only Wanna Be With You	Hootie & The Blowfish
Back For Good	Take That
Carnival	Natalie Merchant
Brokenhearted	Brandy
Roll To Me	Del Amitri
I Can Love You Like That	All-4-One
Waterfalls	TLC
Who Can I Run To	Xscape
Run-Around	Blues Traveler
Name	Goo Goo Dolls
I Got 5 On It	Luniz
Do You Sleep?	Lisa Loeb & Nine Stories
I'll Be There For You/This House Is Not A Home	The Rembrandts
I'd Lie For You (And That's The Truth)	Meat Loaf
December	Collective Soul
Boombastic/In The Summertime	Shaggy
Breakfast At Tiffany's	Deep Blue Something
He's Mine	MoKenStef
Pretty Girl	Jon B
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Don't Take It Personal (Just One Of Dem Days)	Monica
Let Me Be The One	Blessid Union Of Souls
1st Of Tha Month	Bone Thugs-N-Harmony
Sentimental	Deborah Cox
Before You Walk Out Of My Life/Like This And Like That	Monica
Comedown	Bush
Sugar Hill	AZ
'Til You Do Me Right	After 7
I Hate U	Prince
Incarcerated Scarfaces/Ice Cream	Raekwon
Dreaming Of You	Selena
Anything	3T
Ain't Nuthin' But A She Thing	Salt-N-Pepa
I Like It, I Love It	Tim McGraw
How High (From "The Show")	Redman/Method Man
A Girl Like You (From "Empire Records")	Edwyn Collins
Someone To Love	Jon B. Featuring Babyface
Water Runs Dry	Boyz II Men
Feel The Funk (From "Dangerous Minds")	Immature
I Wish	Skee-Lo
Let Her Cry	Hootie & The Blowfish
Heaven	Solo
Every Little Thing I Do	Soul For Real
I Wanna B With U	Fun Factory
Macarena (Bayside Boys Mix)	Los Del Rio
Throw Your Set In The Air	Cypress Hill
One More Chance/Stay With Me	The Notorious B.I.G.
Can I Touch You...There?	Michael Bolton
Good	Better Than Ezra
Player's Anthem	Junior M.A.F.I.A.
Summertime In The LBC (From "The Show")	The Dove Shack
Automatic Lover (Call For Love)	Real McCoy
Missing	Everything But The Girl
Cell Therapy	Goodie Mob
Freek'n You	Jodeci
You Used To Love Me	Faith Evans
Vibin'	Boyz II Men
A Mover La Colita	Artie The 1 Man Party
Liquid Swords	Genius/GZA
Hook	Blues Traveler
Danger	Blahzay Blahzay
Come With Me	Shai
Downtown Venus	P.M. Dawn
Brown Sugar	D'Angelo
Boom Boom Boom	The Outhere Brothers
MC's Act Like They Don't Know	KRS-One
Somethin' 4 Da Honeyz	Montell Jordan
Runnin'	The Pharcyde
Runaway	The Corrs
Set U Free	Planet Soul
Magic Carpet Ride	The Mighty Dub Katz
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
Already Missing You	Gerald Levert & Eddie Levert, Sr.
East Side Rendezvous	Frost
Solitude	Edwin McCain
Real Hip Hop	Das EFX
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
I Miss You (Come Back Home) (From "New York Undercover")	Monifah
Forever Tonight	Peter Cetera & Crystal Bernard
Can't Cry Anymore	Sheryl Crow
Wings Of The Morning	Capleton
Temptations	2Pac
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me	Shania Twain
Crazy Cool	Paula Abdul
Molly (Sixteen Candles)	Sponge
Bomdigi	Erick Sermon
West Up!	WC & The Maad Circle
(You Make Me Feel Like) A Natural Woman (From "New York Undercover")	Mary J. Blige
Sittin' On Chrome	Masta Ace Incorporated
We've Got It Goin' On	Backstreet Boys
Tonight's The Night	BLACKstreet
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
One Boy, One Girl	Collin Raye
