Careless Whisper	Wham! Featuring George Michael
Can't Fight This Feeling	REO Speedwagon
California Girls	David Lee Roth
The Heat Is On	Glenn Frey
Lover Boy	Billy Ocean
Neutron Dance	The Pointer Sisters
I Want To Know What Love Is	Foreigner
Easy Lover	Philip Bailey With Phil Collins
Sugar Walls	Sheena Easton
The Old Man Down The Road	John Fogerty
Method Of Modern Love	Daryl Hall John Oates
Mr. Telephone Man	New Edition
Misled	Kool & The Gang
Lover Girl	Teena Marie
Too Late For Goodbyes	Julian Lennon
Private Dancer	Tina Turner
Solid	Ashford & Simpson
Material Girl	Madonna
Relax	Frankie Goes To Hollywood
Only The Young	Journey
Jungle Love	The Time
One More Night	Phil Collins
Save A Prayer	Duran Duran
Naughty Naughty	John Parr
High On You	Survivor
The Boys Of Summer	Don Henley
Keeping The Faith	Billy Joel
Just Another Night	Mick Jagger
Foolish Heart	Steve Perry
Somebody	Bryan Adams
Rockin' At Midnight	The Honeydrippers
You're The Inspiration	Chicago
Nightshift	Commodores
Turn Up The Radio	Autograph
I Wanna Hear It From Your Lips	Eric Carmen
Operator	Midnight Star
Take Me With U	Prince And The Revolution Duet With Apollonia
Obsession	Animotion
I'm On Fire	Bruce Springsteen
The Borderlines	Jeffrey Osborne
This Is Not America	David Bowie/Pat Metheny Group
Why Can't I Have You	The Cars
Like A Virgin	Madonna
Beat Of A Heart	Scandal Featuring Patty Smyth
Rhythm Of The Night	Debarge
Along Comes A Woman	Chicago
I Would Die 4 U	Prince And The Revolution
Missing You	Diana Ross
Small Town Boy	Bronski Beat
All She Wants to Do Is Dance	Don Henley
The Word Is Out	Jermaine Stewart
Second Nature	Dan Hartman
Lucky	Greg Kihn
Tenderness	General Public
Crazy For You	Madonna
Tragedy	John Hunter
Yo Little Brother	Nolan Thomas
Radioactive	The Firm
Restless Heart	John Waite
Playing To Win	Little River Band
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
Say It Again	Santana
Rain Forest	Paul Hardcastle
Let's Talk About Me	The Alan Parsons Project
Kiss and Tell	Isley, Jasper, Isley
Call To The Heart	Giuffria
Ooh Ooh Song	Pat Benatar
We Close Our Eyes	Go West
Love Light In Flight	Stevie Wonder
One Night In Bangkok	Murray Head
All I Need	Jack Wagner
New Attitude	Patti LaBelle
Treat Her Like A Lady	The Temptations
Run To You	Bryan Adams
The Bird	The Time
Money Changes Everything	Cyndi Lauper
Don't You (Forget About Me)	Simple Minds
Mistake No. 3	Culture Club
Born In The USA	Bruce Springsteen
One Night In Bangkok	Robey
This Is My Night	Chaka Khan
Look My Way	The Vels
Smooth Operator	Sade
Jamie	Ray Parker Jr.
Do What You Do	Jermaine Jackson
Change	John Waite
Cool It Now	New Edition
Holyanna	Toto
You Send Me	The Manhattans
We Belong	Pat Benatar
Crazy	Kenny Rogers
20/20	George Benson
Scientific Love	Midnight Star
The Wild Boys	Duran Duran
One Foot Back In Your Door	Roman Holliday
Bongo Bongo	Steve Miller
Go For It	Kim Wilde
Gotta Get You Home Tonight	Eugene Wilde
I Feel For You	Chaka Khan
Out Of Touch	Daryl Hall John Oates
