Babe	Styx
No More Tears (Enough Is Enough)	Barbra Streisand/Donna Summer
Still	Commodores
Please Don't Go	KC And The Sunshine Band
Escape (The Pina Colada Song)	Rupert Holmes
Send One Your Love	Stevie Wonder
Heartache Tonight	Eagles
You're Only Lonely	J.D. Souther
Ships	Barry Manilow
Do That To Me One More Time	Captain & Tennille
Take The Long Way Home	Supertramp
Broken Hearted Me	Anne Murray
Ladies Night	Kool & The Gang
Pop Muzik	M
Cool Change	Little River Band
Half The Way	Crystal Gayle
We Don't Talk Anymore	Cliff Richard
Head Games	Foreigner
Dim All The Lights	Donna Summer
Better Love Next Time	Dr. Hook
Rock With You	Michael Jackson
Tusk	Fleetwood Mac
I Want You Tonight	Pablo Cruise
Cruisin'	Smokey Robinson
You Decorated My Life	Kenny Rogers
Jane	Jefferson Starship
This Is It	Kenny Loggins
If You Remember Me	Chris Thompson & Night
I Need A Lover	John Cougar
Coward Of The County	Kenny Rogers
Dreaming	Blondie
Damned If I Do	The Alan Parsons Project
The Long Run	Eagles
Love Pains	Yvonne Elliman
Wait For Me	Daryl Hall John Oates
Don't Let Go	Isaac Hayes
Don't Do Me Like That	Tom Petty And The Heartbreakers
Third Time Lucky (First Time I Was A Fool)	Foghat
Chiquitita	ABBA
I Wanna Be Your Lover	Prince
Video Killed The Radio Star	The Buggles
Deja Vu	Dionne Warwick
I Still Have Dreams	Richie Furay
Rainbow Connection	Kermit (Jim Henson)
Train, Train	Blackfoot
Rise	Herb Alpert
Highway To Hell	AC/DC
Peter Piper	Frank Mills
Please Don't Leave	Lauren Wood
No Chance	Moon Martin
Rapper's Delight	Sugarhill Gang
Rotation	Herb Alpert
Ready For The 80's	Village People
I'd Rather Leave While I'm In Love	Rita Coolidge
Savannah Nights	Tom Johnston
Yes, I'm Ready	Teri DeSario With K.C.
Good Girls Don't	The Knack
Forever Mine	The O'Jays
Pretty Girls	Melissa Manchester
Mistrusted Love	Mistress
Since You Been Gone	Rainbow
If You Want It	Niteflyte
This Night Won't Last Forever	Michael Johnson
She's In Love With You	Suzi Quatro
I Just Can't Control Myself	Nature's Divine
You Know That I Love You	Santana
The Shape Of Things To Come	The Headboys
Roller-Skatin' Mate (Part I)	Peaches & Herb
Get It Up	Ronnie Milsap
Romeo's Tune	Steve Forbert
Lonely Eyes	Robert John
Dream Police	Cheap Trick
Voices	Cheap Trick
Do You Love What You Feel	Rufus And Chaka Khan
Slip Away	Ian Lloyd
It's All I Can Do	The Cars
Message In A Bottle	The Police
Confusion	Electric Light Orchestra
Money	The Flying Lizards
Dig The Gold	Joyce Cobb
Move Your Boogie Body	Bar-Kays
Lost Her In The Sun	John Stewart
Last Train To London	Electric Light Orchestra
Don't Stop 'til You Get Enough	Michael Jackson
I Do Believe In You	Pages
Lay It On The Line	Triumph
Come To Me	France Joli
Glide	Pleasure
Dirty Water	The Inmates
An American Dream	The Dirt Band
Street Life	The Crusaders
Cruel Shoes	Steve Martin
Let Me Know (I Have A Right)	Gloria Gaynor
You're Gonna Get What's Coming	Bonnie Raitt
I Call Your Name	Switch
The Second Time Around	Shalamar
What's A Matter Baby	Ellen Foley
With You I'm Born Again	Billy Preston & Syreeta
Dirty White Boy	Foreigner
So Good, So Right	Brenda Russell
