Pick Up The Pieces	AWB
Best Of My Love	Eagles
Some Kind Of Wonderful	Grand Funk
Black Water	The Doobie Brothers
Have You Never Been Mellow	Olivia Newton-John
Lonely People	America
My Eyes Adored You	Frankie Valli
You're No Good	Linda Ronstadt
#9 Dream	John Lennon
Nightingale	Carole King
Look In My Eyes Pretty Woman	Tony Orlando & Dawn
Fire	Ohio Players
Sweet Surrender	John Denver
Lady	Styx
Can't Get It Out Of My Head	Electric Light Orchestra
I'm A Woman	Maria Muldaur
Lady Marmalade	Labelle
Roll On Down The Highway	Bachman-Turner Overdrive
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Express	B.T. Express
Doctor's Orders	Carol Douglas
Boogie On Reggae Woman	Stevie Wonder
Poetry Man	Phoebe Snow
Up In A Puff Of Smoke	Polly Brown
Movin' On	Bad Company
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
My Boy	Elvis Presley
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Lovin' You	Minnie Riperton
Sad Sweet Dreamer	Sweet Sensation
Never Let Her Go	David Gates
Laughter In The Rain	Neil Sedaka
I Am Love (Parts I & II)	Jackson 5
Shame, Shame, Shame	Shirley And Company
Mandy	Barry Manilow
Don't Take Your Love	The Manhattans
Please Mr. Postman	Carpenters
Junior's Farm/Sally G	Paul McCartney And Wings
No No Song/snookeroo	Ringo Starr
Big Yellow Taxi	Joni Mitchell
I've Been This Way Before	Neil Diamond
If Loving You Is Wrong I Don't Want To Be Right	Millie Jackson
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song	B.J. Thomas
I Get Lifted	George McCrae
Chevy Van	Sammy Johns
Star On A TV Show	The Stylistics
Part Of The Plan	Dan Fogelberg
Emotion	Helen Reddy
Hot Dawgit	Ramsey Lewis And Earth, Wind & Fire
My Elusive Dreams	Charlie Rich
Lucy In The Sky With Diamonds	Elton John
I Belong To You	Love Unlimited
I Fought The Law	Sam Neely
Harry Truman	Chicago
Good Times, Rock & Roll	Flash Cadillac And The Continental Kids
Supernatural Thing - Part I	Ben E. King
Wolf Creek Pass	C.W. McCall
It's All Right	Jim Capaldi
Please, Mr. President	Paula Webb
Before The Next Teardrop Falls	Freddy Fender
Butter Boy	Fanny
Devil In The Bottle	T.G. Sheppard
Emma	Hot Chocolate
The South's Gonna Do It	The Charlie Daniels Band
Walking In Rhythm	The Blackbyrds
Morning Side Of The Mountain	Donny & Marie Osmond
Once You Get Started	Rufus Featuring Chaka Khan
Satin Soul	Love Unlimited Orchestra
I Won't Last A Day Without You/Let Me Be The One	Al Wilson
Happy People	The Temptations
Rhyme Tyme People	Kool & The Gang
Your Bulldog Drinks Champagne	Jim Stafford
Dance The Kung Fu	Carl Douglas
Shining Star	Earth, Wind & Fire
Never Can Say Goodbye	Gloria Gaynor
Jackie Blue	Ozark Mountain Daredevils
Future Shock	Hello People
I Have A Dream	Donny Osmond
I Wanna Learn A Love Song	Harry Chapin
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Long Tall Glasses (I Can Dance)	Leo Sayer
Hush/I'm Alive	Blue Swede
Love Corporation	The Hues Corporation
Isn't It Lonely Together	Stark & McBrien
Shoeshine Boy	Eddie Kendricks
I'll Still Love You	Jim Weatherly
Love Finds It's Own Way	Gladys Knight And The Pips
Killer Queen	Queen
Reality	James Brown
Charmer	Tim Moore
The Bertha Butt Boogie-Part 1	The Jimmy Castor Bunch
Smokin' Room	Carl Carlton
Hijack	Herbie Mann
Like A Sunday Morning	Lana Cantrell
Linda On My Mind	Conway Twitty
I'll Be Holding On	Al Downing
Bump Me Baby Part 1	Dooley Silverspoon
Angel (What In The World's Come Over Us)	Atlanta Rhythm Section
Don't Let Go	Commander Cody
