How Will I Know	Whitney Houston
Kyrie	Mr. Mister
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Sara	Starship
Living In America	James Brown
The Sweetest Taboo	Sade
Life In A Northern Town	The Dream Academy
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Burning Heart	Survivor
That's What Friends Are For	Dionne & Friends
Secret Lovers	Atlantic Starr
A Love Bizarre	Sheila E.
I'm Your Man	Wham!
These Dreams	Heart
Conga	Miami Sound Machine
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
King For A Day	Thompson Twins
Day By Day	Hooters
Russians	Sting
The Sun Always Shines on T.V.	a-ha
Digital Display	Ready For The World
Nikita	Elton John
Stages	ZZ Top
Sanctify Yourself	Simple Minds
He'll Never Love You (Like I Do)	Freddie Jackson
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
This Could Be The Night	Loverboy
What You Need	INXS
Beat's So Lonely	Charlie Sexton
Spies Like Us	Paul McCartney
Talk To Me	Stevie Nicks
Say You, Say Me	Lionel Richie
(How To Be A) Millionaire	ABC
Another Night	Aretha Franklin
Let's Go All The Way	Sly Fox
Go Home	Stevie Wonder
Walk Of Life	Dire Straits
Night Moves	Marilyn Martin
Manic Monday	The Bangles
Rock Me Amadeus	Falco
My Hometown	Bruce Springsteen
I Miss You	Klymaxx
Goodbye Is Forever	Arcadia
No Easy Way Out	Robert Tepper
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
Tender Love	Force M.D.'s
Bop	Dan Seals
I'm Not The One	The Cars
Calling America	Electric Light Orchestra
The Super Bowl Shuffle	The Chicago Bears Shufflin' Crew
Kiss	Prince And The Revolution
Do Me Baby	Meli'sa Morgan
I'd Do It All Again	Sam Harris
Goodbye	Night Ranger
Live Is Life	Opus
Addicted To Love	Robert Palmer
Party All The Time	Eddie Murphy
Alive & Kicking	Simple Minds
I Can't Wait	Stevie Nicks
Somewhere	Barbra Streisand
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
Le Bel Age (The Best Years)	Pat Benatar
I Like You	Phyllis Nelson
Everything In My Heart	Corey Hart
Strength	The Alarm
Caravan Of Love	Isley, Jasper, Isley
Baby Talk	Alisha
Small Town	John Mellencamp
Jimmy Mack	Sheena Easton
Secret	Orchestral Manoeuvres In The Dark
Let Me Be The One	Five Star
Everybody Dance	Ta Mara & The Seen
I Think It's Love	Jermaine Jackson
The Power Of Love	Jennifer Rush
Overjoyed	Stevie Wonder
Lying	Peter Frampton
Pleasure And Pain	Divinyls
Your Love	The Outfield
Something About You	Level 42
Object Of My Desire	Starpoint
Separate Lives	Phil Collins and Marilyn Martin
Stereotomy	The Alan Parsons Project
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
It's All Right (Baby's Coming Back)	Eurythmics
Saturday Love	Cherrelle With Alexander O'Neal
Face The Face	Pete Townshend
All The Kings Horses	The Firm
Tonight She Comes	The Cars
Life's What You Make It	Talk Talk
Wood Beez (Pray Like Aretha Franklin)	Scritti Politti
The Men All Pause	Klymaxx
In My Dreams	Dokken
A Little Bit Of Love (Is All It Takes)	New Edition
What Have You Done For Me Lately	Janet Jackson
One Sunny Day (From Quicksilver)	Ray Parker,Jr. & Helen Terry
No Frills Love	Jennifer Holliday
Perfect Way	Scritti Politti
Never	Heart
It's Only Love	Bryan Adams/Tina Turner
