Rock Me Gently	Andy Kim
I Honestly Love You	Olivia Newton-John
Nothing From Nothing	Billy Preston
Then Came You	Dionne Warwicke & Spinners
Beach Baby	First Class
You Haven't Done Nothin	Stevie Wonder
Clap For The Wolfman	The Guess Who
Another Saturday Night	Cat Stevens
Hang On In There Baby	Johnny Bristol
Sweet Home Alabama	Lynyrd Skynyrd
Earache My Eye	Cheech & Chong Featuring Alice Bowie
Can't Get Enough Of Your Love, Babe	Barry White
I Shot The Sheriff	Eric Clapton
(You're) Having My Baby	Paul Anka with Odia Coates
Who Do You Think You Are	Bo Donaldson And The Heywoods
Can't Get Enough	Bad Company
Never My Love	Blue Swede
You Little Trustmaker	The Tymes
Steppin' Out (Gonna Boogie Tonight)	Tony Orlando & Dawn
Stop And Smell The Roses	Mac Davis
Skin Tight	Ohio Players
Free Man In Paris	Joni Mitchell
Jazzman	Carole King
The Bitch Is Back	Elton John
I Love My Friend	Charlie Rich
Do It Baby	The Miracles
Love Me For A Reason	The Osmonds
I'm Leaving It (All) Up To You	Donny & Marie Osmond
It's Only Rock 'N Roll (But I Like It)	The Rolling Stones
You And Me Against The World	Helen Reddy
Papa Don't Take No Mess (Part I)	James Brown
Tin Man	America
Fallin' In Love	The Souther, Hillman, Furay Band
Tell Me Something Good	Rufus Featuring Chaka Khan
Let's Put It All Together	The Stylistics
Surfin' U.S.A.	The Beach Boys
One Day At A Time	Marilyn Sellars
Feel Like Makin' Love	Roberta Flack
Wildwood Weed	Jim Stafford
Life Is A Rock (But The Radio Rolled Me)	Reunion
The Night Chicago Died	Paper Lace
Give It To The People	The Righteous Brothers
Rub It In	Billy "Crash" Craddock
Wild Thing	Fancy
Straight Shootin' Woman	Steppenwolf
Carefree Highway	Gordon Lightfoot
Ain't Nothing Like The Real Thing	Aretha Franklin
Kings Of The Party	Brownsville Station
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Back Home Again	John Denver
Sideshow	Blue Magic
Live It Up Part 1	The Isley Brothers
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
One Hell Of A Woman	Mac Davis
Tell Her Love Has Felt The Need	Eddie Kendricks
The Need To Be	Jim Weatherly
It Could Have Been Me	Sami Jo
Higher Plane	Kool & The Gang
Devotion	Earth, Wind & Fire
Do It ('til You're Satisfied)	B.T. Express
Honey, Honey	ABBA
I Saw A Man And He Danced With His Wife	Cher
Everlasting Love	Carl Carlton
Blood Is Thicker Than Water	William DeVaughn
Second Avenue	Garfunkel
I've Got The Music In Me	The Kiki Dee Band
Overnight Sensation (Hit Record)	Raspberries
Up For The Down Stroke	Parliament
Do It, Fluid	The Blackbyrds
Door To Your Heart	The Dramatics
Honey Honey	Sweet Dreams
Boogie Bands And One Night Stands	Kathy Dalton
Love Don't Love Nobody - Pt. I	The Spinners
People Gotta Move	Gino Vannelli
I'm A Ramblin' Man	Waylon Jennings
So You Are A Star	The Hudson Brothers
My Melody Of Love	Bobby Vinton
The Player - Part 1	First Choice
Second Avenue	Tim Moore
You Can Have Her	Sam Neely
My Country	Jud Strunk
Virgin Man	Smokey Robinson
Don't Send Nobody Else	Ace Spectrum
Delta Dirt	Larry Gatlin
Distant Lover	Marvin Gaye
She Called Me Baby	Charlie Rich
Sha-La-La (Make Me Happy)	Al Green
James Dean	Eagles
Play Something Sweet (Brickyard Blues)	Three Dog Night
I Can Help	Billy Swan
La La Peace Song	O.C. Smith
City In The Sky	The Staple Singers
Please Come To Boston	Dave Loggins
When Will I See You Again	The Three Degrees
Call On Me	Chicago
Takin' Care Of Business	Bachman-Turner Overdrive
Don't Let The Sun Go Down On Me	Elton John
Midnight Flower	Four Tops
Keep On Smilin'	Wet Willie
All Shook Up	Suzi Quatro
