Rude	MAGIC!
Fancy	Iggy Azalea Featuring Charli XCX
Stay With Me	Sam Smith
Problem	Ariana Grande Featuring Iggy Azalea
Am I Wrong	Nico & Vinz
All Of Me	John Legend
Maps	Maroon 5
Wiggle	Jason Derulo Featuring Snoop Dogg
Latch	Disclosure Featuring Sam Smith
Summer	Calvin Harris
Chandelier	Sia
Happy	Pharrell Williams
Turn Down For What	DJ Snake & Lil Jon
Boom Clap	Charli XCX
Love Runs Out	OneRepublic
Dark Horse	Katy Perry Featuring Juicy J
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Shower	Becky G
Classic	MKTO
Dirt	Florida Georgia Line
Break Free	Ariana Grande Featuring Zedd
Rather Be	Clean Bandit Featuring Jess Glynne
American Kids	Kenny Chesney
Everything I Didn't Say	5 Seconds Of Summer
2 On	Tinashe Featuring ScHoolboy Q
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Drunk On A Plane	Dierks Bentley
Ain't It Fun	Paramore
Counting Stars	OneRepublic
Really Don't Care	Demi Lovato Featuring Cher Lloyd
Come With Me Now	KONGOS
Pompeii	Bastille
Talk Dirty	Jason Derulo Featuring 2 Chainz
Na Na	Trey Songz
Bartender	Lady Antebellum
I Don't Dance	Lee Brice
Believe Me	Lil Wayne Featuring Drake
Not A Bad Thing	Justin Timberlake
Word Crimes	"Weird Al" Yankovic
Beachin'	Jake Owen
Yeah	Joe Nichols
Me And My Broken Heart	Rixton
We Dem Boyz	Wiz Khalifa
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Black Widow	Iggy Azalea Featuring Rita Ora
Pills N Potions	Nicki Minaj
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
Best Day Of My Life	American Authors
A Sky Full Of Stars	Coldplay
Habits (Stay High)	Tove Lo
Who I Am With You	Chris Young
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
Wasted	Tiesto Featuring Matthew Koma
All About That Bass	Meghan Trainor
Try	Colbie Caillat
Sing	Ed Sheeran
Play It Again	Luke Bryan
Don't Tell 'Em	Jeremih Featuring YG
No Mediocre	T.I. Featuring Iggy Azalea
Come Get It Bae	Pharrell Williams
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Love Never Felt So Good	Michael Jackson & Justin Timberlake
Leave The Night On	Sam Hunt
I'm Ready	AJR
River Bank	Brad Paisley
Main Chick	Kid Ink Featuring Chris Brown
Girls Chase Boys	Ingrid Michaelson
We Are Tonight	Billy Currington
Work	Iggy Azalea
Dare (La La La)	Shakira
Cut Her Off	KCamp Featuring 2 Chainz
Where It's At (Yep, Yep)	Dustin Lynch
She Looks So Perfect	5 Seconds Of Summer
Riptide	Vance Joy
V. 3005	Childish Gambino
Trumpets	Jason Derulo
My Eyes	Blake Shelton Featuring Gwen Sebastian
Birthday	Katy Perry
Tennis Court	Lorde
Whiskey In My Water	Tyler Farr
Who Do You Love?	YG Featuring Drake
Good Kisser	Usher
Cool Kids	Echosmith
Trophies	Young Money Featuring Drake
Ready Set Roll	Chase Rice
Hope You Get Lonely Tonight	Cole Swindell
Roller Coaster	Luke Bryan
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
Bo$$	Fifth Harmony
Don't	Ed Sheeran
Song About A Girl	Eric Paslay
Fight Night	Migos
Amnesia	5 Seconds Of Summer
You & I (Nobody In The World)	John Legend
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Hideaway	Kiesza
Foreign	Trey Songz
Sunshine & Whiskey	Frankie Ballard
She Twerkin	Ca$h Out
