Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
You Are Not Alone	Michael Jackson
Kiss From A Rose	Seal
Runaway	Janet Jackson
Waterfalls	TLC
I Can Love You Like That	All-4-One
Only Wanna Be With You	Hootie & The Blowfish
Boombastic/In The Summertime	Shaggy
As I Lay Me Down	Sophie B. Hawkins
I Got 5 On It	Luniz
Run-Around	Blues Traveler
I Hate U	Prince
He's Mine	MoKenStef
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Roll To Me	Del Amitri
Carnival	Natalie Merchant
I'll Be There For You/This House Is Not A Home	The Rembrandts
Brokenhearted	Brandy
1st Of Tha Month	Bone Thugs-N-Harmony
Back For Good	Take That
Don't Take It Personal (Just One Of Dem Days)	Monica
Tell Me	Groove Theory
How High (From "The Show")	Redman/Method Man
Sugar Hill	AZ
December	Collective Soul
Can I Touch You...There?	Michael Bolton
I Wish	Skee-Lo
I Like It, I Love It	Tim McGraw
Water Runs Dry	Boyz II Men
Every Little Thing I Do	Soul For Real
Player's Anthem	Junior M.A.F.I.A.
'Til You Do Me Right	After 7
One More Chance/Stay With Me	The Notorious B.I.G.
Someone To Love	Jon B. Featuring Babyface
Do You Sleep?	Lisa Loeb & Nine Stories
Brown Sugar	D'Angelo
You Used To Love Me	Faith Evans
Let Me Be The One	Blessid Union Of Souls
Shy Guy (From "Bad Boys")	Diana King
Let Her Cry	Hootie & The Blowfish
Comedown	Bush
Somethin' 4 Da Honeyz	Montell Jordan
Freek'n You	Jodeci
Macarena (Bayside Boys Mix)	Los Del Rio
Pretty Girl	Jon B
I Know	Dionne Farris
Come And Get Your Love	Real McCoy
Heaven	Solo
Total Eclipse Of The Heart	Nicki French
I Wanna B With U	Fun Factory
Good	Better Than Ezra
Downtown Venus	P.M. Dawn
Breakfast At Tiffany's	Deep Blue Something
Can't Cry Anymore	Sheryl Crow
Feel The Funk (From "Dangerous Minds")	Immature
MC's Act Like They Don't Know	KRS-One
Crazy Cool	Paula Abdul
Best Friend	Brandy
Walk In The Sun	Bruce Hornsby
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Sentimental	Deborah Cox
Summertime In The LBC (From "The Show")	The Dove Shack
Real Hip Hop	Das EFX
Feel Me Flow	Naughty By Nature
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
This Ain't A Love Song	Bon Jovi
Pull Up To The Bumper	Patra
A Mover La Colita	Artie The 1 Man Party
Feels So Good	Xscape
Missing	Everything But The Girl
Send Me On My Way	Rusted Root
On The Down Low	Brian McKnight
Somebody's Crying	Chris Isaak
Molly (Sixteen Candles)	Sponge
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
Vibin'	Boyz II Men
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
Lie To Me/Something For The Pain	Bon Jovi
I Love You/You Bring Me Joy	Mary J. Blige
Scream/Childhood	Michael Jackson & Janet Jackson
We Must Be In Love	Pure Soul
Tonight's The Night	BLACKstreet
You Have The Right To Remain Silent	Perfect Stranger
Temptations	2Pac
So Many Tears	2Pac
Hey Now (Girls Just Want To Have Fun)	Cyndi Lauper
I Can't Tell You Why	Brownstone
Sittin' On Chrome	Masta Ace Incorporated
Come With Me	Shai
Round & Round	Twinz
One Boy, One Girl	Collin Raye
West Up!	WC & The Maad Circle
Jeremy/Yellow Ledbetter	Pearl Jam
Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain
Sick Of Myself	Matthew Sweet
Keeper Of The Flame	Martin Page
Human Nature	Madonna
Misery	Soul Asylum
Boom Boom Boom	The Outhere Brothers
