The Letter	The Box Tops
Never My Love	The Association
Ode To Billie Joe	Bobbie Gentry
Come Back When You Grow Up	Bobby Vee And The Strangers
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Reflections	Diana Ross & The Supremes
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
How Can I Be Sure	The Young Rascals
Gimme Little Sign	Brenton Wood
To Sir With Love	Lulu
I Dig Rock And Roll Music	Peter, Paul & Mary
Brown Eyed Girl	Van Morrison
Funky Broadway	Wilson Pickett
Dandelion	The Rolling Stones
Get On Up	The Esquires
Expressway (To Your Heart)	Soul Survivors
I Make A Fool Of Myself	Frankie Valli
Hey Baby (They're Playing Our Song)	The Buckinghams
Soul Man	Sam & Dave
Groovin'	Booker T. & The MG's
You Know What I Mean	The Turtles
Your Precious Love	Marvin Gaye & Tammi Terrell
You Keep Running Away	Four Tops
Love Bug Leave My Heart Alone	Martha & The Vandellas
The Cat In The Window (The Bird In The Sky)	Petula Clark
You're My Everything	The Temptations
Gettin' Together	Tommy James And The Shondells
It Must Be Him	Vikki Carr
What Now My Love	Mitch Ryder
Let Love Come Between Us	James & Bobby Purify
People Are Strange	The Doors
Lightning's Girl	Nancy Sinatra
Memphis Soul Stew	King Curtis
In The Heat Of The Night	Ray Charles
A Banda (Ah Bahn-da)	Herb Alpert & The Tijuana Brass
San Franciscan Nights	Eric Burdon & The Animals
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Ode To Billie Joe	The Kingpins
Let It Out (Let It All Hang Out)	The Hombres
The Look Of Love	Dusty Springfield
Child Of Clay	Jimmie Rodgers
Anything Goes	Harpers Bizarre
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
There Is A Mountain	Donovan
Knock On Wood	Otis & Carla
Ballad Of You & Me & Pooneil	Jefferson Airplane
The Last Waltz	Engelbert Humperdinck
You've Got To Pay The Price	Al Kent
We Love You	The Rolling Stones
Please Love Me Forever	Bobby Vinton
Love Is Strange	Peaches & Herb
Casonova (Your Playing Days Are Over)	Ruby Andrews
Why Do Fools Fall In Love	The Happenings
Put Your Mind At Ease	Every Mothers' Son
I'll Never Fall In Love Again	Tom Jones
Take A Look	Aretha Franklin
Holiday	Bee Gees
Incense And Peppermints	Strawberry Alarm Clock
Even The Bad Times Are Good	The Tremeloes
I'm Wondering	Stevie Wonder
The Rain, The Park & Other Things	The Cowsills
Sunshine Games	The Music Explosion
It's Got To Be Mellow	Leon Haywood
More Than The Eye Can See	Al Martino
For What It's Worth	The Staple Singers
Get Together	The Youngbloods
Everlasting Love	Robert Knight
Rock 'N' Roll Woman	Buffalo Springfield
Turn The World Around	Eddy Arnold
You've Made Me So Very Happy	Brenda Holloway
Purple Haze	The Jimi Hendrix Experience
King Midas In Reverse	The Hollies
Fall In Love With Me	Bettye Swann
Baby I'm Lonely	The Intruders
To Share Your Love	Fantastic Four
Stranded In The Middle Of Noplace	The Righteous Brothers
Judy	Elvis Presley
If This Is Love (I'd Rather Be Lonely)	The Precisions
Just One Look	The Hollies
Shout Bamalama	Mickey Murray
Hush	Billy Joe Royal
Spreadin' Honey	The Watts 103rd Street Rhythm Band
Dirty Man	Laura Lee
Dancing In The Street	Ramsey Lewis
Tell Him	Patti Drew
Funky Donkey	Pretty Purdie
Nine Pound Steel	Joe Simon
Ode To Billy Joe	Ray Bryant
What've I Done (To Make You Mad)	Linda Jones
Heart Be Still	Lorraine Ellison
Peas 'N' Rice	Freddie McCoy
Pata Pata	Miriam Makeba
Boogaloo Down Broadway	The Fantastic Johnny C
You, No One But You	Frankie Laine
Beg, Borrow And Steal	Ohio Express
I'm A Fool For You	James Carr
When The Snow Is On The Roses	Ed Ames
Walkin' Proud	The Pete Klint Quintet
You Mean The World To Me	David Houston
