I Swear	All-4-One
Stay (I Missed You) (From "Reality Bites")	Lisa Loeb & Nine Stories
Regulate (From "Above The Rim")	Warren G & Nate Dogg
Any Time, Any Place/And On And On	Janet Jackson
Don't Turn Around	Ace Of Base
Fantastic Voyage	Coolio
Can You Feel The Love Tonight (From "The Lion King")	Elton John
Back & Forth	Aaliyah
Funkdafied	Da Brat
If You Go	Jon Secada
You Mean The World To Me	Toni Braxton
Wild Night	John Mellencamp With Me'Shell Ndegeocello
I'll Remember (From "With Honors")	Madonna
Anytime You Need A Friend	Mariah Carey
Shine	Collective Soul
I Miss You	Aaron Hall
Your Body's Callin'	R. Kelly
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Crazy	Aerosmith
The Sign	Ace Of Base
Always	Erasure
The Most Beautiful Girl In The World	Prince
Beautiful In My Eyes	Joshua Kadison
When Can I See You	Babyface
Return To Innocence	Enigma
Always In My Heart	Tevin Campbell
Prayer For The Dying	Seal
Back In The Day	Ahmad
Don't Take The Girl	Tim McGraw
Come To My Window	Melissa Etheridge
Willing To Forgive	Aretha Franklin
Anything (From "Above The Rim")	SWV
Fall Down	Toad The Wet Sprocket
I'm Ready	Tevin Campbell
The Place Where You Belong (From "Beverly Hills Cop III")	Shai
100% Pure Love	Crystal Waters
The Way She Loves Me	Richard Marx
Bump N' Grind	R. Kelly
I'll Take You There (From "Threesome")	General Public
Thinkin' Problem	David Ball
Misled	Celine Dion
You Better Wait	Steve Perry
Selling The Drama	Live
I'm Not Over You	CeCe Peniston
Whatta Man	Salt-N-Pepa Featuring En Vogue
Sending My Love	Zhane
Backwater	Meat Puppets
Now And Forever	Richard Marx
Got Me Waiting	Heavy D & The Boyz
Sleeping In My Car	Roxette
This D.J.	Warren G
Booti Call	BLACKstreet
Tootsee Roll	69 Boyz
Give It Up	Public Enemy
Funky Y-2-C	The Puppies
Sweet Potatoe Pie	Domino
You Let Your Heart Go Too Fast	Spin Doctors
Dreams	The Cranberries
I Need Your Love	Boston
Moving On Up	M People
Pumps And A Bump	M.C. Hammer
Maybe Love Will Change Your Mind	Stevie Nicks
Love Sneakin' Up On You	Bonnie Raitt
The Right Kinda Lover	Patti LaBelle
What's Up	DJ Miko
Closer	Nine Inch Nails
I'll Remember You	Atlantic Starr
Girls & Boys	Blur
Nuttin' But Love	Heavy D & The Boyz
Afternoons & Coffeespoons	Crash Test Dummies
Love Is All Around	Wet Wet Wet
It's Over Now	Cause And Effect
None Of Your Business	Salt-N-Pepa
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
Old To The New	Nice & Smooth
Love On My Mind	Xscape
Crooklyn (From "Crooklyn")	The Crooklyn Dodgers
90's Girl	Blackgirl
Worker Man	Patra
Your Love Is So Divine	Miranda
Ease My Mind	Arrested Development
Diary Of A Madman	Gravediggaz
I Wish	Gabrielle
(She's) Some Kind Of Wonderful	Huey Lewis & The News
Possession	Sarah McLachlan
Nappy Heads	Fugees
Born To Roll	Masta Ace Incorporated
How Do You Like It?	Keith Sweat
Bizarre Love Triangle	FRENTE!
Feenin'	Jodeci
Tell Me Where It Hurts	Kathy Troccoli
Take It Back	Pink Floyd
Action	Terror Fabulous Featuring Nadine Sutherland
Weekend Love	Queen Latifah
Southernplayalisticadillacmuzik	OutKast
Objects In The Rear View Mirror May Appear Closer Than...	Meat Loaf
Warrior's Drum	King Just
Whenever You Come Around	Vince Gill
Wink	Neal McCoy
Captain Save A Hoe	E-40
