When Doves Cry	Prince
Dancing In The Dark	Bruce Springsteen
Jump (for My Love)	The Pointer Sisters
Self Control	Laura Branigan
The Reflex	Duran Duran
Eyes Without A Face	Billy Idol
Time After Time	Cyndi Lauper
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
The Heart Of Rock & Roll	Huey Lewis & The News
Legs	ZZ Top
Let's Hear It For The Boy	Deniece Williams
Magic	The Cars
Doctor! Doctor!	Thompson Twins
Infatuation	Rod Stewart
Borderline	Madonna
Dance Hall Days	Wang Chung
Sad Songs (say So Much)	Elton John
Oh, Sherrie	Steve Perry
Ghostbusters	Ray Parker Jr.
Breakin'...there's No Stopping Us	Ollie And Jerry
State of Shock	The Jacksons
Modern Day Delilah	Van Stephenson
Stay The Night	Chicago
I Can Dream About You	Dan Hartman
No Way Out	Jefferson Starship
Don't Walk Away	Rick Springfield
What's Love Got To Do With It	Tina Turner
I'm Free (Heaven Helps The Man)	Kenny Loggins
Sister Christian	Night Ranger
Sunglasses At Night	Corey Hart
Panama	Van Halen
If Ever You're In My Arms Again	Peabo Bryson
Stuck On You	Lionel Richie
Romancing The Stone	Eddy Grant
It's A Miracle	Culture Club
She's Mine	Steve Perry
Alibis	Sergio Mendes
Farewell My Summer Love	Michael Jackson
Prime Time	The Alan Parsons Project
Boys Do Fall In Love	Robin Gibb
Who's That Girl	Eurythmics
The First Day Of Summer	Tony Carey
Round And Round	Ratt
A Little Love	Juice Newton
Sexy Girl	Glenn Frey
Turn To You	Go-Go's
10-9-8	Face To Face
You Can't Get What You Want	Joe Jackson
Obscene Phone Caller	Rockwell
She Don't Know Me	Bon Jovi
Rock Me Tonite	Billy Squier
Love Of The Common People	Paul Young
Against All Odds (Take A Look At Me Now)	Phil Collins
Strangers In A Strange World	Jenny Burton & Patrick Jude
Hold Me	Teddy Pendergrass And Whitney Houston
The Glamorous Life	Sheila E.
It Can Happen	Yes
So You Ran	Orion The Hunter
Taking It All Too Hard	Genesis
Missing You	John Waite
Bringin' On The Heartbreak	Def Leppard
Hello	Lionel Richie
The Moment Of Truth	Survivor
The Warrior	Scandal Featuring Patty Smyth
Run, Runaway	Slade
What Is Love	Howard Jones
I'll Wait	Van Halen
Jam On It	Newcleus
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
Dancing In The Sheets	Shalamar
Young Thing, Wild Dreams (Rock Me)	Red Rider
Leave A Tender Moment Alone	Billy Joel
Breakdance	Irene Cara
The Longest Time	Billy Joel
Somebody Else's Guy	Jocelyn Brown
A Chance For Heaven	Christopher Cross
High On Emotion	Chris de Burgh
Black Stations/White Stations	M + M
Now It's My Turn	Berlin
My, Oh My	Slade
I Lost On Jeopardy	"Weird Al" Yankovic
Simple	Johnny Mathis
Thin Line Between Love And Hate	Pretenders
Feels So Real (Won't Let Go)	Patrice Rushen
All Of You	Julio Iglesias & Diana Ross
Still Loving You	Scorpions
South Central Rain (I'm Sorry)	R.E.M.
Mama, Weer All Crazee Now	Quiet Riot
Such A Shame	Talk Talk
I Didn't Mean To Turn You On	Cherelle
99 1/2	Carol Lynn Townes
Freakshow On The Dance Floor	Bar-Kays
The Lebanon	The Human League
Don't Do Me	Randy Bell
When We Make Love	Alabama
The Ghost In You	Psychedelic Furs
Rock You Like A Hurricane	Scorpions
My Ever Changing Moods	The Style Council
Whisper To A Scream (Birds Fly)	Icicle Works
Break-A-Way	Tracey Ullman
