Bette Davis Eyes	Kim Carnes
Being With You	Smokey Robinson
Medley	Stars On 45
Sukiyaki	A Taste Of Honey
Take It On The Run	REO Speedwagon
Living Inside Myself	Gino Vannelli
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
America	Neil Diamond
Sweetheart	Franke & The Knockouts
All Those Years Ago	George Harrison
How 'bout Us	Champaign
I Love You	Climax Blues Band
This Little Girl	Gary U.S. Bonds
Too Much Time On My Hands	Styx
What Are We Doin' In Love	Dottie West with Kenny Rogers
Watching The Wheels	John Lennon
Angel Of The Morning	Juice Newton
You Make My Dreams	Daryl Hall John Oates
The One That You Love	Air Supply
The Waiting	Tom Petty And The Heartbreakers
Jessie's Girl	Rick Springfield
Since I Don't Have You	Don McLean
Is It You	Lee Ritenour
Morning Train (Nine To Five)	Sheena Easton
I Missed Again	Phil Collins
Nobody Wins	Elton John
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
Winning	Santana
Say You'll Be Mine	Christopher Cross
Kiss On My List	Daryl Hall John Oates
Still Right Here In My Heart	Pure Prairie League
Find Your Way Back	Jefferson Starship
Fool In Love With You	Jim Photoglo
Say What	Jesse Winchester
You Better You Bet	The Who
Modern Girl	Sheena Easton
Time	The Alan Parsons Project
I Can Take Care Of Myself	Billy & The Beaters
Elvira	The Oak Ridge Boys
Give A Little Bit More	Cliff Richard
Seven Year Ache	Rosanne Cash
Hearts	Marty Balin
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
Sweet Baby	Stanley Clarke/George Duke
I Can't Stand It	Eric Clapton And His Band
Boy From New York City	The Manhattan Transfer
Arc Of A Diver	Steve Winwood
Ain't Even Done With The Night	John Cougar
Stronger Than Before	Carole Bayer Sager
Lovin' The Night Away	The Dillman Band
Mercy, Mercy, Mercy	Phoebe Snow
Love You Like I Never Loved Before	John O'Banion
Almost Saturday Night	Dave Edmunds
The Stroke	Billy Squier
A Life Of Illusion	Joe Walsh
Jones Vs. Jones	Kool & The Gang
You're So Easy To Love	Tommy James
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
Double Dutch Bus	Frankie Smith
What Cha' Gonna Do For Me	Chaka Khan
Promises	Barbra Streisand
Shaddap You Face	Joe Dolce
Queen Of Hearts	Juice Newton
Hold On Loosely	38 Special
Gemini Dream	The Moody Blues
Brooklyn Girls	Robbie Dupree
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
Yearning For Your Love	The Gap Band
Rock And Roll Dreams Come Through	Jim Steinman
Just So Lonely	Get Wet
Blessed Are The Believers	Anne Murray
Slow Hand	The Pointer Sisters
Rain In May	Max Werner
It's Now Or Never	John Schneider
Give It To Me Baby	Rick James
Sign Of The Gypsy Queen	April Wine
Somebody's Knockin'	Terri Gibbs
In The Air Tonight	Phil Collins
It Didn't Take Long	Spider
She Did It	Michael Damian
Fantasy Girl	38 Special
You Like Me Don't You	Jermaine Jackson
Come To Me	Aretha Franklin
Tom Sawyer	Rush
Super Trouper	ABBA
Feels So Right	Alabama
I Loved 'em Every One	T.G. Sheppard
Make That Move	Shalamar
Paradise	Change
I've Been Waiting For You All Of My Life	Paul Anka
Her Town Too	James Taylor & J.D. Souther
Rapture	Blondie
Wasn't That A Party	The Rovers
Next Time You'll Know	Sister Sledge
I Can't Say Goodbye To You	Helen Reddy
While You See A Chance	Steve Winwood
Keep On Loving You	REO Speedwagon
Don't Stand So Close To Me	The Police
But You Know I Love You	Dolly Parton
