Daydream Believer	The Monkees
I Heard It Through The Grapevine	Gladys Knight And The Pips
Hello Goodbye	The Beatles
I Second That Emotion	Smokey Robinson & The Miracles
The Rain, The Park & Other Things	The Cowsills
Incense And Peppermints	Strawberry Alarm Clock
I Say A Little Prayer	Dionne Warwick
Boogaloo Down Broadway	The Fantastic Johnny C
In And Out Of Love	Diana Ross & The Supremes
You Better Sit Down Kids	Cher
(The Lights Went Out In) Massachusetts	Bee Gees
Woman, Woman	The Union Gap Featuring Gary Puckett
To Sir With Love	Lulu
Keep The Ball Rollin'	Jay And The Techniques
Skinny Legs And All	Joe Tex
She's My Girl	The Turtles
Honey Chile	Martha Reeves & The Vandellas
Lazy Day	Spanky And Our Gang
Summer Rain	Johnny Rivers
Please Love Me Forever	Bobby Vinton
I Can See For Miles	The Who
An Open Letter To My Teenage Son	Victor Lundberg
Bend Me, Shape Me	The American Breed
Neon Rainbow	The Box Tops
Yesterday	Ray Charles
By The Time I Get To Phoenix	Glen Campbell
Judy In Disguise (With Glasses)	John Fred And The Playboys
Different Drum	Stone Poneys Featuring Linda Ronstadt
Chain Of Fools	Aretha Franklin
Next Plane To London	The Rose Garden
Beg, Borrow And Steal	Ohio Express
Pata Pata	Miriam Makeba
If I Could Build My Whole World Around You	Marvin Gaye & Tammi Terrell
And Get Away	The Esquires
Since You Showed Me How To Be Happy	Jackie Wilson
Wear Your Love Like Heaven	Donovan
Beautiful People	Bobby Vee And The Strangers
Beautiful People	Kenny O'Dell
Everlasting Love	Robert Knight
Baby You Got It	Brenton Wood
Too Much Of Nothing	Peter, Paul & Mary
Peace Of Mind	Paul Revere & The Raiders Featuring Mark Lindsay
It's Wonderful	The Young Rascals
Paper Cup	The 5th Dimension
Chattanooga Choo Choo	Harpers Bizarre
Come See About Me	Jr. Walker & The All Stars
Soul Man	Sam & Dave
Susan	The Buckinghams
Cover Me	Percy Sledge
What's It Gonna Be	Dusty Springfield
Tell Mama	Etta James
The Other Man's Grass Is Always Greener	Petula Clark
Love Power	The Sandpebbles
Okolona River Bottom Band	Bobbie Gentry
Windy	Wes Montgomery
In The Misty Moonlight	Dean Martin
I Am The Walrus	The Beatles
When You're Gone	Brenda & The Tabulations
Love Me Two Times	The Doors
Dear Eloise	The Hollies
O-O, I Love You	The Dells
Piece Of My Heart	Erma Franklin
Soul Man	Ramsey Lewis
I'm In Love	Wilson Pickett
Ooh Baby	Deon Jackson
Itchycoo Park	Small Faces
Storybook Children	Billy Vera & Judy Clay
Green Tambourine	The Lemon Pipers
Goin' Out Of My Head/Can't Take My Eyes Off You	The Lettermen
I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
Sockin' 1-2-3-4	John Roberts
I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
Hooray For The Salvation Army Band	Bill Cosby
Who Will Answer?	Ed Ames
Best Of Both Worlds	Lulu
Watch Her Ride	Jefferson Airplane
Dancing Bear	The Mamas & The Papas
My Baby Must Be A Magician	The Marvelettes
Good Combination	Sonny & Cher
Back Up Train	Al Greene & The Soul Mate's
Georgia Pines	The Candymen
A Love That's Real	The Intruders
Tony Rome	Nancy Sinatra
Up-Up And Away	Hugh Masekela
Monterey	Eric Burdon & The Animals
Everybody Knows	The Dave Clark Five
For What It's Worth	King Curtis & The Kingpins
Nobody But Me	The Human Beinz
Am I That Easy To Forget	Engelbert Humperdinck
Two Little Kids	Peaches & Herb
Here Comes Heaven	Eddy Arnold
Something's Missing	5 Stairsteps and Cubie
A Letter To Dad	Every Father's Teenage Son
Cross My Heart	Billy Stewart
Somebody's Sleeping In My Bed	Johnnie Taylor
A Voice In The Choir	Al Martino
Shout	Lulu And The Luvers
In Another Land	Bill Wyman
Dancin' Out Of My Heart	Ronnie Dove
A Little Rain Must Fall	The Epic Splendor
