Kiss On My List	Daryl Hall John Oates
Rapture	Blondie
Morning Train (Nine To Five)	Sheena Easton
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Woman	John Lennon
Angel Of The Morning	Juice Newton
While You See A Chance	Steve Winwood
Being With You	Smokey Robinson
The Best Of Times	Styx
Don't Stand So Close To Me	The Police
I Can't Stand It	Eric Clapton And His Band
Keep On Loving You	REO Speedwagon
Her Town Too	James Taylor & J.D. Souther
Crying	Don McLean
Hello Again	Neil Diamond
Somebody's Knockin'	Terri Gibbs
9 To 5	Dolly Parton
Living Inside Myself	Gino Vannelli
Don't Stop The Music	Yarbrough & Peoples
Take It On The Run	REO Speedwagon
Ain't Even Done With The Night	John Cougar
Just Between You And Me	April Wine
Time Out Of Mind	Steely Dan
Too Much Time On My Hands	Styx
Sweetheart	Franke & The Knockouts
You Better You Bet	The Who
Bette Davis Eyes	Kim Carnes
It's A Love Thing	The Whispers
How 'bout Us	Champaign
I Love You	Climax Blues Band
I Missed Again	Phil Collins
Sukiyaki	A Taste Of Honey
Watching The Wheels	John Lennon
What Kind Of Fool	Barbra Streisand & Barry Gibb
The Party's Over (Hopelessly In Love)	Journey
Turn Me Loose	Loverboy
Hold On Loosely	38 Special
Mister Sandman	Emmylou Harris
Wasn't That A Party	The Rovers
Love You Like I Never Loved Before	John O'Banion
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
What Are We Doin' In Love	Dottie West with Kenny Rogers
The Winner Takes It All	ABBA
Celebration	Kool & The Gang
Lonely Together	Barry Manilow
Say You'll Be Mine	Christopher Cross
I Love A Rainy Night	Eddie Rabbitt
Me (Without You)	Andy Gibb
A Little In Love	Cliff Richard
Treat Me Right	Pat Benatar
Find Your Way Back	Jefferson Starship
Blessed Are The Believers	Anne Murray
Jessie's Girl	Rick Springfield
I Loved 'em Every One	T.G. Sheppard
Precious To Me	Phil Seymour
Games People Play	The Alan Parsons Project
Hearts On Fire	Randy Meisner
Limelight	Rush
Who Do You Think You're Foolin'	Donna Summer
Since I Don't Have You	Don McLean
Medley	Stars On 45
But You Know I Love You	Dolly Parton
Somebody Send My Baby Home	Lenny LeBlanc
Fade Away	Bruce Springsteen
Games	Phoebe Snow
I Don't Need You	Rupert Holmes
Memories	Tierra
Lover	Michael Stanley Band
Super Trouper	ABBA
Shotgun Rider	Delbert McClinton
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
Playing With Lightning	Shot In The Dark
That Didn't Hurt Too Bad	Dr. Hook
Lovers After All	Melissa Manchester & Peabo Bryson
Winning	Santana
Lately	Stevie Wonder
Walking On Thin Ice	Yoko Ono
Right Away	Hawks
Seduced	Leon Redbone
Guitar Man	Elvis Presley
One Day In Your Life	Michael Jackson
Time	The Alan Parsons Project
Fool In Love With You	Jim Photoglo
One More Chance	Diana Ross
Hurry Up And Wait	The Isley Brothers
96 Tears	Garland Jeffreys
Still Right Here In My Heart	Pure Prairie League
I've Been Waiting For You All Of My Life	Paul Anka
I Ain't Gonna Stand For It	Stevie Wonder
I Have The Skill	Sherbs
Heaven In Your Arms	Dan Hartman
Don't Know Much	Bill Medley
You Like Me Don't You	Jermaine Jackson
Burn Rubber (Why You Wanna Hurt Me)	The Gap Band
Running Scared	The Fools
The Tide Is High	Blondie
Somebody Special	Rod Stewart
Smoky Mountain Rain	Ronnie Milsap
Hold On	Badfinger
All American Girls	Sister Sledge
