Every Breath You Take	The Police
Sweet Dreams (Are Made Of This)	Eurythmics
She Works Hard For The Money	Donna Summer
Maniac	Michael Sembello
Is There Something I Should Know	Duran Duran
Stand Back	Stevie Nicks
Flashdance...What A Feeling	Irene Cara
It's A Mistake	Men At Work
Never Gonna Let You Go	Sergio Mendes
(Keep Feeling) Fascination	The Human League
Electric Avenue	Eddy Grant
Puttin' On The Ritz	Taco
Hot Girls In Love	Loverboy
China Girl	David Bowie
I'll Tumble 4 Ya	Culture Club
Rock Of Ages	Def Leppard
Wanna Be Startin' Somethin'	Michael Jackson
1999	Prince
Take Me To Heart	Quarterflash
Saved By Zero	The Fixx
Rock 'n' Roll Is King	Electric Light Orchestra
Our House	Madness
Human Nature	Michael Jackson
The Safety Dance	Men Without Hats
Lawyers In Love	Jackson Browne
After The Fall	Journey
Tell Her About It	Billy Joel
Human Touch	Rick Springfield
Cuts Like A Knife	Bryan Adams
Don't Cry	Asia
Come Dancing	The Kinks
Promises, Promises	Naked Eyes
The Border	America
Dead Giveaway	Shalamar
Fake Friends	Joan Jett & the Blackhearts
How Am I Supposed To Live Without You	Laura Branigan
All Time High	Rita Coolidge
It's Inevitable	Charlie
Making Love Out Of Nothing At All	Air Supply
Total Eclipse Of The Heart	Bonnie Tyler
Far From Over	Frank Stallone
Don't You Get So Mad	Jeffrey Osborne
(she's) Sexy + 17	Stray Cats
Baby Jane	Rod Stewart
Pieces Of Ice	Diana Ross
Midnight Blue	Louise Tucker
Tonight, I Celebrate My Love	Peabo Bryson/Roberta Flack
You're Driving Me Out Of My Mind	Little River Band
Lady Love Me (One More Time)	George Benson
Kiss The Bride	Elton John
Hold Me 'til The Mornin' Comes	Paul Anka
Blame It On Love	Smokey Robinson & Barbara Mitchell
Too Shy	Kajagoogoo
True	Spandau Ballet
Tip Of My Tongue	The Tubes
All This Love	Debarge
Stop In The Name Of Love	The Hollies
Juicy Fruit	Mtume
I'm Still Standing	Elton John
Sharp Dressed Man	ZZ Top
Who's Behind The Door?	Zebra
Cold Blooded	Rick James
Burning Down The House	Talking Heads
West Coast Summer Nights	Tony Carey
Tell Her No	Juice Newton
The Salt In My Tears	Martin Briley
Get It Right	Aretha Franklin
How Do You Keep The Music Playing	James Ingram And Patti Austin
Big Log	Robert Plant
Words	F.R. David
Slipping Away	Dave Edmunds
War Games	Crosby, Stills & Nash
Time (Clock Of The Heart)	Culture Club
Shiny Shiny	Haysi Fantayzee
Ewok Celebration	Meco
Crazy	The Manhattans
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
Radio Free Europe	R.E.M.
She's A Beauty	The Tubes
White Wedding	Billy Idol
High Time	Styx
The Night	The Animals
Change	Tears For Fears
How Can I Refuse	Heart
Miracles	Stacy Lattisaw
Holiday Road	Lindsey Buckingham
Rainbow's End	Sergio Mendes
Family Man	Daryl Hall John Oates
Don't Let It End	Styx
I Don't Wanna Dance	Eddy Grant
Stand By	Roman Holliday
Maybe This Day	Kissing The Pink
Try Again	Champaign
You Belong To Me	The Doobie Brothers
Don't You Know How Much I Love You	Ronnie Milsap
Til You And Your Lover Are Lovers Again	Engelbert Humperdinck
Do You Compute?	Donnie Iris
A Million Miles Away	The Plimsouls
Beat It	Michael Jackson
Affair Of The Heart	Rick Springfield
