Footloose	Kenny Loggins
Against All Odds (Take A Look At Me Now)	Phil Collins
Somebody's Watching Me	Rockwell
Hello	Lionel Richie
Automatic	The Pointer Sisters
Miss Me Blind	Culture Club
Here Comes The Rain Again	Eurythmics
Hold Me Now	Thompson Twins
Adult Education	Daryl Hall John Oates
Jump	Van Halen
Girls Just Want To Have Fun	Cyndi Lauper
Eat It	"Weird Al" Yankovic
Love Somebody	Rick Springfield
They Don't Know	Tracey Ullman
You Might Think	The Cars
I Want A New Drug	Huey Lewis & The News
Girls	Dwight Twilley
Radio Ga Ga	Queen
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
Tonight	Kool & The Gang
Don't Answer Me	The Alan Parsons Project
Head Over Heels	Go-Go's
Come Back And Stay	Paul Young
Got A Hold On Me	Christine McVie
The Authority Song	John Cougar Mellencamp
Leave It	Yes
The Language Of Love	Dan Fogelberg
99 Luftballons	Nena
The Longest Time	Billy Joel
A Fine Fine Day	Tony Carey
Breakdance	Irene Cara
Show Me	Pretenders
The Kid's American	Matthew Wilder
Holding Out For A Hero	Bonnie Tyler
No More Words	Berlin
Oh, Sherrie	Steve Perry
One In A Million	The Romantics
Let's Hear It For The Boy	Deniece Williams
Dancing In The Sheets	Shalamar
Borderline	Madonna
Sister Christian	Night Ranger
Runaway	Bon Jovi
Give It Up	KC
I'll Wait	Van Halen
Catch Me I'm Falling	Real Life
It's My Life	Talk Talk
Thriller	Michael Jackson
We're Going All The Way	Jeffrey Osborne
Illegal Alien	Genesis
White Horse	Laid Back
Rock You Like A Hurricane	Scorpions
Love Me In A Special Way	Debarge
Time After Time	Cyndi Lauper
Runner	Manfred Mann's Earth Band
Give Me Tonight	Shannon
Run, Runaway	Slade
I'm Steppin' Out	John Lennon
Baby Come Back	Billy Rankin
Hunters Of The Night	Mr. Mister
Red Red Wine	UB40
Communication	Spandau Ballet
Let's Stay Together	Tina Turner
Self Control	Laura Branigan
Back Where You Belong	Thirty Eight Special
She's Strange	Cameo
New Song	Howard Jones
Give	Misiing Persons
New Moon On Monday	Duran Duran
Wouldn't It Be Good	Nik Kershaw
Olympia	Sergio Mendes
Rebel Yell	Billy Idol
Relax	Frankie Goes To Hollywood
Sail Away	The Temptations
Wrapped Around Your Finger	The Police
Nobody Told Me	John Lennon
Let The Music Play	Shannon
Perfect Combination	Stacy Lattisaw & Johnny Gill
There's No Easy Way	James Ingram
Blue Light	David Gilmour
Karma Chameleon	Culture Club
My Ever Changing Moods	The Style Council
Strip	Adam Ant
Devil In A Fast Car	Sheena Easton
No Parking (On The Dance Floor)	Midnight Star
Almost Over You	Sheena Easton
Joystick	Dazz Band
Jimmy Loves Maryann	Josie Cotton
Love Has Finally Come At Last	Bobby Womack & Patti LaBelle
Downtown	Dolly Parton
Terms Of Endearment	Michael Gore
Hands Across The Sea	Modern English
Don't Waste Your Time	Yarbrough & Peoples
Walking In My Sleep	Roger Daltrey
An Innocent Man	Billy Joel
Joanna	Kool & The Gang
When The Lady Smiles	Golden Earring
The Politics Of Dancing	Re-flex
Don't Let Go	Wang Chung
Livin' In Desperate Times	Olivia Newton-John
Unfaithfully Yours (Our Love)	Stephen Bishop
