Invisible Touch	Genesis
Sledgehammer	Peter Gabriel
Nasty	Janet Jackson
Danger Zone	Kenny Loggins
Holding Back The Years	Simply Red
Who's Johnny ("Short Circuit" Theme)	El DeBarge
Glory Of Love (Theme From "The Karate Kid Part II")	Peter Cetera
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
Your Wildest Dreams	The Moody Blues
Love Touch (Theme From "Legal Eagles")	Rod Stewart
Mad About You	Belinda Carlisle
Papa Don't Preach	Madonna
Opportunities (Let's Make Lots Of Money)	Pet Shop Boys
When The Heart Rules The Mind	GTR
Modern Woman (From "Ruthless People")	Billy Joel
Like A Rock	Bob Seger
We Don't Have To Take Our Clothes Off	Jermaine Stewart
Digging Your Scene	The Blow Monkeys
No One Is To Blame	Howard Jones
Tuff Enuff	The Fabulous Thunderbirds
Secret Separation	The Fixx
Dreams	Van Halen
On My Own	Patti LaBelle & Michael McDonald
Crush On You	The Jets
You Should Be Mine (The Woo Woo Song)	Jeffrey Osborne
Like No Other Night	Thirty Eight Special
Higher Love	Steve Winwood
Rumors	Timex Social Club
Take It Easy	Andy Taylor
Suzanne	Journey
The Edge Of Heaven	Wham!
Sweet Freedom (Theme From "Running Scared")	Michael McDonald
Hyperactive	Robert Palmer
Venus	Bananarama
All The Love In The World	The Outfield
One Step Closer To You	Gavin Christopher
Mountains	Prince And The Revolution
Take My Breath Away (Love Theme From "Top Gun")	Berlin
Baby Love	Regina
Dancing On The Ceiling	Lionel Richie
I Wanna Be A Cowboy	Boys Don't Cry
Words Get In The Way	Miami Sound Machine
If She Knew What She Wants	The Bangles
A Different Corner	George Michael
Live To Tell	Madonna
Hanging On A Heart Attack	Device
Yankee Rose	David Lee Roth
Taken In	Mike + The Mechanics
Rumbleseat	John Mellencamp
Friends And Lovers	Carl Anderson & Gloria Loring
A Kind Of Magic	Queen
Jungle Boy	John Eddie
With You All The Way	New Edition
I Can't Wait	Nu Shooz
Man Size Love (From "Running Scared")	Klymaxx
Something About You	Level 42
That Was Then, This Is Now	The Monkees
Nothin' At All	Heart
Don't Forget Me (When I'm Gone)	Glass Tiger
Touch And Go	Emerson, Lake & Powell
The Captain Of Her Heart	Double
Walk Like A Man (From "A Fine Mess")	Mary Jane Girls
Greatest Love Of All	Whitney Houston
Voice Of America's Sons	John Cafferty & The Beaver Brown Band
The Finest	The S.O.S. Band
One Hit (To The Body)	The Rolling Stones
All I Need Is A Miracle	Mike + The Mechanics
Rock'N'roll To The Rescue	The Beach Boys
Love Of A Lifetime	Chaka Khan
Peter Gunn	The Art Of Noise Featuring Duane Eddy
Do You Remember Me?	Jermaine Jackson
Before I Go	Starship
Two Of Hearts	Stacey Q
Point Of No Return	Nu Shooz
You Don't Have To Cry	Rene & Angela
If Anybody Had A Heart	John Waite
Feel The Heat	Jean Beauvoir
Vienna Calling	Falco
Headed For The Future	Neil Diamond
Victory Line	Limited Warranty
If Looks Could Kill	Heart
Living On Video	Trans-X
One Way Love	TKA
Headlines	Midnight Star
No Promises	Icehouse
Anotherloverholenyohead	Prince And The Revolution
Money$ Too Tight (To Mention)	Simply Red
Oh, People	Patti LaBelle
Somebody Like You	Thirty Eight Special
What Does It Take	Honeymoon Suite
I'm Your Man	Barry Manilow
The Best Of Me	David Foster And Olivia Newton-John
If You Leave	Orchestral Manoeuvres In The Dark
Don Quichotte	Magazine 60
In The Shape Of A Heart	Jackson Browne
Out Of Mind Out Of Sight	Models
School's Out	Krokus
I Wouldn't Lie	Yarbrough & Peoples
Be Good To Yourself	Journey
Is It Love	Mr. Mister
