Harlem Shake	Baauer
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
When I Was Your Man	Bruno Mars
Stay	Rihanna Featuring Mikky Ekko
Suit & Tie	Justin Timberlake Featuring JAY Z
I Knew You Were Trouble.	Taylor Swift
Started From The Bottom	Drake
Scream & Shout	will.i.am & Britney Spears
Love Me	Lil Wayne Featuring Drake & Future
Locked Out Of Heaven	Bruno Mars
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Daylight	Maroon 5
Feel This Moment	Pitbull Featuring Christina Aguilera
Ho Hey	The Lumineers
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Sweet Nothing	Calvin Harris Featuring Florence Welch
Radioactive	Imagine Dragons
Just Give Me A Reason	P!nk Featuring Nate Ruess
Pour It Up	Rihanna
I Will Wait	Mumford & Sons
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Heart Attack	Demi Lovato
It's Time	Imagine Dragons
Catch My Breath	Kelly Clarkson
Sure Be Cool If You Did	Blake Shelton
Little Talks	Of Monsters And Men
Gangnam Style	PSY
Poetic Justice	Kendrick Lamar Featuring Drake
Carry On	fun.
Try	P!nk
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Troublemaker	Olly Murs Featuring Flo Rida
Diamonds	Rihanna
Sail	AWOLNATION
Hall Of Fame	The Script Featuring will.i.am
One More Night	Maroon 5
Home	Phillip Phillips
Mama's Broken Heart	Miranda Lambert
Some Nights	fun.
Can't Hold Us	Macklemore & Ryan Lewis Featuring Ray Dalton
Adorn	Miguel
Downtown	Lady Antebellum
Two Black Cadillacs	Carrie Underwood
All Gold Everything	Trinidad James
Bad	Wale Featuring Tiara Thomas Or Rihanna
Wanted	Hunter Hayes
My Songs Know What You Did In The Dark (Light Em Up)	Fall Out Boy
One Of Those Nights	Tim McGraw
Better Dig Two	The Band Perry
Get Your Shine On	Florida Georgia Line
Kiss You	One Direction
Bugatti	Ace Hood Featuring Future & Rick Ross
I Drive Your Truck	Lee Brice
I Love It	Icona Pop Featuring Charli XCX
Somebody's Heartbreak	Hunter Hayes
Wagon Wheel	Darius Rucker
Tornado	Little Big Town
C'mon	Ke$ha
Loveeeeeee Song	Rihanna Featuring Future
R.I.P.	Young Jeezy Featuring 2 Chainz
I'm Different	2 Chainz
Pirate Flag	Kenny Chesney
Hey Porsche	Nelly
One Way Or Another (Teenage Kicks)	One Direction
Next To Me	Emeli Sande
Neva End	Future
If I Didn't Have You	Thompson Square
Alive	Krewella
Merry Go 'round	Kacey Musgraves
Power Trip	J. Cole Featuring Miguel
Wicked Games	The Weeknd
Give It All We Got Tonight	George Strait
Who Booty	Jonn Hart Featuring IamSU!
Buzzkill	Luke Bryan
We Still In This B****	B.o.B Featuring T.I. & Juicy J
I Can Take It From There	Chris Young
Mirrors	Justin Timberlake
Battle Scars	Lupe Fiasco & Guy Sebastian
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Love And War	Tamar Braxton
Like Jesus Does	Eric Church
Don't Judge Me	Chris Brown
Gold	Britt Nicole
Highway Don't Care	Tim McGraw With Taylor Swift
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Dope	Tyga Featuring Rick Ross
Stubborn Love	The Lumineers
Love Sosa	Chief Keef
Tip It On Back	Dierks Bentley
Levitate	Hadouken!
Remember You	Wiz Khalifa Featuring The Weeknd
Changed	Rascal Flatts
More Than Miles	Brantley Gilbert
Little Things	One Direction
As Your Friend	Afrojack Featuring Chris Brown
Kisses Down Low	Kelly Rowland
Beat This Summer	Brad Paisley
Show Out	Juicy J Featuring Big Sean & Young Jeezy
Karate Chop (Remix)	Future Featuring Lil Wayne
Gone, Gone, Gone	Phillip Phillips
