Jump	Van Halen
Girls Just Want To Have Fun	Cyndi Lauper
Somebody's Watching Me	Rockwell
99 Luftballons	Nena
Footloose	Kenny Loggins
Thriller	Michael Jackson
I Want A New Drug	Huey Lewis & The News
Here Comes The Rain Again	Eurythmics
Nobody Told Me	John Lennon
New Moon On Monday	Duran Duran
Got A Hold On Me	Christine McVie
Automatic	The Pointer Sisters
Adult Education	Daryl Hall John Oates
The Language Of Love	Dan Fogelberg
Wrapped Around Your Finger	The Police
Karma Chameleon	Culture Club
Let The Music Play	Shannon
Give It Up	KC
Hold Me Now	Thompson Twins
Against All Odds (Take A Look At Me Now)	Phil Collins
Miss Me Blind	Culture Club
Back Where You Belong	Thirty Eight Special
Runner	Manfred Mann's Earth Band
The Politics Of Dancing	Re-flex
Almost Over You	Sheena Easton
Hello	Lionel Richie
Let's Stay Together	Tina Turner
Radio Ga Ga	Queen
New Song	Howard Jones
Come Back And Stay	Paul Young
Livin' In Desperate Times	Olivia Newton-John
Girls	Dwight Twilley
An Innocent Man	Billy Joel
They Don't Know	Tracey Ullman
Joanna	Kool & The Gang
Eat It	"Weird Al" Yankovic
Red Red Wine	UB40
Don't Let Go	Wang Chung
Love Somebody	Rick Springfield
Tonight	Kool & The Gang
Leave It	Yes
The Kid's American	Matthew Wilder
This Woman	Kenny Rogers
Strip	Adam Ant
Don't Answer Me	The Alan Parsons Project
You Might Think	The Cars
One In A Million	The Romantics
Rebel Yell	Billy Idol
Holding Out For A Hero	Bonnie Tyler
Yah Mo B There	James Ingram With Michael McDonald
That's All	Genesis
A Fine Fine Day	Tony Carey
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
Looks That Kill	Motley Crue
Runaway	Bon Jovi
Talking In Your Sleep	The Romantics
Owner Of A Lonely Heart	Yes
Head Over Heels	Go-Go's
Running With The Night	Lionel Richie
She Was Hot	The Rolling Stones
We're Going All The Way	Jeffrey Osborne
Borderline	Madonna
Joystick	Dazz Band
Hyperactive	Thomas Dolby
Think Of Laura	Christopher Cross
No More Words	Berlin
Club Michelle	Eddie Money
Walking In My Sleep	Roger Daltrey
The Authority Song	John Cougar Mellencamp
White Horse	Laid Back
I Guess That's Why They Call It The Blues	Elton John
Make My Day	T.G. Sheppard With Clint Eastwood
Illegal Alien	Genesis
Show Me	Pretenders
Sister Christian	Night Ranger
Without You	David Bowie
The Sun And The Rain	Madness
Middle Of The Road	Pretenders
If Only You Knew	Patti LaBelle
Baby Come Back	Billy Rankin
Dancing In The Sheets	Shalamar
Do You Love Me	Andy Fraser
Break My Stride	Matthew Wilder
So Bad	Paul McCartney
Hunters Of The Night	Mr. Mister
Pink Houses	John Mellencamp
Give	Misiing Persons
No Parking (On The Dance Floor)	Midnight Star
Love Me In A Special Way	Debarge
Perfect Combination	Stacy Lattisaw & Johnny Gill
Encore	Cheryl Lynn
Taxi	J. Blackfoot
Bang Your Head (Metal Health)	Quiet Riot
Holiday	Madonna
Send Me An Angel	Real Life
I Still Can't Get Over Loving You	Ray Parker Jr.
Vitamin L	B.E. Taylor Group
This Could Be The Right One	April Wine
You're Looking Like Love To Me	Peabo Bryson & Roberta Flack
Beast Of Burden	Bette Midler
