Come On Eileen	Dexys Midnight Runners
Beat It	Michael Jackson
Mr. Roboto	Styx
Jeopardy	Greg Kihn Band
Billie Jean	Michael Jackson
Der Kommissar	After The Fire
One On One	Daryl Hall John Oates
Separate Ways (Worlds Apart)	Journey
Let's Dance	David Bowie
She Blinded Me With Science	Thomas Dolby
Hungry Like The Wolf	Duran Duran
Little Red Corvette	Prince
Even Now	Bob Seger & The Silver Bullet Band
Do You Really Want To Hurt Me	Culture Club
Overkill	Men At Work
I Won't Hold You Back	Toto
You Are	Lionel Richie
Solitaire	Laura Branigan
We've Got Tonight	Kenny Rogers And Sheena Easton
I Know There's Something Going On	Frida
Back On The Chain Gang	Pretenders
Change Of Heart	Tom Petty And The Heartbreakers
Twilight Zone	Golden Earring
I've Got A Rock N' Roll Heart	Eric Clapton
Shame On The Moon	Bob Seger & The Silver Bullet Band
Photograph	Def Leppard
Welcome To Heartlight	Kenny Loggins
Whirly Girl	Oxo
It Might Be You	Stephen Bishop
Some Kind Of Friend	Barry Manilow
Rio	Duran Duran
My Love	Lionel Richie
Flashdance...What A Feeling	Irene Cara
Straight From The Heart	Bryan Adams
I Like It	Debarge
So Wrong	Patrick Simmons
Mornin'	Jarreau
Stranger In My House	Ronnie Milsap
Affair Of The Heart	Rick Springfield
Always Something There To Remind Me	Naked Eyes
Faithfully	Journey
Minimum Love	Mac McAnally
Swingin'	John Anderson
Love My Way	Psychedelic Furs
I Couldn't Say No	Robert Ellis Orral With Carlene Carter
Time (Clock Of The Heart)	Culture Club
Poison Arrow	ABC
Never Give Up	Sammy Hagar
Little Too Late	Pat Benatar
Gimme All Your Lovin	ZZ Top
Fall In Love With Me	Earth, Wind & Fire
Take The Short Way Home	Dionne Warwick
All Right	Christopher Cross
Lies	Thompson Twins
Make Love Stay	Dan Fogelberg
Try Again	Champaign
The One Thing	INXS
She's A Beauty	The Tubes
Smiling Islands	Robbie Patton
Mexican Radio	Wall Of Voodoo
Sing Me Away	Night Ranger
Fool Moon Fire	Walter Egan
Breaking Us In Two	Joe Jackson
Outstanding	The Gap Band
Wind Beneath My Wings	Lou Rawls
Escalator Of Life	Robert Hazard
Wind Him Up	Saga
Stray Cat Strut	Stray Cats
Love's Got A Line On You	Scandal Featuring Patty Smyth
New Year's Day	U2
Looking For A Stranger	Pat Benatar
Reap The Wild Wind	Ultravox
You Can't Run From Love	Eddie Rabbitt
I Eat Cannibals	Total Coelo
The Fanatic	Felony
Why Me?	Planet P
Easy For You To Say	Linda Ronstadt
Cool Places	Sparks & Jane Wiedlin
I Won't Be Home Tonight	Tony Carey
Never Gonna Let You Go	Sergio Mendes
Too Shy	Kajagoogoo
Electric Avenue	Eddy Grant
All This Love	Debarge
Front Page Story	Neil Diamond
Do You Wanna Hold Me?	Bow Wow Wow
Goodnight Saigon	Billy Joel
The Devil Made Me Do It	Golden Earring
Love On My Mind Tonight	The Temptations
Down Under	Men At Work
Baby, Come To Me	Patti Austin A Duet With James Ingram
I Melt With You	Modern English
I Don't Care Anymore	Phil Collins
Every Home Should Have One	Patti Austin
If You Wanna Get Back Your Lady	The Pointer Sisters
You And I	Eddie Rabbitt With Crystal Gayle
You Are In My System	The System
Desperate But Not Serious	Adam Ant
Allentown	Billy Joel
Should I Stay Or Should I Go	The Clash
Count On Me	Gerard McMahon
