Heartaches By The Number	Guy Mitchell
Why	Frankie Avalon
El Paso	Marty Robbins
The Big Hurt	Miss Toni Fisher
Way Down Yonder In New Orleans	Freddie Cannon
It's Time To Cry	Paul Anka
Mack The Knife	Bobby Darin
We Got Love	Bobby Rydell
Among My Souvenirs	Connie Francis
Hound Dog Man	Fabian
In The Mood	Ernie Fields & Orch.
This Friendly World	Fabian
Don't You Know	Della Reese
Scarlet Ribbons (For Her Hair)	The Browns
So Many Ways	Brook Benton
Oh! Carol	Neil Sedaka
Mr. Blue	The Fleetwoods
Uh! Oh! Part 2	The Nutty Squirrels
Pretty Blue Eyes	Steve Lawrence
I Wanna Be Loved	Ricky Nelson
Be My Guest	Fats Domino
Misty	Johnny Mathis
Tear Drop	Santo & Johnny
Running Bear	Johnny Preston
You Got What It Takes	Marv Johnson
Come Into My Heart	Lloyd Price and His Orchestra
Danny Boy	Conway Twitty
Smokie - Part 2	Bill Black's Combo
Sandy	Larry Hall
Reveille Rock	Johnny And The Hurricanes
Marina	Rocco Granata and the International Quintet
First Name Initial	Annette With The Afterbeats
Dance With Me	The Drifters
Always	Sammy Turner
Go, Jimmy, Go	Jimmy Clanton
God Bless America	Connie Francis
Just As Much As Ever	Bob Beckham
Mighty Good	Ricky Nelson
(If You Cry) True Love, True Love	The Drifters
Believe Me	Royal Teens
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
Unforgettable	Dinah Washington
Put Your Head On My Shoulder	Paul Anka
Talk That Talk	Jackie Wilson
Uh! Oh! Part 1	The Nutty Squirrels
Marina	Willy Alberti
The Little Drummer Boy	The Harry Simeone Chorale
Deck Of Cards	Wink Martindale
High School U.S.A.	Tommy Facenda
Primrose Lane	Jerry Wallace With The Jewels
The Clouds	The Spacemen
Not One Minute More	Della Reese
Love Potion No. 9	The Clovers
Smooth Operator	Sarah Vaughan
I'm Movin' On	Ray Charles and his Orchestra
The Village Of St. Bernadette	Andy Williams
A Year Ago Tonight	The Crests
Talk To Me	Frank Sinatra
Lonely Street	Andy Williams
Wont'cha Come Home	Lloyd Price and His Orchestra
How About That	Dee Clark
You Were Mine	Fireflies
I've Been Around	Fats Domino
Goodnight My Love (Pleasant Dreams)	Ray Peterson
What About Us	The Coasters
I'll Walk The Line	Don Costa And His Orchestra And Chorus
Woo-Hoo	Rock-A-Teens
The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
Living Doll	Cliff Richard and The Drifters
If I Give My Heart To You	Kitty Kallen
Beyond The Sunset	Pat Boone
Torquay	Fireballs
Just Come Home	Hugo & Luigi
Tiny Tim	LaVern Baker
Do-Re-Mi	Mitch Miller
The Happy Reindeer	Dancer, Prancer And Nervous
Midnight Stroll	The Revels
(New In) The Ways Of Love	Tommy Edwards
The Enchanted Sea	The Islanders
Honestly And Truly	Tommy Edwards
One More Chance	Rod Bernard
Climb Ev'ry Mountain	Tony Bennett
We Told You Not To Marry	Titus Turner
Lucky Devil	Carl Dobkins, Jr.
Baciare Baciare (Kissing Kissing)	Dorothy Collins
Happy Anniversary	Jane Morgan
Battle Hymn Of The Republic	The Mormon Tabernacle Choir
Run Red Run	The Coasters
I Don't Know What It Is	The Bluenotes
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
The Little Drummer Boy	Johnny Cash
Teen Beat	Sandy Nelson
Swingin' On A Rainbow	Frankie Avalon
Let's Try Again	Clyde McPhatter
Joey's Song	Bill Haley And His Comets
This Time Of The Year	Brook Benton
Candy Apple Red	Bonnie Guitar
If I Had A Girl	Rod Lauren
Sweet Nothin's	Brenda Lee
Teen Angel	Mark Dinning
