Lonely Boy	Paul Anka
A Big Hunk O' Love	Elvis Presley With The Jordanaires
My Heart Is An Open Book	Carl Dobkins, Jr.
The Battle Of New Orleans	Johnny Horton
Tiger	Fabian
There Goes My Baby	The Drifters
Waterloo	Stonewall Jackson
Lavender-Blue	Sammy Turner
Sweeter Than You	Ricky Nelson
Forty Miles Of Bad Road	Duane Eddy And The Rebels
Lipstick On Your Collar	Connie Francis
Just A Little Too Much	Ricky Nelson
What A Diff'rence A Day Makes	Dinah Washington
My Wish Came True	Elvis Presley With The Jordanaires
What'd I Say (Part I & II)	Ray Charles and his Orchestra
Ragtime Cowboy Joe	David Seville And The Chipmunks
I Only Have Eyes For You	The Flamingos
Here Comes Summer	Jerry Keller
Personality	Lloyd Price and His Orchestra
I'll Be Satisfied	Jackie Wilson
Sea Of Love	Phil Phillips With The Twilights
It Was I	Skip And Flip
Bobby Sox To Stockings	Frankie Avalon
A Boy Without A Girl	Frankie Avalon
What Is Love?	The Playmates
Small World	Johnny Mathis
Frankie	Connie Francis
Thank You Pretty Baby	Brook Benton
You're So Fine	The Falcons
M.T.A.	The Kingston Trio
Robbin' The Cradle	Tony Bellus
The Three Bells	The Browns
Till There Was You	Anita Bryant
Ciao, Ciao Bambina	Jacky Noguez And His Musette Orchestra
Twixt Twelve And Twenty	Pat Boone
Hushabye	The Mystics
The Way I Walk	Jack Scott
Since You've Been Gone	Clyde McPhatter
Makin' Love	Floyd Robinson
This I Swear	The Skyliners
Tallahassee Lassie	Freddy Cannon
See You In September	The Tempos
Ten Thousand Drums	Carl Smith
The Wonder Of You	Ray Peterson
Remember When	The Platters
Dream Lover	Bobby Darin
Mona Lisa	Carl Mann
Only Sixteen	Sam Cooke
Kissin' Time	Bobby Rydell
Bongo Rock	Preston Epps
The Quiet Three	Duane Eddy His Twangy Guitar And The Rebels
I'm Gonna Be A Wheel Some Day	Fats Domino
Just Keep It Up	Dee Clark
Broken-Hearted Melody	Sarah Vaughan
To A Soldier Boy	The Tassels
There Is Something On Your Mind	Big Jay McNeely And Band
Lonely Guitar	Annette
High Hopes	Frank Sinatra "and a bunch of kids"
On An Evening In Roma	Dean Martin
Cry	The Knightsbridge Strings
Like Young	Andre Previn With David Rose
Back In The U.S.A.	Chuck Berry
I Still Get Jealous	Joni James
Beach Time	Roger Smith
Baby Talk	Jan & Dean
Red River Rock	Johnny And The Hurricanes
Tennessee Stud	Eddy Arnold
With Open Arms	Jane Morgan
Katy Too	Johnny Cash And The Tennessee Two
Leave My Kitten Alone	Little Willie John
Mona Lisa	Conway Twitty
So High So Low	LaVern Baker
Caribbean	Mitchell Torok
Tall Cool One	The Wailers
Angel Face	Jimmy Darren
My Own True Love	Jimmy Clanton
Sleep Walk	Santo & Johnny
Bei Mir Bist Du Schön	Louis Prima And Keely Smith
Along Came Jones	The Coasters
A Girl Like You	Gary Stites
Danny Boy	Sil Austin
I'm Coming Home	Marv Johnson
Dedicated To The One I Love	The Shirelles
I Know	Perry Como
Half-Breed	Marvin Rainwater
Linda Lu	Ray Sharpe
Sweet Someone	Eddie and Betty
Bells, Bells, Bells (The Bell Song)	Billy & Lillie
Time Marches On	Roy Hamilton
Crackin Up	Bo Diddley
I Loves You, Porgy	Nina Simone
Soldier's Joy	Hawkshaw Hawkins
You Don't Know Girls	Kathy Linden
Midnight Flyer	Nat King Cole
I Got Stripes	Johnny Cash
Miami	Eugene Church
Sugaree	Rusty York
Who Shot Sam	George Jones
Gee	George Hamilton IV
Alimony	Frankie Ford
