He's So Fine	The Chiffons
Our Day Will Come	Ruby And The Romantics
The End Of The World	Skeeter Davis
South Street	The Orlons
Can't Get Used To Losing You	Andy Williams
Baby Workout	Jackie Wilson
In Dreams	Roy Orbison
You're The Reason I'm Living	Bobby Darin
Rhythm Of The Rain	The Cascades
Young Lovers	Paul and Paula
Puff (The Magic Dragon)	Peter, Paul & Mary
Do The Bird	Dee Dee Sharp
Our Winter Love	Bill Pursell
All I Have To Do Is Dream	Richard Chamberlain
Blame It On The Bossa Nova	Eydie Gorme
What Will My Mary Say	Johnny Mathis
I Wanna Be Around	Tony Bennett
Mr. Bass Man	Johnny Cymbal
Laughing Boy	Mary Wells
Follow The Boys	Connie Francis
Twenty Miles	Chubby Checker
Don't Say Nothin' Bad (About My Baby)	The Cookies
Walk Like A Man	The 4 Seasons
Let's Limbo Some More	Chubby Checker
Out Of My Mind	Johnny Tillotson
Pipeline	Chantay's
Don't Be Afraid, Little Darlin'	Steve Lawrence
Wild Weekend	The Rebels
One Broken Heart For Sale	Elvis Presley With The Mello Men
I Will Follow Him	Little Peggy March
Sandy	Dion
Over The Mountain (Across The Sea)	Bobby Vinton
I Got What I Wanted	Brook Benton
Don't Set Me Free	Ray Charles and his Orchestra
Yakety Sax	Boots Randolph and his Combo
Days Of Wine And Roses	Henry Mancini And His Orchestra
On Broadway	The Drifters
Ruby Baby	Dion
Young And In Love	Dick and DeeDee
Why Do Lovers Break Each Other's Heart?	Bob B. Soxx And The Blue Jeans
Watermelon Man	Mongo Santamaria Band
Mecca	Gene Pitney
All Over The World	Nat King Cole
Linda	Jan & Dean
Surfin' U.S.A.	The Beach Boys
Charms	Bobby Vee
Days Of Wine And Roses	Andy Williams
Love For Sale	Arthur Lyman Group
I Got A Woman	Rick Nelson
Hey Paula	Paul and Paula
You Don't Love Me Anymore (And I Can Tell)	Rick Nelson
Tom Cat	The Rooftop Singers
Let's Turkey Trot	Little Eva
Foolish Little Girl	The Shirelles
Greenback Dollar	The Kingston Trio
I'm Just A Country Boy	George McCurn
Mama Didn't Lie	Jan Bradley
Boss Guitar	Duane Eddy and the Rebelettes
Alice In Wonderland	Neil Sedaka
Locking Up My Heart	The Marvelettes
Tell Him I'm Not Home	Chuck Jackson
Butterfly Baby	Bobby Rydell
Back At The Chicken Shack, Part 1	Jimmy Smith
Sun Arise	Rolf Harris
Sax Fifth Avenue	Johnny Beecher and his Buckingham Road Quintet
Amy	Paul Petersen
He's Got The Power	The Exciters
Don't Wanna Think About Paula	Dickey Lee
Dearer Than Life	Brook Benton
Cast Your Fate To The Wind	Vince Guaraldi Trio
A Love She Can Count On	The Miracles
Rainbow	Gene Chandler
Here I Stand	The Rip Chords
Meditation (Meditacao)	Charlie Byrd
Little Band Of Gold	James Gilreath
How Can I Forget	Jimmy Holiday
What Are Boys Made Of	The Percells
If You Wanna Be Happy	Jimmy Soul
That's How Heartaches Are Made	Baby Washington
That's All	Rick Nelson
Killer Joe	The Rocky Fellers
Losing You	Brenda Lee
Bill Bailey, Won't You Please Come Home	Ella Fitzgerald
Theme From Lawrence Of Arabia	Ferrante & Teicher
Whatever You Want	Jerry Butler
This Empty Place	Dionne Warwick
I Love You Because	Al Martino
Reverend Mr. Black	The Kingston Trio
Funny Man	Ray Stevens
Heart	Kenny Chandler
Don't Let Her Be Your Baby	The Contours
How Can I Forget	Ben E. King
Two Faces Have I	Lou Christie
Preacherman	Charlie Russo
Call Me Irresponsible	Frank Sinatra
Bony Moronie	The Appalachians
Come And Get These Memories	Martha & The Vandellas
Ask Me	Maxine Brown
I'll Make It Alright	The Valentinos (The Lovers)
(Today I Met) The Boy I'm Gonna Marry	Darlene Love
