Hey Paula	Paul and Paula
Walk Right In	The Rooftop Singers
Walk Like A Man	The 4 Seasons
Ruby Baby	Dion
Rhythm Of The Rain	The Cascades
From A Jack To A King	Ned Miller
The Night Has A Thousand Eyes	Bobby Vee
You've Really Got A Hold On Me	The Miracles
Loop De Loop	Johnny Thunder
Up On The Roof	The Drifters
He's Sure The Boy I Love	The Crystals
You're The Reason I'm Living	Bobby Darin
Little Town Flirt	Del Shannon
Go Away Little Girl	Steve Lawrence
Wild Weekend	The Rebels
Mama Didn't Lie	Jan Bradley
Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
Blame It On The Bossa Nova	Eydie Gorme
Half Heaven - Half Heartache	Gene Pitney
Send Me Some Lovin'	Sam Cooke
It's Up To You	Rick Nelson
Call On Me	Bobby Bland
What Will My Mary Say	Johnny Mathis
My Dad	Paul Petersen
I Saw Linda Yesterday	Dickey Lee
Love (Makes the World Go 'round)	Paul Anka
The Cinnamon Cinder (It's A Very Nice Dance)	The Pastel Six
Cast Your Fate To The Wind	Vince Guaraldi Trio
Tell Him	The Exciters
The Gypsy Cried	Lou Christie
Two Lovers	Mary Wells
Alice In Wonderland	Neil Sedaka
My Coloring Book	Kitty Kallen
Your Used To Be	Brenda Lee
Don't Make Me Over	Dionne Warwick
The End Of The World	Skeeter Davis
My Coloring Book	Sandy Stewart
Our Winter Love	Bill Pursell
Proud	Johnny Crawford
I Wanna Be Around	Tony Bennett
Greenback Dollar	The Kingston Trio
I'm Gonna' Be Warm This Winter	Connie Francis
Puddin N' Tain (Ask Me Again, I'll Tell You The Same)	The Alley Cats
Let's Turkey Trot	Little Eva
That's The Way Love Is	Bobby Bland
Shake Sherry	The Contours
In Dreams	Roy Orbison
She'll Never Know	Brenda Lee
Telstar	The Tornadoes
Everybody Loves A Lover	The Shirelles
Boss Guitar	Duane Eddy and the Rebelettes
Butterfly Baby	Bobby Rydell
Our Day Will Come	Ruby And The Romantics
Hitch Hike	Marvin Gaye
Days Of Wine And Roses	Henry Mancini And His Orchestra
Every Day I Have To Cry	Steve Alaimo
Who Stole The Keeshka?	The Matys Bros.
Settle Down (Goin' Down That Highway)	Peter, Paul & Mary
One Broken Heart For Sale	Elvis Presley With The Mello Men
Tell Him I'm Not Home	Chuck Jackson
Java	Floyd Cramer
The Ballad Of Jed Clampett	Flatt & Scruggs
Big Wide World	Teddy Randazzo
All About My Girl	Jimmy McGriff
Let's Limbo Some More	Chubby Checker
I'm A Woman	Peggy Lee
Shake Me I Rattle (Squeeze Me I Cry)	Marion Worth
I Really Don't Want To Know	Little Esther Phillips
How Much Is That Doggie In The Window	Baby Jane & The Rockabyes
As Long As She Needs Me	Sammy Davis Jr.
Baby, Baby, Baby	Sam Cooke
Strange I Know	The Marvelettes
Would It Make Any Difference To You	Etta James
Chicken Feed	Bent Fabric and His Piano
Pin A Medal On Joey	James Darren
South Street	The Orlons
Love For Sale	Arthur Lyman Group
The Popeye Waddle	Don Covay
I'm The One Who Loves You	The Impressions
Ridin' The Wind	The Tornadoes
Why Do Lovers Break Each Other's Heart?	Bob B. Soxx And The Blue Jeans
Ain't Gonna Kiss Ya	The Ribbons
All I Have To Do Is Dream	Richard Chamberlain
Leavin' On Your Mind	Patsy Cline
What To Do With Laurie	Mike Clifford
I Will Live My Life For You	Tony Bennett
Boss	The Rumblers
Theme From Lawrence Of Arabia	Ferrante & Teicher
Let's Stomp	Bobby Comstock
Let Me Go The Right Way	The Supremes
I'd Rather Be Here In Your Arms	The Duprees
Zing! Went The Strings Of My Heart	The Furys
The Dog	Rufus Thomas
Al Di La	Connie Francis
M.G. Blues	Jimmy McGriff
Bossa Nova U.S.A.	The Dave Brubeck Quartet
Hi-Lili, Hi-Lo	Richard Chamberlain
The Jive Samba	Cannonball Adderley
Mr. Bass Man	Johnny Cymbal
Baby, You're Driving Me Crazy	Joey Dee
