Creep	TLC
Take A Bow	Madonna
On Bended Knee	Boyz II Men
Another Night	Real McCoy
Baby	Brandy
You Gotta Be	Des'ree
Candy Rain	Soul For Real
Always	Bon Jovi
Sukiyaki	4PM
Hold My Hand	Hootie & The Blowfish
If You Love Me	Brownstone
Before I Let You Go	BLACKstreet
The Rhythm Of The Night	Corona
I'm The Only One	Melissa Etheridge
You Don't Know How It Feels	Tom Petty
Strong Enough	Sheryl Crow
Big Poppa/Warning	The Notorious B.I.G.
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
Constantly	Immature
The Sweetest Days	Vanessa Williams
Every Day Of The Week	Jade
I Miss You	N2U
Bang And Blame	R.E.M.
I Wanna Be Down	Brandy
Like The Way I Do/If I Wanted To	Melissa Etheridge
I'll Make Love To You	Boyz II Men
I Know	Dionne Farris
You Want This/70's Love Groove	Janet Jackson
In The House Of Stone And Light	Martin Page
Tootsee Roll	69 Boyz
Short Dick Man	20 Fingers Featuring Gillette
Mental Picture	Jon Secada
I'll Stand By You	Pretenders
100% Pure Love	Crystal Waters
All I Wanna Do	Sheryl Crow
This Lil' Game We Play	Subway (Featuring 702)
House Of Love	Amy Grant With Vince Gill
Turn The Beat Around (From "The Specialist")	Gloria Estefan
Everlasting Love	Gloria Estefan
Secret	Madonna
Mishale	Andru Donalds
I Belong To You/How Many Ways	Toni Braxton
Wild Night	John Mellencamp With Me'Shell Ndegeocello
Freak Like Me	Adina Howard
Get Down	Craig Mack
Get Ready For This	2 Unlimited
Practice What You Preach	Barry White
New Age Girl (From "Dumb And Dumber")	Deadeye Dick
When Can I See You	Babyface
Whutcha Want?	Nine
Kitty Kitty	69 Boyz
If You Think You're Lonely Now	K-Ci Hailey
Foolin' Around	Changing Faces
Hold On	Jamie Walters
Sour Times (Nobody Loves Me)	Portishead
Bring The Pain	Method Man
Be Happy	Mary J. Blige
Bad Reputation	Freedy Johnston
I Never Seen A Man Cry (aka I Seen A Man Die)	Scarface
Mad Izm	Channel Live
She Don't Use Jelly	The Flaming Lips
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
Tour	Capleton
(She's Got) Skillz	All-4-One
Always And Forever	Luther Vandross
Promise Me	Lil Suzy
She's A River	Simple Minds
U Will Know (From "Jason's Lyric")	B.M.U. (Black Men United)
Pimp Of The Year	Dru Down
Shame (From "A Low Down Dirty Shame")	Zhane
Dream About You/Funky Melody	Stevie B
Nika	Vicious
Woman To Woman	Jewell
You Got It (From "Boys On The Side")	Bonnie Raitt
Dreamer	Livin' Joy
Take You There	Pete Rock & C.L. Smooth
Cocktales	Too $hort
I Apologize	Anita Baker
Age Ain't Nothing But A Number	Aaliyah
Living In Danger	Ace Of Base
Can I Stay With You	Karyn White
Breakdown	Fu-Schnickens
Rodeo	95 South
Fat Boy	Max-A-Million
I Believe	Blessid Union Of Souls
When We Dance	Sting
Do You See	Warren G
Where I Wanna Be Boy	Missjones
Move It Like This	K7
Doll Parts	Hole
(I Could Only) Whisper Your Name	Harry Connick, Jr.
Supa Star	Group Home
How Did I Get By Without You?	John Waite
Think Of You	Usher
That's Just What You Are	Aimee Mann
Sympathy For The Devil ("Interview With The Vampire")	Guns N' Roses
The Most Beautifullest Thing In This World	Keith Murray
Till You Love Me	Reba McEntire
Dance Naked	John Mellencamp
I Can Go Deep (From "A Low Down Dirty Shame")	Silk
