Wild Thing	The Troggs
Hanky Panky	Tommy James And The Shondells
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
The Pied Piper	Crispian St. Peters
I Saw Her Again	The Mamas & The Papas
Hungry	Paul Revere & The Raiders Featuring Mark Lindsay
Summer In The City	The Lovin' Spoonful
Sweet Pea	Tommy Roe
Mothers Little Helper	The Rolling Stones
Somewhere, My Love	Ray Conniff And The Singers
They're Coming To Take Me Away, Ha-Haaa!	Napoleon XIV
Paperback Writer	The Beatles
Red Rubber Ball	The Cyrkle
Sunny	Bobby Hebb
You Don't Have To Say You Love Me	Dusty Springfield
This Door Swings Both Ways	Herman's Hermits
Over Under Sideways Down	The Yardbirds
The Work Song	Herb Alpert & The Tijuana Brass
Love Letters	Elvis Presley
I Want You	Bob Dylan
Little Girl	Syndicate Of Sound
Strangers In The Night	Frank Sinatra
Sweet Dreams	Tommy McLain
Ain't Too Proud To Beg	The Temptations
Trains And Boats And Planes	Dionne Warwick
I Couldn't Live Without Your Love	Petula Clark
Happy Summer Days	Ronnie Dove
Where Were You When I Needed You	The Grass Roots
Along Comes Mary	The Association
See You In September	The Happenings
Dirty Water	The Standells
Pretty Flamingo	Manfred Mann
Searching For My Love	Bobby Moore & The Rhythm Aces
Billy And Sue	B.J. Thomas And The Triumphs
The Impossible Dream (The Quest)	Jack Jones
Friday's Child	Nancy Sinatra
You Better Run	The Young Rascals
Cool Jerk	The Capitols
(I Washed My Hands In) Muddy Water	Johnny Rivers
Blowin In The Wind	Stevie Wonder
Popsicle	Jan & Dean
You Wouldn't Listen	The Ides Of March
You Can't Roller Skate In A Buffalo Herd	Roger Miller
5 D (Fifth Dimension)	The Byrds
Distant Shores	Chad & Jeremy
Whole Lot Of Shakin' In My Heart (Since I Met You)	The Miracles
The Joker Went Wild	Brian Hyland
Warm And Tender Love	Percy Sledge
Can I Trust You?	The Bachelors
Misty	"Groove" Holmes
Lady Jane	The Rolling Stones
Look At Me Girl	Bobby Vee And The Strangers
Tar And Cement	Verdelle Smith
Almost Persuaded	David Houston
You You You	Mel Carter
Make Me Belong To You	Barbara Lewis
Summertime	Billy Stewart
I'm A Nut	Leroy Pullins
The Tip Of My Fingers	Eddy Arnold
Past, Present And Future	The Shangri-Las
Guantanamera	The Sandpipers
Alfie	Cher
Born A Woman	Sandy Posey
Working In The Coal Mine	Lee Dorsey
Wade In The Water	Ramsey Lewis
A Million And One	Dean Martin
I Love Onions	Susan Christie
Lara's Theme from "Dr. Zhivago"	Roger Williams
Lonely Soldier	Mike Williams
I Guess I'll Always Love You	The Isley Brothers
Teenager's Prayer	Joe Simon
I Love You 1000 Times	The Platters
Bus Stop	The Hollies
(You Make Me Feel) So Good	The McCoys
My Heart's Symphony	Gary Lewis And The Playboys
Land Of 1000 Dances	Wilson Pickett
I Believe I'm Gonna Make It	Joe Tex
Hey You! Little Boo-Ga-Loo	Chubby Checker
Money Won't Change You (Part 1)	James Brown And The Famous Flames
Sugar And Spice	The Cryan' Shames
Open The Door To Your Heart	Darrell Banks
Bring Back The Time	B.J. Thomas
Livin' Above Your Head	Jay & The Americans
Wouldn't It Be Nice	The Beach Boys
Uptight (Everything's Alright)	Nancy Wilson
Lonely Summer	The Shades Of Blue
Stop! - Get A Ticket	Clefs Of Lavender Hill
Wipe Out	The Surfaris
7 And 7 Is	Love
Sunshine Superman	Donovan
Let's Call It A Day Girl	The Razor's Edge
I Put A Spell On You	Alan Price Set
Drive My Car	Bob Kuban And The In-Men
Georgia Rose	Tony Bennett
(We'll Be) United	The Intruders
The Philly Freeze	Alvin Cash & The Registers
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
To Show I Love You	Peter And Gordon
Love Attack	James Carr
Takin' All I Can Get	Mitch Ryder And The Detroit Wheels
