Lean On Me	Bill Withers
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose
Alone Again (Naturally)	Gilbert O'Sullivan
Brandy (You're A Fine Girl)	Looking Glass
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Daddy Don't You Walk So Fast	Wayne Newton
Where Is The Love	Roberta Flack & Donny Hathaway
How Do You Do?	Mouth & MacNeal
Rocket Man	Elton John
School's Out	Alice Cooper
Layla	Derek & The Dominos
Take It Easy	Eagles
Too Young	Donny Osmond
Outa-Space	Billy Preston
Song Sung Blue	Neil Diamond
I Wanna Be Where You Are	Michael Jackson
Conquistador	Procol Harum
Long Cool Woman (In A Black Dress)	The Hollies
Day By Day	Godspell
Hold Her Tight	The Osmonds
I'm Still In Love With You	Al Green
The Happiest Girl In The Whole U.S.A.	Donna Fargo
The Candy Man	Sammy Davis, Jr. with The Mike Curb Congregation
Coconut	Nilsson
People Make The World Go Round	The Stylistics
Troglodyte (Cave Man)	The Jimmy Castor Bunch
I Need You	America
Mary Had A Little Lamb/Little Woman Love	Wings
Hold Your Head Up	Argent
Sealed With A Kiss	Bobby Vinton
You Don't Mess Around With Jim	Jim Croce
All The Kings Horses	Aretha Franklin
Superwoman (Where Were You When I Needed You)	Stevie Wonder
Gone	Joey Heatherton
Motorcycle Mama	Sailcat
Nice To Be With You	Gallery
I've Been Lonely For So Long	Frederick Knight
Goodbye To Love	Carpenters
The Runway	The Grass Roots
We're Free	Beverly Bremers
Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Baby Let Me Take You (In My Arms)	Detroit Emeralds
Happy	The Rolling Stones
Sweet Inspiration/Where You Lead	Barbra Streisand
Honky Tonk - Part 1	The James Brown Soul Train
Brown Eyed Girl	El Chicano
Small Beginnings	Flash
We're On Our Way	Chris Hodge
I'm Coming Home	Stories
Beautiful Sunday	Daniel Boone
We've Come Too Far To End It Now	Smokey Robinson & The Miracles
After Midnight	J.J. Cale
When You Say Love	Sonny & Cher
Life And Breath	Climax featuring Sonny Geraci
In The Ghetto	Candi Staton
In A Broken Dream	Python Lee Jackson
Pop That Thang	The Isley Brothers
Baby Don't Get Hooked On Me	Mac Davis
Beautiful	Gordon Lightfoot
Duncan	Paul Simon
Lookin' Through The Windows	Jackson 5
War Song	Neil Young & Graham Nash
I Miss You (Part I)	Harold Melvin And The Blue Notes
Power Of Love	Joe Simon
Men Of Learning	Vigrass & Osborne
Popcorn	Hot Butter
A Simple Man	Lobo
Go All The Way	Raspberries
Look What They've Done To My Song, Ma	Ray Charles
Join Together	The Who
Rip Off	Laura Lee
The Coldest Days Of My Life (Part 1)	The Chi-lites
Victim Of A Foolish Heart	Bettye Swann
You're Still A Young Man	Tower Of Power
Starting All Over Again	Mel And Tim
Vanilla Ólay	Jackie DeShannon
Back Stabbers	The O'Jays
Eddie's Love	Eddie Kendricks
Zing Went The Strings Of My Heart	The Trammps
My Guy	Petula Clark
Everybody Plays The Fool	The Main Ingredient
If I Were A Carpenter	Bob Seger
Put It Where You Want It	The Crusaders
Rock And Roll Part 2	Gary Glitter
Butterfly	Danyel Gerard
Delta Dawn	Tanya Tucker
Alabama Wild Man	Jerry Reed
That's What Friends Are For	B.J. Thomas
Country Woman	The Magic Lantern
Starman	David Bowie
Beat Me Daddy Eight To The Bar	Commander Cody
Rock And Roll Crazies	Stephen Stills-Manassas
Circles	The New Seekers
Goodbye Again	John Denver
Down On Me	Janis Joplin
That's The Way God Planned It	Billy Preston
I Could Never Be Happy	The Emotions
Turn On Your Love Light	Jerry Lee Lewis
Mother Nature	The Temptations
Down By The River	Albert Hammond
