The First Night	Monica
I Don't Want To Miss A Thing	Aerosmith
One Week	Barenaked Ladies
Crush	Jennifer Paige
I'll Be	Edwin McCain
My Way	Usher
Time After Time	Inoj
The Boy Is Mine	Brandy & Monica
Daydreamin'	Tatyana Ali
When The Lights Go Out	Five
Too Close	Next
This Kiss	Faith Hill
You're Still The One	Shania Twain
I Still Love You	Next
Thinkin' Bout It	Gerald Levert
Never Ever	All Saints
I Can Do That	Montell Jordan
Lookin' At Me	Mase Featuring Puff Daddy
Adia	Sarah McLachlan
Lately	Divine
Westside	TQ
Touch It	Monifah
Still A G Thang	Snoop Dogg
Cruel Summer	Ace Of Base
Truly Madly Deeply	Savage Garden
Because Of You	98 Degrees
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
All My Life	K-Ci & JoJo
Friend Of Mine	Kelly Price
Splackavellie	Pressha
So Into You	Tamia
Say It	Voices Of Theory
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Intergalactic	Beastie Boys
Movin' On	Mya Featuring Silkk The Shocker
Nobody Else	Tyrese
Still Not A Player	Big Punisher Featuring Joe
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Come With Me	Puff Daddy Featuring Jimmy Page
SuperThug (What What)	Noreaga
I Don't Want To Wait	Paula Cole
Shimmer	Fuel
Ray Of Light	Madonna
How's It Going To Be	Third Eye Blind
Together Again	Janet
To The Moon And Back	Savage Garden
Gettin' Jiggy Wit It	Will Smith
How Do I Live	LeAnn Rimes
Sex And Candy	Marcy Playground
I Had No Right	P.M. Dawn
Invasion Of The Flat Booty B*****s	Too $hort
Nobody's Supposed To Be Here	Deborah Cox
Ooh La La	Rod Stewart
Jackie's Strength	Tori Amos
Horse & Carriage	Cam'Ron Featuring Mase
Money Ain't A Thang	JD Featuring Jay-Z
Gotta Be	Jagged Edge
Landslide	Fleetwood Mac
Touch Me	Solo
Yesterday	Debelah Morgan
Only When I Lose Myself	Depeche Mode
Cleopatra's Theme	Cleopatra
Can't We Try	Rockell [Duet With Collage]
What U See Is What U Get	Xzibit
Nobody Does It Better	Nate Dogg Featuring Warren G
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
26 Cents	The Wilkinsons
Heaven's What I Feel	Gloria Estefan
You Only Have To Say You Love Me	Hannah Jones
Dr. Greenthumb	Cypress Hill
Definition	Mos Def & Kweli Are Black Star
I Should Cheat On You	J'Son
Woof Woof	69 Boyz
How's It Goin' Down	DMX Featuring Faith Evans
Stop	Spice Girls
I Get Lonely	Janet Featuring BLACKstreet
Paper	Queen Latifah Featuring Apache
Lost In Love	Nastyboy Klick
Delicious	Pure Sugar
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
You Won't Forget Me	La Bouche
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
It's Alright	Memphis Bleek (& Jay-Z)
Shorty (You Keep Playin' With My Mind)	Imajin Featuring Keith Murray
Ava Adore	The Smashing Pumpkins
'98 Thug Paradise	Tragedy, Capone, Infinite
Wide Open Spaces	Dixie Chicks
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
Destiny	Myron
What I Didn't Know	Athenaeum
Whatcha Gone Do?	Link
Remember When	Color Me Badd
Hey Now Now	Swirl 360
I Wasn't With It	Jesse Powell
Find A Way	A Tribe Called Quest
How Do I Say I'm Sorry	Tami Davis
Wishlist	Pearl Jam
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Black Ice (Sky High)	Goodie Mob Featuring Outkast
One Heart At A Time	Various Artists
