Flashdance...What A Feeling	Irene Cara
Let's Dance	David Bowie
Time (Clock Of The Heart)	Culture Club
Overkill	Men At Work
My Love	Lionel Richie
Beat It	Michael Jackson
She Blinded Me With Science	Thomas Dolby
Always Something There To Remind Me	Naked Eyes
Don't Let It End	Styx
Affair Of The Heart	Rick Springfield
Electric Avenue	Eddy Grant
Faithfully	Journey
Family Man	Daryl Hall John Oates
Little Red Corvette	Prince
Never Gonna Let You Go	Sergio Mendes
She's A Beauty	The Tubes
Too Shy	Kajagoogoo
I'm Still Standing	Elton John
Wanna Be Startin' Somethin'	Michael Jackson
Solitaire	Laura Branigan
Straight From The Heart	Bryan Adams
Come Dancing	The Kinks
Try Again	Champaign
We Two	Little River Band
Every Breath You Take	The Police
Our House	Madness
The Woman In You	Bee Gees
All This Love	Debarge
Photograph	Def Leppard
That's Love	Jim Capaldi
I Won't Hold You Back	Toto
Baby Jane	Rod Stewart
No Time For Talk	Christopher Cross
The One Thing	INXS
Roll Me Away	Bob Seger & The Silver Bullet Band
Stranger In My House	Ronnie Milsap
All My Life	Kenny Rogers
The Closer You Get	Alabama
Don't Pay The Ferryman	Chris de Burgh
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
Der Kommissar	After The Fire
She Works Hard For The Money	Donna Summer
Jeopardy	Greg Kihn Band
Is There Something I Should Know	Duran Duran
Inside Love (so Personal)	George Benson
Sweet Dreams (Are Made Of This)	Eurythmics
Stand Back	Stevie Nicks
White Wedding	Billy Idol
Cool Places	Sparks & Jane Wiedlin
How Do You Keep The Music Playing	James Ingram And Patti Austin
Candy Girl	New Edition
1999	Prince
Saved By Zero	The Fixx
(Keep Feeling) Fascination	The Human League
Love On Your Side	Thompson Twins
Slipping Away	Dave Edmunds
Looking For A Stranger	Pat Benatar
I.o.u.	Lee Greenwood
Theme From Doctor Detroit	Devo
Hot Girls In Love	Loverboy
When I'm With You	Sheriff
The Salt In My Tears	Martin Briley
Rio	Duran Duran
Love's Got A Line On You	Scandal Featuring Patty Smyth
Billie Jean	Michael Jackson
Stop In The Name Of Love	The Hollies
Mornin'	Jarreau
China Girl	David Bowie
Cuts Like A Knife	Bryan Adams
Love Never Fails	Greg Kihn Band
Maniac	Michael Sembello
Mr. Roboto	Styx
The Metro	Berlin
Come On Eileen	Dexys Midnight Runners
Rock Of Ages	Def Leppard
Easy For You To Say	Linda Ronstadt
Ricky	"Weird Al" Yankovic
Gimme All Your Lovin	ZZ Top
Save The Overtime (For Me)	Gladys Knight And The Pips
China	Red Rockers
What You Do To Me	Carl Wilson
He's A Pretender	High Inergy
Drop The Pilot	Joan Armatrading
New Year's Day	U2
Love Is The Key	Maze Featuring Frankie Beverly
The Celtic Soul Brothers	Dexys Midnight Runners
Solid Rock	Goanna
Dancing In The Shadows	After The Fire
Space Age Whiz Kids	Joe Walsh
It Might Be You	Stephen Bishop
Keep It Confidential	Nona Hendryx
Fade Away	Loz Netto
You Can't Run From Love	Eddie Rabbitt
I Couldn't Say No	Robert Ellis Orral With Carlene Carter
Some Kind Of Friend	Barry Manilow
Why Me?	Planet P
Fool Moon Fire	Walter Egan
Front Page Story	Neil Diamond
So Wrong	Patrick Simmons
Welcome To Heartlight	Kenny Loggins
