Bump N' Grind	R. Kelly
The Sign	Ace Of Base
Without You/Never Forget You	Mariah Carey
Mmm Mmm Mmm Mmm	Crash Test Dummies
The Power Of Love	Celine Dion
So Much In Love	All-4-One
Whatta Man	Salt-N-Pepa Featuring En Vogue
The Most Beautiful Girl In The World	Prince
Now And Forever	Richard Marx
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
Gin And Juice	Snoop Doggy Dogg
Cantaloop (Flip Fantasia)	US3
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Loser	Beck
I'm Ready	Tevin Campbell
Return To Innocence	Enigma
Indian Outlaw	Tim McGraw
I'll Remember (From "With Honors")	Madonna
Because Of Love	Janet Jackson
Breathe Again	Toni Braxton
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
Rock And Roll Dreams Come Through	Meat Loaf
Groove Thang	Zhane
And Our Feelings	Babyface
Feenin'	Jodeci
Born To Roll	Masta Ace Incorporated
All That She Wants	Ace Of Base
Dunkie Butt (Please Please Please)	12 Gauge
Because The Night	10,000 Maniacs
You Know How We Do It	Ice Cube
Love Sneakin' Up On You	Bonnie Raitt
Please Forgive Me	Bryan Adams
Stay	Eternal
Hero	Mariah Carey
Everyday	Phil Collins
All For Love	Bryan Adams/Rod Stewart/Sting
You Mean The World To Me	Toni Braxton
Amazing	Aerosmith
Player's Ball	OutKast
Completely	Michael Bolton
Found Out About You	Gin Blossoms
Got Me Waiting	Heavy D & The Boyz
Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown
Mother	Danzig
Somethin' To Ride To (Fonky Expedition)	The Conscious Daughters
Understanding	Xscape
I'm In The Mood	CeCe Peniston
Dreams	Gabrielle
Said I Loved You...But I Lied	Michael Bolton
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
I Want You	Juliet Roberts
Pumps And A Bump	M.C. Hammer
It's All Good	M.C. Hammer
I'll Take You There (From "Threesome")	General Public
Dreams	The Cranberries
How Do You Like It?	Keith Sweat
U Send Me Swingin'	Mint Condition
Come To My Window	Melissa Etheridge
I'm Outstanding	Shaquille O'Neal
The More You Ignore Me, The Closer I Get	Morrissey
Just Another Day	Queen Latifah
I Swear	John Michael Montgomery
You Don't Love Me (No, No, No)	Dawn Penn
Having A Party	Rod Stewart
Dream On Dreamer	The Brand New Heavies
C.R.E.A.M. (Cash Rules Everything Around Me)	Wu-Tang Clan
Neon Moonlight	Rosco Martinez
Electric Relaxation (Relax Yourself Girl)	A Tribe Called Quest
Choose	Color Me Badd
Zunga Zeng	K7
Comin' On Strong	Sudden Change
Mass Appeal	Gang Starr
Laid	James
God	Tori Amos
No Doubt About It	Neal McCoy
Since I Don't Have You	Guns N' Roses
Sweet Potatoe Pie	Domino
Anything (From "Above The Rim")	SWV
Beautiful In My Eyes	Joshua Kadison
Lullabye (Goodnight, My Angel)	Billy Joel
Will You Be There (In The Morning)	Heart
Low	Cracker
My Love	Little Texas
I've Been Thinking About You	Jocelyn Enriquez
You	Candlebox
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
(Lay Your Head On My) Pillow	Tony Toni Tone
Always On My Mind	SWV
Cannonball	The Breeders
In Walked Love	Expose
My Sharona (From "Reality Bites")	The Knack
Funk Dat/Why Is It?	Sagat
Gonna Love You Right (From "Sugar Hill")	After 7
The Right Time (From "Four Weddings And A Funeral")	I To I
Papa'z Song	2Pac Duet With Mopreme
Play My Funk (From "Sugar Hill")	Simple E
It Ain't Hard To Tell	Nas
I Like To Move It	Reel 2 Real Featuring The Mad Stuntman
On And On	Shyheim
Sweet Lullaby	Deep Forest
