Jump	Kris Kross
My Lovin' (You're Never Gonna Get It)	En Vogue
Bohemian Rhapsody	Queen
Save The Best For Last	Vanessa Williams
Live And Learn	Joe Public
Under The Bridge	Red Hot Chili Peppers
Tears In Heaven	Eric Clapton
Ain't 2 Proud 2 Beg	TLC
Everything About You	Ugly Kid Joe
One	U2
Make It Happen	Mariah Carey
In The Closet	Michael Jackson
Thought I'd Died And Gone To Heaven	Bryan Adams
Hazard	Richard Marx
Let's Get Rocked	Def Leppard
Damn I Wish I Was Your Lover	Sophie B. Hawkins
Baby Got Back	Sir Mix-A-Lot
Masterpiece	Atlantic Starr
I'm The One You Need	Jody Watley
Will You Marry Me?	Paula Abdul
Everything Changes	Kathy Troccoli
If You Asked Me To	Celine Dion
Money Don't Matter 2 Night	Prince And The N.P.G.
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Beauty And The Beast	Celine Dion And Peabo Bryson
Tennessee	Arrested Development
Just Take My Heart	Mr. Big
Nu Nu	Lidell Townsell
Take Time	Chris Walker
Human Touch/Better Days	Bruce Springsteen
Hold On My Heart	Genesis
I Can't Dance	Genesis
To Be With You	Mr. Big
Remember The Time	Michael Jackson
Smells Like Nirvana	"Weird Al" Yankovic
I Will Remember You	Amy Grant
Come As You Are	Nirvana
You Think You Know Her	Cause And Effect
Good For Me	Amy Grant
Silent Prayer	Shanice
Do It To Me	Lionel Richie
Lift Me Up	Howard Jones
Not The Only One	Bonnie Raitt
Come & Talk To Me	Jodeci
You Won't See Me Cry	Wilson Phillips
Why Me Baby?	Keith Sweat
Achy Breaky Heart	Billy Ray Cyrus
All 4 Love	Color Me Badd
High	The Cure
I Love Your Smile	Shanice
Slow Motion	Color Me Badd
Just Another Day	Jon Secada
Nothing Else Matters	Metallica
We Got A Love Thang	CeCe Peniston
Thinkin' Back	Color Me Badd
Love Me	Tracie Spencer
T.L.C.	Linear
Don't Be Afraid	Aaron Hall
All Woman	Lisa Stansfield
What Goes Around Comes Around	Giggles
Please Don't Go	Boyz II Men
Everything's Gonna Be Alright	Naughty By Nature
3-2-1 Pump	Redhead Kingpin & The F.B.I.
The Choice Is Yours	Black Sheep
Your Song	Rod Stewart
If You Want It	2nd II None
You Showed Me	Salt-N-Pepa
Mama, I'm Coming Home	Ozzy Osbourne
Missing You Now	Michael Bolton
She's Got That Vibe	R. Kelly & Public Announcement
Anything At All	Mitch Malloy
Love You All My Lifetime	Chaka Khan
This Is The Last Time	Laura Enea
Helluva	Brotherhood Creed
Justified And Ancient	The KLF Featuring Tammy Wynette
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
They Want EFX	Das EFX
Don't Talk Just Kiss	Right Said Fred
Innocent Child	Colourhaus
Boom! I Got Your Boyfriend	MC Luscious
It's Over Now	L.A. Guns
I Wanna Rock	Luke
Life Is A Highway	Tom Cochrane
Closer To Me	The Outfield
Goodbye	Tevin Campbell
Never Satisfied	Good 2 Go
Take My Advice	Kym Sims
James Brown Is Dead	L.A. Style
What You Give	Tesla
White Men Can't Jump	Riff
Can't Cry Hard Enough	The Williams Brothers
Maria	TKA
Fall In Love Again	Eddie Money
If You Go Away	NKOTB
Until Your Love Comes Back Around	RTZ
It's Not A Love Thing	Geoffrey Williams
Sometimes I Rhyme Slow	Nice & Smooth
Oochie Coochie	M.C. Brains
Losing You	Mocca Soul
Why	Annie Lennox
