You Are Not Alone	Michael Jackson
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Kiss From A Rose	Seal
Waterfalls	TLC
Boombastic/In The Summertime	Shaggy
I Can Love You Like That	All-4-One
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Run-Around	Blues Traveler
He's Mine	MoKenStef
Only Wanna Be With You	Hootie & The Blowfish
I Got 5 On It	Luniz
Don't Take It Personal (Just One Of Dem Days)	Monica
How High (From "The Show")	Redman/Method Man
One More Chance/Stay With Me	The Notorious B.I.G.
I Wish	Skee-Lo
Player's Anthem	Junior M.A.F.I.A.
1st Of Tha Month	Bone Thugs-N-Harmony
Water Runs Dry	Boyz II Men
Someone To Love	Jon B. Featuring Babyface
December	Collective Soul
Somethin' 4 Da Honeyz	Montell Jordan
As I Lay Me Down	Sophie B. Hawkins
Shy Guy (From "Bad Boys")	Diana King
Freek'n You	Jodeci
You Used To Love Me	Faith Evans
Every Little Thing I Do	Soul For Real
Let Her Cry	Hootie & The Blowfish
Total Eclipse Of The Heart	Nicki French
Roll To Me	Del Amitri
Come And Get Your Love	Real McCoy
Sugar Hill	AZ
Brown Sugar	D'Angelo
Carnival	Natalie Merchant
Have You Ever Really Loved A Woman?	Bryan Adams
Feel Me Flow	Naughty By Nature
Can't Cry Anymore	Sheryl Crow
Back For Good	Take That
Good	Better Than Ezra
This Ain't A Love Song	Bon Jovi
'Til You Do Me Right	After 7
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain
I Know	Dionne Farris
I Like It, I Love It	Tim McGraw
I Believe	Blessid Union Of Souls
Freak Like Me	Adina Howard
I Wanna B With U	Fun Factory
Feels So Good	Xscape
This Is How We Do It	Montell Jordan
Can I Touch You...There?	Michael Bolton
Best Friend	Brandy
Let Me Be The One	Blessid Union Of Souls
Tell Me	Groove Theory
Misery	Soul Asylum
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
Somebody's Crying	Chris Isaak
Comedown	Bush
Walk In The Sun	Bruce Hornsby
I'll Be There For You/You're All I Need To Get By	Method Man Featuring Mary J. Blige
Scream/Childhood	Michael Jackson & Janet Jackson
You Have The Right To Remain Silent	Perfect Stranger
I Can't Tell You Why	Brownstone
Pretty Girl	Jon B
So Many Tears	2Pac
Vibin'	Boyz II Men
Human Nature	Madonna
Molly (Sixteen Candles)	Sponge
Made In England	Elton John
Pull Up To The Bumper	Patra
Macarena (Bayside Boys Mix)	Los Del Rio
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Heaven	Solo
Sprinkle Me	E-40 (Featuring Suga T)
Breakfast At Tiffany's	Deep Blue Something
We Must Be In Love	Pure Soul
Summertime In The LBC (From "The Show")	The Dove Shack
Stutter	Elastica
I Love You/You Bring Me Joy	Mary J. Blige
Sick Of Myself	Matthew Sweet
Take Your Time (Do It Right)	Max-A-Million
On The Down Low	Brian McKnight
My Up And Down	Adina Howard
Missing	Everything But The Girl
Jeremy/Yellow Ledbetter	Pearl Jam
Big Yellow Taxi	Amy Grant
When You Say Nothing At All	Alison Krauss + Union Station
Send Me On My Way	Rusted Root
Glaciers Of Ice/Criminology	Chef Raekwon
Round & Round	Twinz
Hey Man Nice Shot	Filter
I Wanna Love Like That	Tony Thompson
Remember Me This Way (From "Casper")	Jordan Hill
Keeper Of The Flame	Martin Page
My Love Is For Real	Paula Abdul
Baby Baby	Corona
Foe Life	Mack 10
Survival Of The Fittest	Mobb Deep
Freak Me Baby	Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock
Warm Summer Daze	Vybe
Not Enough	Van Halen
