Jessie's Girl	Rick Springfield
The One That You Love	Air Supply
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
I Don't Need You	Kenny Rogers
Elvira	The Oak Ridge Boys
Slow Hand	The Pointer Sisters
Bette Davis Eyes	Kim Carnes
Boy From New York City	The Manhattan Transfer
Hearts	Marty Balin
Queen Of Hearts	Juice Newton
You Make My Dreams	Daryl Hall John Oates
Gemini Dream	The Moody Blues
(There's) No Gettin' Over Me	Ronnie Milsap
Endless Love	Diana Ross & Lionel Richie
Time	The Alan Parsons Project
Touch Me When We're Dancing	Carpenters
Lady (You Bring Me Up)	Commodores
The Stroke	Billy Squier
Sweet Baby	Stanley Clarke/George Duke
It's Now Or Never	John Schneider
All Those Years Ago	George Harrison
Urgent	Foreigner
In The Air Tonight	Phil Collins
Don't Let Him Go	REO Speedwagon
Medley	Stars On 45
Modern Girl	Sheena Easton
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
Cool Love	Pablo Cruise
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
Who's Crying Now	Journey
Fire And Ice	Pat Benatar
Double Dutch Bus	Frankie Smith
Rock And Roll Dreams Come Through	Jim Steinman
Don't Give It Up	Robbie Patton
Feels So Right	Alabama
Love On A Two Way Street	Stacy Lattisaw
Don't Want To Wait Anymore	The Tubes
Stop Draggin' My Heart Around	Stevie Nicks With Tom Petty And The Heartbreakers
Really Wanna Know You	Gary Wright
You're My Girl	Franke & The Knockouts
Everlasting Love	Rex Smith/Rachel Sweet
Seven Year Ache	Rosanne Cash
This Little Girl	Gary U.S. Bonds
Tom Sawyer	Rush
Nightwalker	Gino Vannelli
Hold On Tight	Electric Light Orchestra
Fly Away	Blackfoot
Nicole	Point Blank
That Old Song	Ray Parker Jr. & Raydio
Step By Step	Eddie Rabbitt
America	Neil Diamond
Stranger	Jefferson Starship
Breaking Away	Balance
Nothing Ever Goes As Planned	Styx
I Love You	Climax Blues Band
Sukiyaki	A Taste Of Honey
Stronger Than Before	Carole Bayer Sager
Give It To Me Baby	Rick James
A Life Of Illusion	Joe Walsh
Winning	Santana
Is It You	Lee Ritenour
The Beach Boys Medley	The Beach Boys
Fantasy Girl	38 Special
Suzi	Randy VanWarmer
What Are We Doin' In Love	Dottie West with Kenny Rogers
You Don't Know Me	Mickey Gilley
Jolé Blon	Gary U.S. Bonds
Medley II	Stars On 45
You Could Take My Heart Away	Silver Condor
Pay You Back With Interest	Gary O'
I Could Never Miss You (More Than I Do)	Lulu
Square Biz	Teena Marie
For Your Eyes Only	Sheena Easton
General Hospi-tale	The Afternoon Delights
Heavy Metal (Takin' A Ride)	Don Felder
Secrets	Mac Davis
You're Mine Tonight	Pure Prairie League
Some Days Are Diamonds (Some Days Are Stone)	John Denver
I'm In Love	Evelyn King
Chloe	Elton John
Summer '81 medley	The Cantina Band (featuring Lou Christie)
A Woman In Love (It's Not Me)	Tom Petty And The Heartbreakers
Tempted	Squeeze
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
The Sensitive Kind	Santana
We Can Get Together	Icehouse
Fool In Love With You	Jim Photoglo
We're In This Love Together	Al Jarreau
Being With You	Smokey Robinson
Living Inside Myself	Gino Vannelli
Nobody Wins	Elton John
Take It On The Run	REO Speedwagon
The Real Thing	The Brothers Johnson
It Didn't Take Long	Spider
The Kid Is Hot Tonite	Loverboy
Love Light	Yutaka
Shaddap You Face	Joe Dolce
Under The Covers	Janis Ian
On And On And On	ABBA
You Are Forever	Smokey Robinson
