ABC	Jackson 5
Let It Be	The Beatles
Spirit In The Sky	Norman Greenbaum
Instant Karma (We All Shine On)	John Ono Lennon
American Woman/No Sugar Tonight	The Guess Who
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Come And Get It	Badfinger
Love Or Let Me Be Lonely	The Friends Of Distinction
Bridge Over Troubled Water	Simon & Garfunkel
Turn Back The Hands Of Time	Tyrone Davis
Up The Ladder To The Roof	The Supremes
Something's Burning	Kenny Rogers & The First Edition
Easy Come, Easy Go	Bobby Sherman
Reflections Of My Life	The Marmalade
House Of The Rising Sun	Frijid Pink
Woodstock	Crosby, Stills, Nash & Young
The Bells	The Originals
For The Love Of Him	Bobbi Martin
Vehicle	The Ides Of March
Long Lonesome Highway	Michael Parks
Everything Is Beautiful	Ray Stevens
You're The One-Part II	Little Sister
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Shilo	Neil Diamond
The Rapper	The Jaggerz
Everybody's Out Of Town	B.J. Thomas
Cecilia	Simon & Garfunkel
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
Celebrate	Three Dog Night
Give Me Just A Little More Time	Chairman Of The Board
What Is Truth	Johnny Cash
Get Ready	Rare Earth
Love On A Two-Way Street	The Moments
Little Green Bag	George Baker Selection
Airport Love Theme (Gwen And Vern)	Vincent Bell
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
Call Me/Son Of A Preacher Man	Aretha Franklin
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Come Running	Van Morrison
Make Me Smile	Chicago
Come Saturday Morning	The Sandpipers
Do The Funky Chicken	Rufus Thomas
Oh Happy Day	Glen Campbell
The Girls' Song	The 5th Dimension
California Girl	Eddie Floyd
The Letter	Joe Cocker with Leon Russell & The Shelter People
Miss America	Mark Lindsay
Up Around The Bend/Run Through The Jungle	Creedence Clearwater Revival
Reach Out And Touch (Somebody's Hand)	Diana Ross
My Woman, My Woman, My Wife	Marty Robbins
Children	Joe South
Hey Lawdy Mama	Steppenwolf
Hitchin' A Ride	Vanity Fare
Viva Tirado - Part I	El Chicano
You Make Me Real/Roadhouse Blues	The Doors
Puppet Man	The 5th Dimension
Capture The Moment	Jay & The Americans
Let Me Go To Him	Dionne Warwick
Don't Stop Now/Since I Don't Have You	Eddie Holman
Chicken Strut	The Meters
Cryin' In The Streets (Part 1)	George Perkins & The Silver Stars
Nothing Succeeds Like Success	Bill Deal & The Rhondels
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
So Excited	B.B. King
To The Other Woman (I'm The Other Woman)	Doris Duke
Dear Prudence	The 5 Stairsteps
Deeper (In Love With You)	The O'Jays
My Wife, The Dancer	Eddie & Dutch
Come Together	Ike & Tina Turner & The Ikettes
The Cat Walk	The Village Soul Choir
Is Anybody Goin' To San Antone	Charley Pride
He Made A Woman Out Of Me	Bobbie Gentry
Brown Paper Bag	Syndicate Of Sound
Hum A Song (From Your Heart)	Lulu with The Dixie Flyers
The Funniest Thing	Dennis Yost And The Classics IV
Ticket To Ride	Carpenters
Cinnamon Girl	The Gentrys
The Seeker	The Who
United We Stand	The Brotherhood Of Man
Welfare Cadilac	Guy Drake
Can You Feel It	Bobby Goldsboro
I Who Have Nothing	Liquid Smoke
Open Up My Heart/Nadine	The Dells
My Way	Brook Benton
Farther On Down The Road	Joe Simon
I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
My Baby Loves Lovin'	White Plains
I Can't Leave Your Love Alone	Clarence Carter
Lay Down (Candles In The Rain)	Melanie with The Edwin Hawkins Singers
Fire & Rain	R.B. Greaves
Cole, Cooke & Redding	Wilson Pickett
A Little Bit Of Soap	Paul Davis
Band Of Gold	Freda Payne
The Onion Song/California Soul	Marvin Gaye & Tammi Terrell
I Got A Problem	Jesse Anderson
Thank You Girl	Street People
Angelica	Oliver
More Than I Can Stand	Bobby Womack
It's All In The Game	Four Tops
Get Down People	Fabulous Counts
