Foolish Beat	Debbie Gibson
Dirty Diana	Michael Jackson
Together Forever	Rick Astley
Make It Real	The Jets
The Flame	Cheap Trick
The Valley Road	Bruce Hornsby & The Range
One More Try	George Michael
Alphabet St.	Prince
Mercedes Boy	Pebbles
Pour Some Sugar On Me	Def Leppard
Nothin' But A Good Time	Poison
Kiss Me Deadly	Lita Ford
Circle In The Sand	Belinda Carlisle
I Still Believe	Brenda K. Starr
Nite And Day	Al B. Sure!
New Sensation	INXS
Everything Your Heart Desires	Daryl Hall John Oates
Beds Are Burning	Midnight Oil
Hold On To The Nights	Richard Marx
Lost In You	Rod Stewart
Rush Hour	Jane Wiedlin
We All Sleep Alone	Cher
Hands To Heaven	Breathe
Shattered Dreams	Johnny Hates Jazz
Naughty Girls (Need Love Too)	Samantha Fox
Under The Milky Way	The Church
Tall Cool One	Robert Plant
Make Me Lose Control	Eric Carmen
Roll With It	Steve Winwood
Paradise	Sade
Supersonic	J.J. Fad
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Sign Your Name	Terence Trent D'Arby
Heart Of Mine	Boz Scaggs
Anything For You	Gloria Estefan & Miami Sound Machine
Black And Blue	Van Halen
The Colour Of Love	Billy Ocean
Just Got Paid	Johnny Kemp
1-2-3	Gloria Estefan & Miami Sound Machine
I Don't Wanna Live Without Your Love	Chicago
I Should Be So Lucky	Kylie Minogue
Trouble	Nia Peeples
Love Changes (Everything)	Climie Fisher
Do You Love Me	The Contours
Should I Say Yes?	Nu Shooz
I Don't Wanna Go On With You Like That	Elton John
Tomorrow People	Ziggy Marley And The Melody Makers
Forgive Me For Dreaming	Elisa Fiorillo
Rag Doll	Aerosmith
Two Occasions	The Deele
Wait	White Lion
Little Walter	Tony Toni Tone
I Don't Want To Live Without You	Foreigner
The Twist	Fat Boys
I Know You're Out There Somewhere	The Moody Blues
Darlin' Danielle Don't	Henry Lee Summer
Wishing I Was Lucky	Wet Wet Wet
Angel	Aerosmith
In Your Soul	Corey Hart
Fast Car	Tracy Chapman
Promise Me	The Cover Girls
I'll Always Love You	Taylor Dayne
You Have Placed A Chill In My Heart	Eurythmics
Electric Blue	Icehouse
Wishing Well	Terence Trent D'Arby
Feelings Of Forever	Tiffany
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Dreaming	Orchestral Manoeuvres In The Dark
Colors	Ice-T
When We Kiss	Bardeux
Route 66/Behind The Wheel	Depeche Mode
Most Of All	Jody Watley
Say It's Gonna Rain	Will To Power
Rhythm Of Love	Scorpions
Sweet Child O' Mine	Guns N' Roses
Always On My Mind	Pet Shop Boys
Da'Butt (From The "School Daze" Soundtrack)	E.U.
Wait On Love	Michael Bolton
Here With Me	REO Speedwagon
Strange But True	Times Two
Boom! There She Was	Scritti Politti Featuring Roger
Pink Cadillac	Natalie Cole
Knocked Out	Paula Abdul
Wild, Wild West	Kool Moe Dee
Rooty Toot Toot	John Mellencamp
Take It While It's Hot	Sweet Sensation
Joy	Teddy Pendergrass
Forever Yours	Tony Terry
When You Walk In The Room	Paul Carrack
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Please Don't Go Girl	New Kids On The Block
Theme From S-Express	S-Express
Blue Monday 1988	New Order
Dreamin' Of Love	Stevie B
When Will I Be Famous?	Bros
Get Outta My Dreams, Get Into My Car	Billy Ocean
Where Do Broken Hearts Go	Whitney Houston
Pamela	Toto
Like The Weather	10,000 Maniacs
