Tossin' And Turnin'	Bobby Lewis
I Like It Like That, Part 1	Chris Kenner
The Boll Weevil Song	Brook Benton
Dum Dum	Brenda Lee
Hats Off To Larry	Del Shannon
Quarter To Three	U.S. Bonds
Last Night	Mar-Keys
Together	Connie Francis
Let's Twist Again	Chubby Checker
Yellow Bird	Arthur Lyman Group
San Antonio Rose	Floyd Cramer
Raindrops	Dee Clark
Wooden Heart	Joe Dowell
Never On Sunday	The Chordettes
Please Stay	The Drifters
Pretty Little Angel Eyes	Curtis Lee
Cupid	Sam Cooke
My Kind Of Girl	Matt Monro
I'll Be There	Damita Jo
Sacred	The Castells
Every Beat Of My Heart	Pips
Moody River	Pat Boone
Michael	The Highwaymen
You Don't Know What You've Got (Until You Lose It)	Ral Donner
The Fish	Bobby Rydell
The Switch-A-Roo	Hank Ballard And The Midnighters
Travelin' Man	Ricky Nelson
School Is Out	Gary U.S. Bonds
That's What Girls Are Made For	The Spinners
Don't Bet Money Honey	Linda Scott
I'm Gonna Knock On Your Door	Eddie Hodges
Hello Mary Lou	Ricky Nelson
I Fall To Pieces	Patsy Cline
Sea Of Heartbreak	Don Gibson
Hurt	Timi Yuro
Let The Four Winds Blow	Fats Domino
Runaround	The Regents
Stand By Me	Ben E. King
Heart And Soul	Jan & Dean
Running Scared	Roy Orbison
No, No, No	The Chanters
Ready For Your Love	Shep And The Limelites
A Tear	Gene McDaniels
Tell Me Why	The Belmonts
Quite A Party	The Fireballs
My True Story	The Jive Five With Joe Rene And Orchestra
Should I	The String-A-Longs
You Can't Sit Down Part 2	Philip Upchurch Combo
I'm Comin' On On Back To You	Jackie Wilson
Better Tell Him No	The Starlets
The Charleston	Ernie Fields
Princess	Frank Gari
One Summer Night	The Diamonds
What A Sweet Thing That Was	The Shirelles
Right Or Wrong	Wanda Jackson
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
Time Was	The Flamingos
A Thing Of The Past	The Shirelles
As If I Didn't Know	Adam Wade
I Don't Want To Take A Chance	Mary Wells
I'm A Telling You	Jerry Butler
Mighty Good Lovin'	The Miracles
Nag	The Halos
The Girl's A Devil	The Dukays
Bobby	Neil Scott
You'll Answer To Me	Patti Page
Peanuts	Rick And The Keens
I Never Knew	Clyde McPhatter
My Claire De Lune	Steve Lawrence
Dance On Little Girl	Paul Anka
Take A Fool's Advice	Nat King Cole
Amor	Ben E. King
Water Boy	Don Shirley Trio
Mr. Happiness	Johnny Maestro with The Coeds
What Would You Do?	Jim Reeves
It's Gonna Work Out Fine	Ike & Tina Turner
Tears On My Pillow	The McGuire Sisters
I Just Don't Understand	Ann-Margret
My Memories Of You	Donnie and The Dreamers
The Guns Of Navarone	Joe Reisman Orch. & Chorus
La Dolce Vita (The Sweet Life)	Ray Ellis And His Orchestra
Black Land Farmer	Frankie Miller
Big River, Big Man	Claude King
If	The Paragons
Missing You	Ray Peterson
Teardrops In My Heart	Joe Barry
I'll Never Smile Again	The Platters
Here In My Heart	Al Martino
A Little Bit Of Soap	The Jarmels
The Mountain's High	Dick and DeeDee
Dedicated (To The Songs I Love)	The 3 Friends
Run, Run, Run	Ronny Douglas
Now You Know	Little Willie John
Now And Forever	Bert Kaempfert And His Orchestra
Transistor Sister	Freddy Cannon
All I Have To Do Is Dream	The Everly Brothers
When We Get Married	The Dreamlovers
Don't Forget I Love You	The Butanes
Summer Souvenirs	Karl Hammel, Jr.
The Bells Are Ringing	The Van Dykes
