Brand New Key	Melanie
American Pie (Parts I & II)	Don McLean
Family Affair	Sly & The Family Stone
Let's Stay Together	Al Green
Got To Be There	Michael Jackson
Scorpio	Dennis Coffey & The Detroit Guitar Band
Sunshine	Jonathan Edwards
I'd Like To Teach The World To Sing (In Perfect Harmony)	The New Seekers
Cherish	David Cassidy
Hey Girl/I Knew You When	Donny Osmond
You Are Everything	The Stylistics
Sugar Daddy	Jackson 5
Clean Up Woman	Betty Wright
I'd Like To Teach The World To Sing (In Perfect Harmony)	The Hillside Singers
One Monkey Don't Stop No Show Part I	The Honey Cone
Day After Day	Badfinger
Drowning In The Sea Of Love	Joe Simon
An Old Fashioned Love Song	Three Dog Night
Have You Seen Her	The Chi-lites
All I Ever Need Is You	Sonny & Cher
Respect Yourself	The Staple Singers
Hey Big Brother	Rare Earth
Anticipation	Carly Simon
Never Been To Spain	Three Dog Night
It's One Of Those Nights (Yes Love)	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Once You Understand	Think
Kiss An Angel Good Mornin'	Charley Pride
An American Trilogy	Mickey Newbury
The Witch Queen Of New Orleans	Redbone
White Lies, Blue Eyes	Bullet
Theme From Shaft	Isaac Hayes
Where Did Our Love Go	Donnie Elbert
George Jackson	Bob Dylan
Baby I'm - A Want You	Bread
Levon	Elton John
Stones/Crunchy Granola Suite	Neil Diamond
That's The Way I Feel About Cha	Bobby Womack & Peace
Make Me The Woman That You Go Home To	Gladys Knight And The Pips
Superstar (Remember How You Got Where You Are)	The Temptations
Theme From "Summer Of '42"	Peter Nero
(I Know) I'm Losing You	Rod Stewart With Faces
Black Dog	Led Zeppelin
Me And Bobby McGee	Jerry Lee Lewis
Behind Blue Eyes	The Who
Hallelujah	Sweathog
Stay With Me	Faces
My Boy	Richard Harris
Looking For A Love	The J. Geils Band
Can I Get A Witness	Lee Michaels
Nothing To Hide	Tommy James
Fire And Water	Wilson Pickett
Sour Suite	The Guess Who
Ain't Nobody Home	B.B. King
Without You	Nilsson
Friends With You	John Denver
Don't Say You Don't Remember	Beverly Bremers
Those Were The Days	Carroll O'Connor And Jean Stapleton (As The Bunkers)
Carolyn	Merle Haggard And The Strangers
Daisy Mae	Hamilton, Joe Frank & Reynolds
Pretty As You Feel	Jefferson Airplane
Devil You	Stampeders
No Sad Song	Helen Reddy
Everybody Knows About My Good Thing Pt. 1	Little Johnny Taylor
Take It Slow (Out In The Country)	Lighthouse
Satisfaction	Smokey Robinson & The Miracles
Show Me How	The Emotions
Precious And Few	Climax
Superstar/Bless The Beasts And Children	Carpenters
Truckin'	Grateful Dead
Way Back Home	Jr. Walker & The All Stars
After All This Time	Merry Clayton
What Am I Living For	Ray Charles
The Harder I Try (The Bluer I Get)	Free Movement
You Make Your Own Heaven And Hell Right Here On Earth	The Undisputed Truth
Tightrope Ride	The Doors
Love Potion Number Nine	The Coasters
Keep On Keeping On	N.F. Porter
Get Up And Get Down	The Dramatics
Under My Wheels	Alice Cooper
Together Let's Find Love	The 5th Dimension
So Many People	Chase
Bang A Gong (Get It On)	T. Rex
Another Puff	Jerry Reed
The Lion Sleeps Tonight	Robert John
Feeling Alright	Joe Cocker
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Five Hundred Miles	Heaven Bound with Tony Scotti
Do The Funky Penguin Part I	Rufus Thomas
Tupelo Honey	Van Morrison
Joy	Apollo featuring Tom Parker
Son Of Shaft	The Bar-Kays
You Want It, You Got It	Detroit Emeralds
Pain (Part I)	Ohio Players
Open The Door (Song For Judith)	Judy Collins
Love Gonna Pack Up (And Walk Out)	The Persuaders
If I Could See The Light	The 8th Day
Keep Playin' That Rock 'N' Roll	Edgar Winter's White Trash
Floy Joy	The Supremes
Footstompin' Music	Grand Funk Railroad
The Road We Didn't Take	Freda Payne
