We Are Young	fun. Featuring Janelle Monae
Boyfriend	Justin Bieber
Somebody That I Used To Know	Gotye Featuring Kimbra
Glad You Came	The Wanted
Stronger (What Doesn't Kill You)	Kelly Clarkson
Starships	Nicki Minaj
Wild Ones	Flo Rida Featuring Sia
Part Of Me	Katy Perry
What Makes You Beautiful	One Direction
Call Me Maybe	Carly Rae Jepsen
Take Care	Drake Featuring Rihanna
Set Fire To The Rain	Adele
Turn Me On	David Guetta Featuring Nicki Minaj
Feel So Close	Calvin Harris
Drive By	Train
Young, Wild & Free	Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
The Motto	Drake Featuring Lil Wayne
We Found Love	Rihanna Featuring Calvin Harris
Ass Back Home	Gym Class Heroes Featuring Neon Hitch
Rack City	Tyga
Good Feeling	Flo Rida
International Love	Pitbull Featuring Chris Brown
So Good	B.o.B
Domino	Jessie J
Sexy And I Know It	LMFAO
Eyes Open	Taylor Swift
Turn Up The Music	Chris Brown
It Will Rain	Bruno Mars
Climax	Usher
Birthday Cake	Rihanna Featuring Chris Brown
Good Girl	Carrie Underwood
Party Rock Anthem	LMFAO Featuring Lauren Bennett & GoonRock
Brokenhearted	Karmin
A Woman Like You	Lee Brice
Rumour Has It	Adele
Moves Like Jagger	Maroon 5 Featuring Christina Aguilera
Ni**as in Paris	Jay Z Kanye West
Springsteen	Eric Church
Drunk On You	Luke Bryan
A Thousand Years	Christina Perri
Talk That Talk	Rihanna Featuring Jay-Z
Alone With You	Jake Owen
Not Over You	Gavin DeGraw
Over You	Miranda Lambert
Drink On It	Blake Shelton
Paradise	Coldplay
Safe & Sound	Taylor Swift Featuring The Civil Wars
Someone Like You	Adele
Rolling In The Deep	Adele
Fly Over States	Jason Aldean
Dancin' Away With My Heart	Lady Antebellum
Drank In My Cup	Kirko Bangz
I Won't Give Up	Jason Mraz
Strip	Chris Brown Featuring Kevin K-MAC McCall
Tonight Is The Night	Outasight
Somethin' 'Bout A Truck	Kip Moore
UP!	LoveRance Featuring IamSu & Skipper or 50 Cent
Love On Top	Beyonce
Banjo	Rascal Flatts
Ayy Ladies	Travis Porter Featuring Tyga
Faded	Tyga Featuring Lil Wayne
Lights	Ellie Goulding
Can't Get Enough	J. Cole Featuring Trey Songz
I Dont Really Care	Waka Flocka Flame Featuring Trey Songz
Heart Attack	Trey Songz
Better Than I Used To Be	Tim McGraw
Levels	Avicii
Some Nights	fun.
Magic	Future Featuring T.I.
Everybody Talks	Neon Trees
Where I Come From	Montgomery Gentry
No Hurry	Zac Brown Band
Even If It Breaks Your Heart	Eli Young Band
You Don't Know Her Like I Do	Brantley Gilbert
Midnight City	M83.
Leave You Alone	Young Jeezy Featuring Ne-Yo
Bangarang	Skrillex Featuring Sirah
She Doesn't Mind	Sean Paul
Back In Time	Pitbull
Sex Ain't Better Than Love	Trey Songz
4 AM	Melanie Fiona
Princess Of China	Coldplay Featuring Rihanna
Scary Monsters And Nice Sprites	Skrillex
Do It Like You	Diggy Featuring Jeremih
Love's Gonna Make It Alright	George Strait
Mirror	Lil Wayne Featuring Bruno Mars
Give Me All Your Luvin'	Madonna Featuring Nicki Minaj & M.I.A.
Crew Love	Drake Featuring The Weeknd
You Gonna Fly	Keith Urban
Sorry For Party Rocking	LMFAO
Time Is Love	Josh Turner
This Ole Boy	Craig Morgan
We Run The Night	Havana Brown Featuring Pitbull
HYFR (Hell Ya F*****g Right)	Drake Featuring Lil Wayne
Ai Se Eu Te Pego	Michel Telo
I Do	Young Jeezy Featuring Jay-Z & Andre 3000
Mr. Wrong	Mary J. Blige Featuring Drake
Got My Country On	Chris Cagle
Naked	Dev & Enrique Iglesias
Too Close	Alex Clare
