Take A Bow	Madonna
Creep	TLC
Candy Rain	Soul For Real
Baby	Brandy
You Gotta Be	Des'ree
Another Night	Real McCoy
On Bended Knee	Boyz II Men
If You Love Me	Brownstone
Strong Enough	Sheryl Crow
Hold My Hand	Hootie & The Blowfish
Big Poppa/Warning	The Notorious B.I.G.
Sukiyaki	4PM
Always	Bon Jovi
I Know	Dionne Farris
You Don't Know How It Feels	Tom Petty
Like The Way I Do/If I Wanted To	Melissa Etheridge
Freak Like Me	Adina Howard
Red Light Special	TLC
This Lil' Game We Play	Subway (Featuring 702)
If You Think You're Lonely Now	K-Ci Hailey
Before I Let You Go	BLACKstreet
In The House Of Stone And Light	Martin Page
The Rhythm Of The Night	Corona
I'm The Only One	Melissa Etheridge
Thank You	Boyz II Men
Constantly	Immature
Everlasting Love	Gloria Estefan
I Miss You	N2U
Every Day Of The Week	Jade
Run Away	Real McCoy
Dear Mama/Old School	2Pac
The Sweetest Days	Vanessa Williams
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
This Is How We Do It	Montell Jordan
You Got It (From "Boys On The Side")	Bonnie Raitt
Hold On	Jamie Walters
I Wanna Be Down	Brandy
House Of Love	Amy Grant With Vince Gill
Short Dick Man	20 Fingers Featuring Gillette
I'll Make Love To You	Boyz II Men
Get Ready For This	2 Unlimited
Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E
Bang And Blame	R.E.M.
100% Pure Love	Crystal Waters
Tootsee Roll	69 Boyz
Mental Picture	Jon Secada
You Want This/70's Love Groove	Janet Jackson
All I Wanna Do	Sheryl Crow
Wild Night	John Mellencamp With Me'Shell Ndegeocello
Turn The Beat Around (From "The Specialist")	Gloria Estefan
I Live My Life For You	Firehouse
Believe	Elton John
Get Down	Craig Mack
I Believe	Blessid Union Of Souls
Dream About You/Funky Melody	Stevie B
Mishale	Andru Donalds
She's A River	Simple Minds
Mad Izm	Channel Live
Sour Times (Nobody Loves Me)	Portishead
Whutcha Want?	Nine
Tour	Capleton
Promise Me	Lil Suzy
Brooklyn Zoo	Ol' Dirty Bastard
For Your Love	Stevie Wonder
Kitty Kitty	69 Boyz
She Don't Use Jelly	The Flaming Lips
(She's Got) Skillz	All-4-One
Mr. Personality	Gillette
Shook Ones Part II	Mobb Deep
Bring The Pain	Method Man
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
Foolin' Around	Changing Faces
Think Of You	Usher
Get Lifted	Keith Murray
1-Luv	E-40 (Featuring Leviti)
Woman To Woman	Jewell
Never Find Someone Like You	Keith Martin
No More "I Love You's"	Annie Lennox
Move It Like This	K7
Be Happy	Mary J. Blige
Nika	Vicious
What I Need	Crystal Waters
People Don't Believe	Scarface Feat. Ice Cube
Always And Forever	Luther Vandross
Rodeo	95 South
Fat Boy	Max-A-Million
Dreamer	Livin' Joy
Where I Wanna Be Boy	Missjones
How Did I Get By Without You?	John Waite
Let Her Cry	Hootie & The Blowfish
Bad Reputation	Freedy Johnston
I'd Rather Be Alone	IV Xample
Cocktales	Too $hort
Cotton Eye Joe	Rednex
Can I Stay With You	Karyn White
I Never Seen A Man Cry (aka I Seen A Man Die)	Scarface
Let's Get It On	Shabba Ranks
Pimp Of The Year	Dru Down
I Apologize	Anita Baker
Can't Wait	Redman
