God's Plan	Drake
Meant To Be	Bebe Rexha & Florida Georgia Line
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Psycho	Post Malone Featuring Ty Dolla $ign
The Middle	Zedd, Maren Morris & Grey
Sad!	XXXTENTACION
Havana	Camila Cabello Featuring Young Thug
Freaky Friday	Lil Dicky Featuring Chris Brown
Pray For Me	The Weeknd & Kendrick Lamar
Look Alive	BlocBoy JB Featuring Drake
Stir Fry	Migos
Ric Flair Drip	Offset & Metro Boomin
All The Stars	Kendrick Lamar & SZA
Mine	Bazzi
New Rules	Dua Lipa
Let You Down	NF
Rockstar	Post Malone Featuring 21 Savage
Never Be The Same	Camila Cabello
Walk It Talk It	Migos Featuring Drake
Him & I	G-Eazy & Halsey
Thunder	Imagine Dragons
Plug Walk	Rich The Kid
Whatever It Takes	Imagine Dragons
I Fall Apart	Post Malone
Lights Down Low	MAX Featuring gnash
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Friends	Marshmello & Anne-Marie
Wait	Maroon 5
Heaven	Kane Brown
Marry Me	Thomas Rhett
Say Something	Justin Timberlake Featuring Chris Stapleton
Bad At Love	Halsey
Feel It Still	Portugal. The Man
Moonlight	XXXTENTACION
You Make It Easy	Jason Aldean
Changes	XXXTENTACION
Bartier Cardi	Cardi B Featuring 21 Savage
Outside Today	YoungBoy Never Broke Again
Lemon	N*E*R*D & Rihanna
Wolves	Selena Gomez X Marshmello
Love.	Kendrick Lamar Featuring Zacari
MotorSport	Migos, Nicki Minaj & Cardi B
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
New Freezer	Rich The Kid Featuring Kendrick Lamar
Young Dumb & Broke	Khalid
Most People Are Good	Luke Bryan
How Long	Charlie Puth
Found / Tonight	Lin-Manuel Miranda & Ben Platt
Sky Walker	Miguel Featuring Travis Scott
Powerglide	Rae Sremmurd & Juicy J
All On Me	Devin Dawson
Love Lies	Khalid & Normani
Dura	Daddy Yankee
Broken Halos	Chris Stapleton
Everyday	Logic & Marshmello
Singles You Up	Jordan Davis
IDGAF	Dua Lipa
X	Nicky Jam x J Balvin
Five More Minutes	Scotty McCreery
Billy	6ix9ine
Top Off	DJ Khaled Featuring JAY Z, Future & B
Gummo	6ix9ine
No Excuses	Meghan Trainor
Hardaway	Derez De'Shon
Delicate	Taylor Swift
The Remedy For A Broken Heart (Why Am I So In Love)	XXXTENTACION
Zombie	Bad Wolves
El Farsante	Ozuna & Romeo Santos
44 More	Logic
Pick It Up	Famous Dex Featuring A$AP Rocky
In My Blood	Shawn Mendes
Tell Me You Love Me	Demi Lovato
The Long Way	Brett Eldredge
Red Roses	Lil Skies Featuring Landon Cube
Betrayed	Lil Xan
NBAYoungboat	Lil Yachty Featuring NBA YoungBoy
When We	Tank
No Smoke	YoungBoy Never Broke Again
I Like Me Better	Lauv
Nowadays	Lil Skies Featuring Landon Cube
Numb	XXXTENTACION
Infinity (888)	XXXTENTACION Featuring Joey Bada$$
One Number Away	Luke Combs
I Lived It	Blake Shelton
Sit Next To Me	Foster The People
Tequila	Dan + Shay
Narcos	Migos
Booty	Blac Youngsta
She's With Me	High Valley
Sativa	Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
Written In The Sand	Old Dominion
Beautiful Trauma	P!nk
Tempo	Chris Brown
Going Down!	XXXTENTACION
At The Club	Jacquees X Dej Loaf
Echame La Culpa	Luis Fonsi & Demi Lovato
La Modelo	Ozuna x Cardi B
Dark Knight Dummo	Trippie Redd Featuring Travis Scott
Everybody Hates Me	The Chainsmokers
