One More Night	Maroon 5
Gangnam Style	PSY
Some Nights	fun.
We Are Never Ever Getting Back Together	Taylor Swift
Blow Me (One Last Kiss)	P!nk
As Long As You Love Me	Justin Bieber Featuring Big Sean
Begin Again	Taylor Swift
Whistle	Flo Rida
Too Close	Alex Clare
Good Time	Owl City & Carly Rae Jepsen
Everybody Talks	Neon Trees
Lights	Ellie Goulding
Die Young	Ke$ha
Don't Wake Me Up	Chris Brown
Call Me Maybe	Carly Rae Jepsen
Diamonds	Rihanna
Wide Awake	Katy Perry
Pound The Alarm	Nicki Minaj
Somebody That I Used To Know	Gotye Featuring Kimbra
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Payphone	Maroon 5 Featuring Wiz Khalifa
Clique	Kanye West, Jay-Z, Big Sean
Wanted	Hunter Hayes
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Give Your Heart A Break	Demi Lovato
Home	Phillip Phillips
Titanium	David Guetta Featuring Sia
Blown Away	Carrie Underwood
50 Ways To Say Goodbye	Train
Adorn	Miguel
I Won't Give Up	Jason Mraz
No Lie	2 Chainz Featuring Drake
Where Have You Been	Rihanna
Take A Little Ride	Jason Aldean
Ho Hey	The Lumineers
What Makes You Beautiful	One Direction
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Want U Back	Cher Lloyd
It's Time	Imagine Dragons
Girl On Fire	Alicia Keys Featuring Nicki Minaj
We Are Young	fun. Featuring Janelle Monae
Cowboys And Angels	Dustin Lynch
Hard To Love	Lee Brice
Cruise	Florida Georgia Line Featuring Nelly
Pontoon	Little Big Town
Thinkin Bout You	Frank Ocean
The A Team	Ed Sheeran
2 Reasons	Trey Songz Featuring T.I.
Heart Attack	Trey Songz
Turn On The Lights	Future
Kiss Tomorrow Goodbye	Luke Bryan
Little Talks	Of Monsters And Men
Why Ya Wanna	Jana Kramer
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Birthday Song	2 Chainz Featuring Kanye West
I Will Wait	Mumford & Sons
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Lovin' You Is Fun	Easton Corbin
Babel	Mumford & Sons
The One That Got Away	Jake Owen
Hello	Karmin
Come Wake Me Up	Rascal Flatts
Your Body	Christina Aguilera
Truck Yeah	Tim McGraw
She's So Mean	matchbox twenty
Feel Again	OneRepublic
Fastest Girl In Town	Miranda Lambert
Madness	Muse
Put It Down	Brandy Featuring Chris Brown
Lemme See	Usher Featuring Rick Ross
Swimming Pools (Drank)	Kendrick Lamar
Creepin'	Eric Church
Come Over	Kenny Chesney
Angel Eyes	Love And Theft
Amen	Meek Mill Featuring Drake
Dive In	Trey Songz
Dance For You	Beyonce
Over	Blake Shelton
No Worries	Lil Wayne Featuring Detail
I Cry	Flo Rida
Numb	Usher
Til My Last Day	Justin Moore
Dark Side	Kelly Clarkson
Lover's Eyes	Mumford & Sons
Whispers In The Dark	Mumford & Sons
Take A Walk	Passion Pit
Beer Money	Kip Moore
Don't Stop The Party	Pitbull Featuring TJR
Enough Of No Love	Keyshia Cole Featuring Lil Wayne
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Holland Road	Mumford & Sons
I Don't Like	Chief Keef Featuring Lil Reese
Ghosts That We Knew	Mumford & Sons
Radioactive	Imagine Dragons
Did It For The Girl	Greg Bates
Shinin' On Me	Jerrod Niemann
Tonight (Best You Ever Had)	John Legend Featuring Ludacris
For You	Keith Urban
To The World	Kanye West, R. Kelly
