Jump	Van Halen
99 Luftballons	Nena
Girls Just Want To Have Fun	Cyndi Lauper
Thriller	Michael Jackson
Nobody Told Me	John Lennon
Karma Chameleon	Culture Club
Somebody's Watching Me	Rockwell
Wrapped Around Your Finger	The Police
Let The Music Play	Shannon
I Want A New Drug	Huey Lewis & The News
Here Comes The Rain Again	Eurythmics
Joanna	Kool & The Gang
New Moon On Monday	Duran Duran
An Innocent Man	Billy Joel
That's All	Genesis
Footloose	Kenny Loggins
Got A Hold On Me	Christine McVie
The Language Of Love	Dan Fogelberg
Yah Mo B There	James Ingram With Michael McDonald
Talking In Your Sleep	The Romantics
Automatic	The Pointer Sisters
Owner Of A Lonely Heart	Yes
This Woman	Kenny Rogers
Give It Up	KC
Adult Education	Daryl Hall John Oates
Running With The Night	Lionel Richie
Think Of Laura	Christopher Cross
Almost Over You	Sheena Easton
The Politics Of Dancing	Re-flex
Let's Stay Together	Tina Turner
Back Where You Belong	Thirty Eight Special
Runner	Manfred Mann's Earth Band
New Song	Howard Jones
Hold Me Now	Thompson Twins
Livin' In Desperate Times	Olivia Newton-John
Come Back And Stay	Paul Young
Middle Of The Road	Pretenders
Radio Ga Ga	Queen
Girls	Dwight Twilley
Miss Me Blind	Culture Club
Don't Let Go	Wang Chung
Break My Stride	Matthew Wilder
Red Red Wine	UB40
She Was Hot	The Rolling Stones
I Guess That's Why They Call It The Blues	Elton John
The Kid's American	Matthew Wilder
Against All Odds (Take A Look At Me Now)	Phil Collins
They Don't Know	Tracey Ullman
Pink Houses	John Mellencamp
Hello	Lionel Richie
So Bad	Paul McCartney
Fields Of Fire	Big Country
Rebel Yell	Billy Idol
Strip	Adam Ant
Tonight	Kool & The Gang
Looks That Kill	Motley Crue
If Only You Knew	Patti LaBelle
This Could Be The Right One	April Wine
I Still Can't Get Over Loving You	Ray Parker Jr.
Leave It	Yes
Bang Your Head (Metal Health)	Quiet Riot
Send Me An Angel	Real Life
Holiday	Madonna
Holding Out For A Hero	Bonnie Tyler
One In A Million	The Romantics
Make My Day	T.G. Sheppard With Clint Eastwood
Vitamin L	B.E. Taylor Group
Joystick	Dazz Band
Encore	Cheryl Lynn
Don't Answer Me	The Alan Parsons Project
Beast Of Burden	Bette Midler
You Make My Heart Beat Faster	Kim Carnes
We're Going All The Way	Jeffrey Osborne
For A Rocker	Jackson Browne
Walking In My Sleep	Roger Daltrey
Say Say Say	Paul McCartney And Michael Jackson
A Fine Fine Day	Tony Carey
Breaking Up Is Hard On You	The American Comedy Network
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
White Horse	Laid Back
Remember What You Like	Jenny Burton
Runaway	Bon Jovi
Club Michelle	Eddie Money
Body Talk	The Deele
Hyperactive	Thomas Dolby
Flashes	Tiggi Clay
The Dream	Irene Cara
You're Looking Like Love To Me	Peabo Bryson & Roberta Flack
Do You Love Me	Andy Fraser
The Sun And The Rain	Madness
Each Word's A Beat Of My Heart	Mink De Ville
It's Gonna Be Special	Patti Austin
No Parking (On The Dance Floor)	Midnight Star
Twist Of Fate	Olivia Newton-John
Taxi	J. Blackfoot
Time Will Reveal	Debarge
Baby I Lied	Deborah Allen
Stay With Me Tonight	Jeffrey Osborne
The Curly Shuffle	Jump 'n The Saddle
Nightbird	Stevie Nicks
